A10 - Possessivi
Это мой отец (padre).;Questo è mio padre.
Это моя мать (madre).;Questa è mia madre.
Это мои родители (genitori).;Questi sono i miei genitori.
Это мои братья (fratelli).;Questi sono i miei fratelli.
Это мои сестры (sorelle).;Queste sono le mie sorelle.
Это мои подруги (amiche).;Queste sono le mie amiche.
Это твой друг (amico).;Questo è il tuo amico.
Это твоя подруга (amica).;Questa è la tua amica.
Это твои друзья (amici).;Questi sono i tuoi amici.
Это твои книги (libri).;Questi sono i tuoi libri.
Это твои сестры (sorelle).;Queste sono le tue sorelle.
Это его дом (casa).;Questa è la sua casa.
Это ее телефон (telefono).;Questo è il suo telefono.
Это ее сумка (borsa).;Questa è la sua borsa.
Это его книги (libri).;Questi sono i suoi libri.
Это ее идеи (idee).;Queste sono le sue idee.
Это его или её книга. (libro);Questo è il suo libro.
Его книга (уточнение). (libro, lui);È il libro di lui.
Её книга (уточнение). (libro, lei);È il libro di lei.
Это наш проект (progetto).;Questo è il nostro progetto.
Это наша школа (scuola).;Questa è la nostra scuola.
Это наши учителя (insegnanti).;Questi sono i nostri insegnanti.
Это наши идеи (idee).;Queste sono le nostre idee.
Это ваша школа (scuola).;Questa è la vostra scuola.
Это ваш друг (amico).;Questo è il vostro amico.
Это ваши книги (libri).;Questi sono i vostri libri.
Это их книга (libro).;Questo è il loro libro.
Это их дети (figli).;Questi sono i loro figli.
Это их сестры (sorelle).;Queste sono le loro sorelle.
Книга Марко → Это его книга.;Il libro di Marco → È il suo libro.
Дом Марии → Это ее дом.;La casa di Maria → È la sua casa.
Дети Паоло → Это его дети.;I figli di Paolo → Sono i suoi figli.
Школа Анны → Это ее школа.;La scuola di Anna → È la sua scuola.
Их машина → Это их машина.;La loro macchina → È la loro macchina.
Это Ваша книга (формально). (libro);Questo è il Suo libro.
Чья это книга (libro)?;Di chi è questo libro?
Чья это машина (macchina)?;Di chi è questa macchina?
Чьи это дети (figli)?;Di chi sono questi figli?
Чьи это идеи (idee)?;Di chi sono queste idee?
Кто твой друг (amico)?;Chi è il tuo amico?
Это не мой телефон (telefono).;Non è il mio telefono.
Это не моя сумка (borsa).;Non è la mia borsa.
Это не наш проект (progetto).;Non è il nostro progetto.
Это не ваша школа (scuola).;Non è la vostra scuola.
Это не их дом (casa).;Non è la loro casa.
Это не ее идеи (idee).;Non sono le sue idee.
Мой отец дома (casa).;Mio padre è a casa.
Моя мать работает (lavorare).;Mia madre lavora.
Их мать работает. (loro, madre);La loro madre lavora.
Мой брат учится (studiare).;Mio fratello studia.
Моя сестра говорит по-итальянски (italiano).;Mia sorella parla italiano.
Твой брат здесь (qui).;Tuo fratello è qui.
Ее сестра читает (leggere).;Sua sorella legge.
Наш учитель говорит (parlare).;Il nostro insegnante parla.
Мой дорогой отец работает. (caro, padre);Il mio caro padre lavora.
