Presente (Drill)
я устал (essere stanco);Io sono stanco.;Presente
ты устал (essere stanco);Tu sei stanco.;Presente
он устал (essere stanco);Lui è stanco.;Presente
она устала (essere stanco);Lei è stanca.;Presente
мы устали (essere stanco);Noi siamo stanchi.;Presente
вы устали (essere stanco);Voi siete stanchi.;Presente
они устали (essere stanco);Loro sono stanchi.;Presente
я хочу есть (avere fame);Io ho fame.;Presente
ты хочешь есть (avere fame);Tu hai fame.;Presente
он хочет есть (avere fame);Lui ha fame.;Presente
она хочет есть (avere fame);Lei ha fame.;Presente
мы хотим есть (avere fame);Noi abbiamo fame.;Presente
вы хотите есть (avere fame);Voi avete fame.;Presente
они хотят есть (avere fame);Loro hanno fame.;Presente
я совершаю прогулку (fare una passeggiata);Io faccio una passeggiata.;Presente
ты совершаешь прогулку (fare una passeggiata);Tu fai una passeggiata.;Presente
он совершает прогулку (fare una passeggiata);Lui fa una passeggiata.;Presente
она совершает прогулку (fare una passeggiata);Lei fa una passeggiata.;Presente
мы совершаем прогулку (fare una passeggiata);Noi facciamo una passeggiata.;Presente
вы совершаете прогулку (fare una passeggiata);Voi fate una passeggiata.;Presente
они совершают прогулку (fare una passeggiata);Loro fanno una passeggiata.;Presente
я знаю правду (la verità);Io so la verità.;Presente
ты знаешь правду (la verità);Tu sai la verità.;Presente
он знает правду (la verità);Lui sa la verità.;Presente
она знает правду (la verità);Lei sa la verità.;Presente
мы знаем правду (la verità);Noi sappiamo la verità.;Presente
вы знаете правду (la verità);Voi sapete la verità.;Presente
они знают правду (la verità);Loro sanno la verità.;Presente
я говорю правду (dire la verità);Io dico la verità.;Presente
ты говоришь правду (dire la verità);Tu dici la verità.;Presente
он говорит правду (dire la verità);Lui dice la verità.;Presente
она говорит правду (dire la verità);Lei dice la verità.;Presente
мы говорим правду (dire la verità);Noi diciamo la verità.;Presente
вы говорите правду (dire la verità);Voi dite la verità.;Presente
они говорят правду (dire la verità);Loro dicono la verità.;Presente
я иду на работу (andare al lavoro);Io vado al lavoro.;Presente
ты идёшь на работу (andare al lavoro);Tu vai al lavoro.;Presente
он идёт на работу (andare al lavoro);Lui va al lavoro.;Presente
она идёт на работу (andare al lavoro);Lei va al lavoro.;Presente
мы идём на работу (andare al lavoro);Noi andiamo al lavoro.;Presente
вы идёте на работу (andare al lavoro);Voi andate al lavoro.;Presente
они идут на работу (andare al lavoro);Loro vanno al lavoro.;Presente
я чувствую себя хорошо (stare bene);Io sto bene.;Presente
ты чувствуешь себя хорошо (stare bene);Tu stai bene.;Presente
