A13 - Comparativi e Superlativi (più/meno + aggettivi/avverbi)
Я старше тебя (grande).;Sono più grande di te.
Этот дом меньше того (casa, piccola).;Questa casa è più piccola di quella.
Моя книга интереснее твоей (libro, interessante).;Il mio libro è più interessante del tuo.
Итальянский легче русского (facile).;L'italiano è più facile del russo.
Сегодня теплее чем вчера (caldo, ieri).;Oggi è più caldo di ieri.
Эта машина быстрее той (macchina, veloce).;Questa macchina è più veloce di quella.
Я ем больше тебя (mangiare).;Io mangio più di te.
Он пьет меньше меня (bere).;Lui beve meno di me.
Эта комната светлее другой (stanza, luminosa).;Questa stanza è più luminosa dell'altra.
Фильм менее интересен чем книга (film, libro).;Il film è meno interessante del libro.
Эта дорога длиннее другой (strada, lunga).;Questa strada è più lunga dell'altra.
Мое время менее важно чем твое (tempo, importante).;Il mio tempo è meno importante del tuo.
Эта пицца лучше той (pizza, buona).;Questa pizza è più buona di quella.
Кофе менее сладкий чем чай (caffè, tè, dolce).;Il caffè è meno dolce del tè.
Я счастливее чем раньше (felice, prima).;Io sono più felice di prima.
Она грустнее чем вчера (triste, ieri).;Lei è più triste di ieri.
Это сложнее чем то (difficile).;Questo è più difficile di quello.
То проще чем это (semplice).;Quello è più semplice di questo.
Твоя проблема серьезнее моей (problema, serio).;Il tuo problema è più serio del mio.
Твое решение менее эффективно чем мое (soluzione, efficace).;La tua soluzione è meno efficace della mia.
Он умнее меня (intelligente).;Lui è più intelligente di me.
Она менее усердна чем он (studiosa).;Lei è meno studiosa di lui.
Эта собака меньше той (cane, piccolo).;Questo cane è più piccolo di quello.
Тот кот больше этого (gatto, grande).;Quel gatto è più grande di questo.
Твоя машина быстрее моей (macchina, veloce).;La tua macchina è più veloce della mia.
Мой поезд менее медленный чем твой (treno, lento).;Il mio treno è meno lento del tuo.
Это самый большой город в Италии (città, grande).;Questa è la città più grande d'Italia.
Это самый маленький дом в районе (casa, quartiere).;Questa è la casa più piccola del quartiere.
Это самая интересная книга в библиотеке (libro, biblioteca).;Questo è il libro più interessante della biblioteca.
Это самый красивый язык в мире (lingua, mondo).;Questa è la lingua più bella del mondo.
Это самый важный день моей жизни (giorno, vita).;Questo è il giorno più importante della mia vita.
Это самая полезная вещь, которая у меня есть (cosa, utile).;Questa è la cosa più utile che ho.
Это самый известный фильм в Италии (film, famoso).;Questo è il film più famoso d'Italia.
Это самый дорогой ресторан в городе (ristorante, caro).;Questo è il ristorante più caro della città.
Это самый легкий урок в курсе (lezione, facile).;Questa è la lezione più facile del corso.
Это самое сложное задание в школе (compito, difficile).;Questo è il compito più difficile della scuola.
Это мой лучший друг (migliore amico).;Questo è il mio migliore amico.
Это моя лучшая подруга (migliore amica).;Questa è la mia migliore amica.
Это худший день в году (peggiore, anno).;Questo è il giorno peggiore dell'anno.
Это худшая новость в газете (notizia, giornale).;Questa è la peggiore notizia del giornale.
Я больше всего люблю свою семью (amare, famiglia).;Amo di più la mia famiglia.
Я меньше всего ненавижу войну (odiare, guerra).;Odio di meno la guerra.
Я живу больше всего в Италии (vivere, Italia).;Vivo di più in Italia.
Я меньше всего ем вечером (mangiare, sera).;Mangio di meno la sera.
Это наименее серьезная проблема в мире (problema, serio).;Questo è il problema meno serio del mondo.
Это наименее эффективное решение из всех (soluzione, efficace).;Questa è la soluzione meno efficace di tutte.
