Present Simple
Он работает из дома;He works from home.
Он не работает из дома;He doesn't work from home.
Она получила подарок;She got a present.
Она получила подарок?;Did she get a present?
Я хотел работать;I wanted to work.
Я не хотел работать;I didn't want to work.
Он не продал свою машину;He didn't sell his car.
Майк и Джейн не ходят на работу;Mike and Jane don't go to work.
У него очень хорошая работа;He has a very good job.
У него есть дом и машина?;Does he have a house and a car?
У нее не было друзей;She didn't have any friends.
Я не взял с собой кошелек;I didn't take my wallet with me.
Она позавтракала в 10;She had breakfast at 10.
Она завтракала сегодня?;Did she have breakfast today?
Ты получил мое сообщение?;Did you get my message?
Она меня видела;She saw me.
Она меня не видела;She didn't see me.
Их друг их обманул;I worked there for two years.
Я работал много на прошлой неделе;He lived in this city before.
Я ухожу с моей работы в 5;She didn't like her job.
Я провел 3 часа дома;I met him yesterday.
У нее была дорогая машина;I didn't understand the question.
Он работает в этой компании?;He bought a new phone.
Ты построил этот дом?;She sold her old car.
Он не отправлял тот емейл;We finished the project.
Я не знаю этого;They didn't come yesterday.
Он говорил 30 минут;I lost my keys.
Она потратила те деньги;She found a good job.
Она ходила в кино вчера;He didn't tell me the truth.
Она торгует машинами;We watched this movie.
Ты обычно работаешь на выходных?;I learned English for several months.
Я всегда встаю в 7;He talked for 30 minutes.
Ты ее знаешь?;She doesn't like studying.
Я не могу починить эту машину;What do you do at work?
Я сводил ее в ресторан;Did she come home yesterday evening?
Я получил новую работу на прошлой неделе;I called his brother last week.
Мне не понравилось их предложение;We didn't invite them.
Я не хотел беспокоить тебя;Will this help me?
Он обычно уходит на работу в 9;I baked a cake yesterday.
Я учил английский несколько месяцев;Will you take me to the movies next week?
Он говорил 30 минут;I will take a taxi.
Ей не нравится учиться;I didn't have breakfast today.
Чем ты занимаешься на работе?;I don't understand this.
Она пришла домой вчера вечером?;I got to work on time.
Я звонил его брату на прошлой неделе;He built a good house,
Мы их не приглашали;but its roof doesn't look beautiful.
