A02 - Articoli in contesto
Это книга;Questo è il libro
Это один ученик;Questo è uno studente
Это одна проблема;Questo è un problema
Это одна учительница;Questa è un'insegnante
Это друг;Questo è l'amico
Это один друг;Questo è un amico
Это подруга;Questa è l'amica
Это одна подруга;Questa è un'amica
Это дом;Questa è la casa
Это один дом;Questa è una casa
Это мальчик;Questo è il ragazzo
Это один мальчик;Questo è un ragazzo
Это девочка;Questa è la ragazza
Это одна девочка;Questa è una ragazza
Это мужчина;Questo è l'uomo
Это один мужчина;Questo è un uomo
Это женщина;Questa è la donna
Это одна женщина;Questa è una donna
Это вода;Questa è l'acqua
Это год;Questo è l'anno
Это один год;Questo è un anno
Это зеркало;Questo è lo specchio
Это одно зеркало;Questo è uno specchio
Это дядя;Questo è lo zio
Это один дядя;Questo è uno zio
Это стул;Questa è la sedia
Это один стул;Questa è una sedia
Это стол;Questo è il tavolo
Это один стол;Questo è un tavolo
Это поезд;Questo è il treno
Это один поезд;Questo è un treno
Это собака;Questo è il cane
Это одна собака;Questo è un cane
Это яблоко;Questa è la mela
Это одно яблоко;Questa è una mela
Это ключ;Questa è la chiave
Это один ключ;Questa è una chiave
Это сад;Questo è il giardino
Это один сад;Questo è un giardino
Это ванная комната;Questo è il bagno
Это одна ванная комната;Questo è un bagno
