A05 - Forma di cortesia (Lei)
Ты идёшь домой (vai, a casa);Vai a casa
Вы идёте домой — вежливо (va, a casa);Lei va a casa
Ты делаешь подарок (fai, un regalo);Fai un regalo
Вы делаете подарок — вежливо (fa, un regalo);Lei fa un regalo
Ты покупаешь дом (compri, una casa);Compri una casa
Вы покупаете дом — вежливо (compra, una casa);Lei compra una casa
Ты готовишь ужин (cucini, la cena);Cucini la cena
Вы готовите ужин — вежливо (cucina, la cena);Lei cucina la cena
Ты покупаешь большую машину (compri, una macchina, grande);Compri una macchina grande
Вы покупаете большую машину — вежливо (compra, una macchina, grande);Lei compra una macchina grande
Ты покупаешь новый шкаф (compri, un armadio, nuovo);Compri un armadio nuovo
Вы покупаете новый шкаф — вежливо (compra, un armadio, nuovo);Lei compra un armadio nuovo
Ты покупаешь красивый подарок (compri, un regalo, bello);Compri un regalo bello
Вы покупаете красивый подарок — вежливо (compra, un regalo, bello);Lei compra un regalo bello
Ты убираешь комнату (pulisci, la stanza);Pulisci la stanza
Вы убираете комнату — вежливо (pulisce, la stanza);Lei pulisce la stanza
Ты работаешь в офисе (lavori, in ufficio);Lavori in ufficio
Вы работаете в офисе — вежливо (lavora, in ufficio);Lei lavora in ufficio
Ты учишь итальянский (studi, l'italiano);Studi l'italiano
Вы учите итальянский — вежливо (studia, l'italiano);Lei studia l'italiano
Ты читаешь книгу (leggi, il libro);Leggi il libro
Вы читаете книгу — вежливо (legge, il libro);Lei legge il libro
Ты пишешь то самое письмо (scrivi, la lettera);Scrivi la lettera
Вы пишете письмо — вежливо (scrive, la lettera);Lei scrive la lettera
Ты говоришь по-итальянски (parli, italiano);Parli italiano
Вы говорите по-итальянски — вежливо (parla, italiano);Lei parla italiano
Ты видишь гору (vedi, la montagna);Vedi la montagna
Вы видите гору — вежливо (vede, la montagna);Lei vede la montagna
Ты слышишь музыку (senti, la musica);Senti la musica
Вы слышите музыку — вежливо (sente, la musica);Lei sente la musica
Ты ешь хлеб (mangi, il pane);Mangi il pane
Вы едите хлеб — вежливо (mangia, il pane);Lei mangia il pane
Ты пьёшь кофе (bevi, il caffè);Bevi il caffè
Вы пьёте кофе — вежливо (beve, il caffè);Lei beve il caffè
Ты спишь (dormi);Dormi
Вы спите — вежливо (dorme);Lei dorme
Ты хочешь есть (vuoi, mangiare);Vuoi mangiare
Вы хотите есть — вежливо (vuole, mangiare);Lei vuole mangiare
Ты можешь помочь (puoi, aiutare);Puoi aiutare
Вы можете помочь — вежливо (può, aiutare);Lei può aiutare
Ты должен идти (devi, andare);Devi andare
Вы должны идти — вежливо (deve, andare);Lei deve andare
Ты знаешь город (sai, la città);Sai la città
Вы знаете город — вежливо (sa, la città);Lei sa la città
Ты помнишь имя (ricordi, il nome);Ricordi il nome
Вы помните имя — вежливо (ricorda, il nome);Lei ricorda il nome
Ты забываешь номер (dimentichi, il numero);Dimentichi il numero
Вы забываете номер — вежливо (dimentica, il numero);Lei dimentica il numero
Ты понимаешь вопрос (capisci, la domanda);Capisci la domanda
Вы понимаете вопрос — вежливо (capisce, la domanda);Lei capisce la domanda
Ты открываешь дверь (apri, la porta);Apri la porta
Вы открываете дверь — вежливо (apre, la porta);Lei apre la porta
Ты закрываешь окно (chiudi, la finestra);Chiudi la finestra
Вы закрываете окно — вежливо (chiude, la finestra);Lei chiude la finestra
Ты ищешь ту самую работу (cerchi, il lavoro);Cerchi il lavoro
Вы ищете работу — вежливо (cerca, il lavoro);Lei cerca il lavoro
Ты находишь ключ (trovi, la chiave);Trovi la chiave
Вы находите ключ — вежливо (trova, la chiave);Lei trova la chiave
Ты даёшь совет (dai, un consiglio);Dai un consiglio
Вы даёте совет — вежливо (dà, un consiglio);Lei dà un consiglio
Ты платишь за билет (paghi, il biglietto);Paghi il biglietto
Вы платите за билет — вежливо (paga, il biglietto);Lei paga il biglietto
Ты берёшь такси (prendi, il taxi);Prendi il taxi
Вы берёте такси — вежливо (prende, il taxi);Lei prende il taxi
Ты играешь в футбол (giochi, a calcio);Giochi a calcio
Вы играете в футбол — вежливо (gioca, a calcio);Lei gioca a calcio
Ты поёшь песню (canti, una canzone);Canti una canzone
Вы поёте песню — вежливо (canta, una canzone);Lei canta una canzone
Ты бегаешь в парке (corri, nel parco);Corri nel parco
Вы бегаете в парке — вежливо (corre, nel parco);Lei corre nel parco
Ты гуляешь по улице (cammini, per la strada);Cammini per la strada
Вы гуляете по улице — вежливо (cammina, per la strada);Lei cammina per la strada
Вы занимаетесь делом — вежливо (si occupa, del lavoro);Lei si occupa del lavoro
Вы обращаетесь с клиентом — вежливо (tratta, il cliente);Lei tratta il cliente
Вы управляете компанией — вежливо (gestisce, l'azienda);Lei gestisce l'azienda
Вы организуете встречу — вежливо (organizza, la riunione);Lei organizza la riunione
Вы планируете проект — вежливо (pianifica, il progetto);Lei pianifica il progetto
Вы координируете работу — вежливо (coordina, il lavoro);Lei coordina il lavoro
Вы руководите командой — вежливо (dirige, la squadra);Lei dirige la squadra
Вы контролируете процесс — вежливо (controlla, il processo);Lei controlla il processo
Вы наблюдаете за работой — вежливо (supervisiona, il lavoro);Lei supervisiona il lavoro
Вы помогаете коллеге — вежливо (assiste, il collega);Lei assiste il collega
Вы сотрудничаете с партнёром — вежливо (collabora, con il partner);Lei collabora con il partner
Вы сообщаете информацию — вежливо (comunica, l'informazione);Lei comunica l'informazione
Вы информируете директора — вежливо (informa, il direttore);Lei informa il direttore
Вы подтверждаете встречу — вежливо (conferma, l'appuntamento);Lei conferma l'appuntamento
Вы одобряете проект — вежливо (approva, il progetto);Lei approva il progetto
Вы очень заняты — вежливо (molto, occupato);Lei è molto occupato
Вы очень добры — вежливо (molto, gentile);Lei è molto gentile
Вы очень вежливы — вежливо (molto, cortese);Lei è molto cortese
Вы очень профессиональны — вежливо (molto, professionale);Lei è molto professionale
Вы очень компетентны — вежливо (molto, competente);Lei è molto competente
Вы очень серьёзны — вежливо (molto, serio);Lei è molto serio
Вы очень внимательны — вежливо (molto, attento);Lei è molto attento
Вы всегда доступны — вежливо (sempre, disponibile);Lei è sempre disponibile
Вы очень ответственны — вежливо (molto, responsabile);Lei è molto responsabile
Вы работаете в большой компании — вежливо (lavora, in una grande azienda);Lei lavora in una grande azienda
Вы руководите важным проектом — вежливо (dirige, un progetto importante);Lei dirige un progetto importante
Вы организуете международную конференцию — вежливо (organizza, una conferenza internazionale);Lei organizza una conferenza internazionale
Вы координируете работу специалистов — вежливо (coordina, il lavoro degli specialisti);Lei coordina il lavoro degli specialisti
Вы контролируете качество продукции — вежливо (controlla, la qualità del prodotto);Lei controlla la qualità del prodotto
Вы сотрудничаете с известным институтом — вежливо (collabora, con un istituto famoso);Lei collabora con un istituto famoso
Вы сообщаете важную новость — вежливо (comunica, una notizia importante);Lei comunica una notizia importante
Вы подтверждаете получение письма — вежливо (conferma, la ricezione della lettera);Lei conferma la ricezione della lettera
Вы одобряете новый план — вежливо (approva, il nuovo piano);Lei approva il nuovo piano
Вы информируете президента — вежливо (informa, il presidente);Lei informa il presidente
Господин работает в офисе (il signore, lavora, in ufficio);Il signore lavora in ufficio
Госпожа покупает книгу (la signora, compra, il libro);La signora compra il libro
Доктор читает газету (il dottore, legge, il giornale);Il dottore legge il giornale
Инженер строит дом (l'ingegnere, costruisce, la casa);L'ingegnere costruisce la casa
Адвокат объясняет закон (l'avvocato, spiega, la legge);L'avvocato spiega la legge
Профессор преподаёт историю (il professore, insegna, la storia);Il professore insegna la storia
Директор управляет компанией (il direttore, gestisce, l'azienda);Il direttore gestisce l'azienda
Президент одобряет закон (il presidente, approva, la legge);Il presidente approva la legge
Коллега помогает с проектом (il collega, aiuta, con il progetto);Il collega aiuta con il progetto
Ассистент организует встречу (l'assistente, organizza, la riunione);L'assistente organizza la riunione
Секретарь пишет письмо (il segretario, scrive, la lettera);Il segretario scrive la lettera
Менеджер планирует работу (il manager, pianifica, il lavoro);Il manager pianifica il lavoro
Консультант даёт совет (il consulente, dà, un consiglio);Il consulente dà un consiglio
Специалист контролирует качество (lo specialista, controlla, la qualità);Lo specialista controlla la qualità
Эксперт подтверждает данные (l'esperto, conferma, i dati);L'esperto conferma i dati
Вы читаете интересную книгу — вежливо (legge, un libro interessante);Lei legge un libro interessante
Вы покупаете красивый дом — вежливо (compra, una casa bella);Lei compra una casa bella
Вы готовите вкусный обед — вежливо (cucina, un pranzo buono);Lei cucina un pranzo buono
