Ordine delle parole tempi semplici
Он работает из дома;Lui lavora da casa
Он не работает из дома;Lui non lavora da casa
Она получила подарок;Lei ha ricevuto un regalo
Она получила подарок?;Ha ricevuto un regalo?
Я хотел работать;Volevo lavorare
Я не хотел работать;Non volevo lavorare
Он не продал свою машину;Non ha venduto la sua macchina
Майк и Джейн не ходят на работу;Mike e Jane non vanno al lavoro
У него очень хорошая работа;Lui ha un ottimo lavoro
У него есть дом и машина?;Ha una casa e una macchina?
У нее не было друзей;Lei non aveva amici
Я не взял с собой кошелек;Non ho portato il mio portafoglio
Она позавтракала в 10;Lei ha fatto colazione alle 10
Она завтракала сегодня?;Ha fatto colazione oggi?
Ты получил мое сообщение?;Hai ricevuto il mio messaggio?
Она меня видела;Lei mi ha visto
Она меня не видела;Lei non mi ha visto
Их друг их обманул;Il loro amico li ha ingannati
Я работал много на прошлой неделе;Ho lavorato molto la settimana scorsa
Я ухожу с моей работы в 5;Esco dal lavoro alle 5
Я провел 3 часа дома;Ho passato tre ore a casa
У нее была дорогая машина;Lei aveva una macchina costosa
Он работает в этой компании?;Lavora in quella azienda?
Ты построил этот дом?;Hai costruito questa casa?
Он не отправлял тот емейл;Non ha inviato quella email
Я не знаю этого;Non lo so
Он говорил 30 минут;Ha parlato per 30 minuti
Она потратила те деньги;Lei ha speso quei soldi
Она ходила в кино вчера;Ieri ? andata al cinema
Она торгует машинами;Lei vende auto
Ты обычно работаешь на выходных?;Di solito lavori nei fine settimana?
Я всегда встаю в 7;Mi alzo sempre alle 7
Ты ее знаешь?;La conosci?
Я не могу починить эту машину;Non riesco a riparare questa macchina
Я сводил ее в ресторан;L'ho portata in un ristorante
Я получил новую работу на прошлой неделе;La settimana scorsa ho trovato un nuovo lavoro
Мне не понравилось их предложение;Non mi ? piaciuta la loro offerta
Я не хотел беспокоить тебя;Non volevo disturbarti
Он обычно уходит на работу в 9;Di solito parte per il lavoro alle 9
Я учил английский несколько месяцев;Ho studiato inglese per alcuni mesi
Ей не нравится учиться;A lei non piace studiare
Чем ты занимаешься на работе?;Cosa fai al lavoro?
Она пришла домой вчера вечером?;? tornata a casa ieri sera?
Я звонил его брату на прошлой неделе;Ho chiamato suo fratello la settimana scorsa
Мы их не приглашали;Non li abbiamo invitati
Мне это поможет?;Mi aiuter??
Я испек торт вчера;Ieri ho fatto una torta
Ты сводишь меня в кино на следующей неделе?;Mi porterai al cinema la prossima settimana?
Я поеду на такси;Prender? un taxi
Я сегодня не завтракал;Oggi non ho fatto colazione
Я не понимаю этого;Non capisco
Я доехал до работы вовремя;Sono arrivato al lavoro in orario
