rank,word,ru,collo_it,collo_ru,s1_it,s1_ru,s2_it,s2_ru,s3_it,s3_ru,s4_it,s4_ru,s5_it,s5_ru
"106","casa","дом, жилище","bella casa","красивый дом","Ogni sera torno a casa.","Каждый вечер я возвращаюсь домой.","La mia casa è piccola ma accogliente.","Мой дом маленький, но уютный.","Voglio comprare casa.","Я хочу купить дом.","","","",""
"132","tempo","время, погода","molto tempo","много времени","Il tempo passa in fretta.","Время летит быстро.","Che tempo fa oggi?","Какая сегодня погода?","Ho perso molto tempo.","Я потерял много времени.","","","",""
"137","vita","жизнь","bella vita","красивая жизнь","La vita è bella.","Жизнь прекрасна.","Nella vita tutto è possibile.","В жизни всё возможно.","Questa è la mia vita.","Это моя жизнь.","","","",""
"378","anno","год","ogni anno","каждый год","Quest'anno vado in Italia.","В этом году я еду в Италию.","L'anno scorso ho studiato l'italiano.","В прошлом году я учил итальянский.","Buon anno!","С новым годом!","","","",""
"147","parte","часть, доля","fare parte","быть частью","Questa è solo una parte del problema.","Это лишь часть проблемы.","Voglio fare parte della squadra.","Я хочу быть частью команды.","Ho letto la prima parte del libro.","Я прочитал первую часть книги.","","","",""
"151","lavoro","работа, труд","cercare lavoro","искать работу","Il mio lavoro è interessante.","Моя работа интересная.","Sto cercando lavoro.","Я ищу работу.","Dopo il lavoro sono stanco.","После работы я устал.","","","",""
"155","volta","раз, свод","una volta","один раз","L'ho visto una volta.","Я видел его один раз.","Questa volta ho ragione.","В этот раз я прав.","Un'altra volta, forse.","В другой раз, может быть.","","","",""
"159","uomo","человек, мужчина","un uomo comune","обычный человек","È un uomo molto gentile.","Он очень добрый человек.","Quell'uomo è mio padre.","Тот мужчина — мой отец.","Ogni uomo ha i suoi difetti.","У каждого человека есть свои недостатки.","","","",""
"160","padre","отец","padre amorevole","любящий отец","Mio padre lavora in ufficio.","Мой отец работает в офисе.","Il padre di Maria è medico.","Отец Марии — врач.","Voglio bene a mio padre.","Я люблю своего отца.","","","",""
"162","bisogno","нужда, потребность","aver bisogno","нуждаться","Ho bisogno di aiuto.","Мне нужна помощь.","Non ho bisogno di niente.","Мне ничего не нужно.","Sentiamo il bisogno di riposare.","Мы чувствуем необходимость отдохнуть.","","","",""
"164","amico","друг, подруга","migliore amico","лучший друг","Il mio migliore amico si chiama Marco.","Моего лучшего друга зовут Марко.","Usciamo con gli amici stasera.","Сегодня вечером мы выходим с друзьями.","Un vero amico ti aiuta sempre.","Настоящий друг всегда поможет.","","","",""
"178","giorno","день","ogni giorno","каждый день","Ogni giorno imparo qualcosa di nuovo.","Каждый день я узнаю что-то новое.","Che giorno è oggi?","Какой сегодня день?","Ho lavorato tutto il giorno.","Я работал весь день.","","","",""
"180","modo","способ, манера","in modo diverso","по-другому","C'è un modo migliore per farlo.","Есть лучший способ это сделать.","Ognuno vive a modo suo.","Каждый живёт по-своему.","Non c'è modo di tornare indietro.","Нет способа вернуться назад.","","","",""
"191","mamma","мама, мамочка","brava mamma","хорошая мама","La mia mamma cucina molto bene.","Моя мама очень хорошо готовит.","Voglio bene alla mia mamma.","Я люблю свою маму.","Mamma, ho fame!","Мама, я хочу есть!","","","",""
"201","madre","мать","madre amorevole","любящая мать","Mia madre abita a Roma.","Моя мать живёт в Риме.","La madre sta crescendo i figli.","Мать воспитывает детей.","Amo mia madre.","Я люблю свою мать.","","","",""
"204","favore","одолжение, услуга","fare un favore","оказать услугу","Puoi farmi un favore?","Можешь оказать мне услугу?","Ti ho fatto un favore.","Я оказал тебе услугу.","Ricambierò il favore.","Я отплачу за услугу.","","","",""
"205","successo","успех","avere successo","иметь успех","Il film ha avuto molto successo.","Фильм имел большой успех.","Ti auguro molto successo.","Желаю тебе большого успеха.","Il successo non è tutto.","Успех — это не всё.","","","",""
"218","momento","момент, мгновение","in questo momento","в этот момент","In questo momento sono occupato.","В данный момент я занят.","Aspetta un momento, per favore.","Подожди минуту, пожалуйста.","È il momento giusto per partire.","Это подходящий момент, чтобы уехать.","","","",""
"317","persona","человек, личность","brava persona","хороший человек","È una persona molto gentile.","Он очень добрый человек.","Ho incontrato tante persone.","Я встретил много людей.","Conosco quella persona.","Я знаю этого человека.","","","",""
"239","idea","идея, мысль","buona idea","хорошая идея","Che bella idea!","Какая хорошая идея!","Ho un'idea per te.","У меня есть для тебя идея.","Non ho un'idea chiara.","У меня нет чёткой идеи.","","","",""
"243","figlio","сын, дочь, ребёнок","avere figli","иметь детей","Mio figlio ha cinque anni.","Моему сыну пять лет.","Voglio bene ai miei figli.","Я люблю своих детей.","Hanno due figli.","У них двое детей.","","","",""
"245","gente","люди, народ","molta gente","много людей","C'è molta gente al mercato.","На рынке много людей.","La gente parla tanto.","Люди много говорят.","La gente comune lavora sodo.","Обычные люди много работают.","","","",""
"253","caso","случай, падеж","in ogni caso","в любом случае","In ogni caso, ti aiuterò.","В любом случае я тебе помогу.","È stato un caso fortunato.","Это был счастливый случай.","In caso di emergenza, chiama il 112.","В случае чрезвычайной ситуации звони 112.","","","",""
"254","forza","сила, войска","forza di volontà","сила воли","Hai bisogno di molta forza.","Тебе нужна большая сила.","Non ho la forza di continuare.","У меня нет сил продолжать.","La sua forza mi sorprende.","Его сила меня удивляет.","","","",""
"260","nome","имя, название","nome completo","полное имя","Il mio nome è Marco.","Моё имя — Марко.","Qual è il nome di questa strada?","Как называется эта улица?","Ho dimenticato il suo nome.","Я забыл его имя.","","","",""
"262","problema","проблема","risolvere un problema","решить проблему","Ho un problema con la macchina.","У меня проблема с машиной.","Dobbiamo risolvere il problema.","Мы должны решить проблему.","Non è un problema grave.","Это не серьёзная проблема.","","","",""
"266","mondo","мир, свет","tutto il mondo","весь мир","Voglio vedere il mondo.","Я хочу увидеть мир.","Il mondo cambia in fretta.","Мир быстро меняется.","È il migliore del mondo.","Он лучший в мире.","","","",""
