A10 - Possessivi + Azioni + Preposizioni + Domande + Negazione
Это мой отец (padre).;Questo è mio padre.
Это моя мать (madre).;Questa è mia madre.
Это мои родители (genitori).;Questi sono i miei genitori.
Кто этот мужчина (uomo)?;Chi è quest'uomo?
Чья это книга (libro)?;Di chi è questo libro?
Я говорю по-итальянски (italiano).;Io parlo italiano.
Ты говоришь по-английски (inglese).;Tu parli inglese.
Он говорит по-русски (russo).;Lui parla russo.
Она говорит по-французски (francese).;Lei parla francese.
Я не говорю по-испански (spagnolo).;Non parlo spagnolo.
Это не мой язык (lingua).;Non è la mia lingua.
Я работаю в школе (scuola).;Io lavoro a scuola.
Ты работаешь в офисе (ufficio).;Tu lavori in ufficio.
Он работает в Риме (Roma).;Lui lavora a Roma.
Она работает в Италии (Italia).;Lei lavora in Italia.
Я не работаю в субботу (sabato).;Non lavoro il sabato.
Это не моя работа (lavoro).;Non è il mio lavoro.
Я изучаю музыку (musica).;Io studio la musica.
Ты изучаешь искусство (arte).;Tu studi l'arte.
Он изучает историю (storia).;Lui studia la storia.
Она изучает науку (scienza).;Lei studia la scienza.
Я не изучаю математику (matematica).;Non studio la matematica.
Это не мой предмет (materia).;Non è la mia materia.
Я живу в Москве (Mosca).;Io vivo a Mosca.
Ты живешь в Милане (Milano).;Tu vivi a Milano.
Он живет в Неаполе (Napoli).;Lui vive a Napoli.
Она живет во Флоренции (Firenze).;Lei vive a Firenze.
Я не живу в Риме (Roma).;Non vivo a Roma.
Это не мой город (città).;Non è la mia città.
Чей это дом (casa)?;Di chi è questa casa?
Чья это машина (macchina)?;Di chi è quella macchina?
Чьи это дети (figli)?;Di chi sono questi figli?
Кто твой друг (amico)?;Chi è il tuo amico?
Кто твоя учительница (insegnante)?;Chi è la tua insegnante?
Откуда ты?;Di dove sei?
Куда ты идешь?;Dove vai?
Чей это телефон (telefono)?;Di chi è il telefono?
Это не мой телефон (telefono).;Non è il mio telefono.
Это твоя сумка (borsa).;Questa è la tua borsa.
Это твои друзья (amici).;Quelli sono i tuoi amici.
Это наши идеи (idee).;Queste sono le nostre idee.
Это наш проект (progetto).;Questo è il nostro progetto.
Это ваша школа (scuola).;Quella è la vostra scuola.
Это ваши учителя (insegnanti).;Questi sono i vostri insegnanti.
Это их книга (libro).;Questo è il loro libro.
Это их дом (casa).;Quella è la loro casa.
Это их вещи (cose).;Queste sono le loro cose.
