B19 - Infinito Passato
После того как я поел, я вышел (mangiare).;Dopo aver mangiato, sono uscito.
После того как она закончила работу, она пошла домой (lavoro).;Dopo aver finito il lavoro, è andata a casa.
После того как мы посмотрели фильм, мы поговорили (film).;Dopo aver visto il film, abbiamo parlato.
После того как он прочитал письмо, он улыбнулся (lettera).;Dopo aver letto la lettera, ha sorriso.
После того как они купили билеты, они вошли (biglietti).;Dopo aver comprato i biglietti, sono entrati.
После того как я написал сообщение, я выключил телефон (messaggio).;Dopo aver scritto il messaggio, ho spento il telefono.
После того как она открыла окно, она села (finestra).;Dopo aver aperto la finestra, si è seduta.
После того как мы нашли ключи, мы вышли (chiavi).;Dopo aver trovato le chiavi, siamo usciti.
После того как он сказал правду, он замолчал (verità).;Dopo aver detto la verità, ha taciuto.
После того как я выпил кофе, я начал работать (caffè).;Dopo aver bevuto il caffè, ho iniziato a lavorare.
После того как я пришел домой, я позвонил Марко (casa).;Dopo essere arrivato a casa, ho telefonato a Marco.
После того как она вернулась, она приготовила ужин (tornare).;Dopo essere tornata, ha preparato la cena.
После того как мы вышли, мы взяли такси (taxi).;Dopo essere usciti, abbiamo preso un taxi.
После того как он уехал, он написал нам (partire).;Dopo essere partito, ci ha scritto.
После того как они вошли, они закрыли дверь (entrare).;Dopo essere entrati, hanno chiuso la porta.
Перед тем как уйти, я закрыл дверь (porta).;Prima di partire, ho chiuso la porta.
Перед тем как начать, мы повторили правило (regola).;Prima di iniziare, abbiamo ripetuto la regola.
Перед тем как ответить, она подумала (rispondere).;Prima di rispondere, ha pensato.
Перед тем как купить машину, он проверил цену (prezzo).;Prima di comprare la macchina, ha controllato il prezzo.
Перед тем как лечь спать, я прочитал книгу (libro).;Prima di andare a dormire, ho letto un libro.
После того как он сделал ошибку, он извинился (errore).;Dopo aver fatto un errore, si è scusato.
После того как мы решили проблему, мы отдохнули (problema).;Dopo aver risolto il problema, ci siamo riposati.
После того как она услышала новость, она заплакала (notizia).;Dopo aver sentito la notizia, ha pianto.
После того как я потерял ключ, я вернулся домой (chiave).;Dopo aver perso la chiave, sono tornato a casa.
После того как они закончили урок, они ушли (lezione).;Dopo aver finito la lezione, sono andati via.
После того как я родился, семья переехала (nascere).;Dopo essere nato, la famiglia si è trasferita.
После того как она села, она открыла книгу (sedersi).;Dopo essersi seduta, ha aperto il libro.
После того как дети проснулись, они позавтракали (bambini).;Dopo essersi svegliati, i bambini hanno fatto colazione.
После того как он переоделся, он вышел (cambiarsi).;Dopo essersi cambiato, è uscito.
После того как мы встретились, мы пошли в кафе (incontrarsi).;Dopo esserci incontrati, siamo andati al bar.
После того как она умылась, она оделась (lavarsi).;Dopo essersi lavata, si è vestita.
После того как я записался на курс, я купил книгу (corso).;Dopo essermi iscritto al corso, ho comprato il libro.
После того как ты вернулась, ты позвонила мне (tornare).;Dopo essere tornata, mi hai chiamato.
После того как вы ушли, мы закрыли офис (ufficio).;Dopo essere andati via, abbiamo chiuso l'ufficio.
После того как он поговорил с врачом, он успокоился (medico).;Dopo aver parlato con il medico, si è calmato.
После того как мы получили письмо, мы ответили (lettera).;Dopo aver ricevuto la lettera, abbiamo risposto.
После того как она увидела ошибку, она исправила текст (errore).;Dopo aver visto l'errore, ha corretto il testo.
После того как я выбрал дату, я забронировал билет (data).;Dopo aver scelto la data, ho prenotato il biglietto.
После того как они приготовили ужин, они накрыли стол (cena).;Dopo aver preparato la cena, hanno apparecchiato.
После того как мы приехали в город, мы нашли гостиницу (città).;Dopo essere arrivati in città, abbiamo trovato l'albergo.
