G129 - Притяжательное слово после essere
Книга моя (il libro);Il libro è mio
Дом твой (la casa);La casa è tua
Газета моя (il giornale);Il giornale è mio
Кофе твой (il caffè);Il caffè è tuo
Задания наши (i compiti);I compiti sono nostri
Письма ваши (le lettere);Le lettere sono vostre
Это письмо моё (la lettera);Questa lettera è mia
Книги мои (i libri);I libri sono miei
Вода твоя (l'acqua);L'acqua è tua
Ужин наш (la cena);La cena è nostra
Тот дом ваш (la casa);Quella casa è vostra
Этот кофе не мой (il caffè);Questo caffè non è mio
Машина твоя? (la macchina);La macchina è tua?
