Verb BE
Ты здесь?;Are you here?
Ты работаешь здесь?;Do you work here?
Он дома?;Is he at home?
Он работает из дома?;Does he work from home?
Она пошла в театр с Джоном;She went to the theater with John.
Она красивая?;Is she beautiful?
Она выглядит красивой?;Does she look beautiful?
Ей понравился ужин?;Did she like the dinner?
Она интересуется машинами;She is interested in cars.
Она купила машину у Майка;She bought a car from Mike.
Она устала от этого;She is tired of it.
Ты болен?;Are you sick?
Это займёт 20 минут;It will take 20 minutes.
Я застрял на вопросе 10;I'm stuck on question 10.
Ты дружишь с Jennifer?;Are you friends with Jennifer?
Она жаловалась о своём муже;She complained about her husband.
Она звонила Майку?;Did she call Mike?
Где ты работаешь?;Where do you work?
Ты занят?;Are you busy?
Ты будешь здесь в 10?;Will you be here at 10?
Она не стыдится своего прошлого;She isn't ashamed of her past.
Вчера дождило?;Was it raining yesterday?
Ты хорошо спал прошлой ночью?;Did you sleep well last night?
Я вчера поговорил с Джоном о его работе;I talked to John about his job yesterday.
На улице холодно?;Is it cold outside?
Она не боится собак;She isn't afraid of dogs.
Они не обратили внимание на это;They didn't pay attention to it.
Они работали над этой презентацией всю ночь;They worked on this presentation all night.
Когда они придумали этот план?;When did they come up with this plan?
Она интересуется наукой?;Is she interested in science?
Почему он вчера ушёл?;Why did he leave yesterday?
Я услышал это от Джона;I heard it from John.
Ему надо поискать работу;He should look for a job.
Вчера дождило;It was raining yesterday.
Она дома?;Is she at home?
Они провели 20 минут там и ушли;They spent 20 minutes there and left.
Это заняло много времени;It took a lot of time.
Он болеет;He is sick.
Где ты нашёл ту работу?;Where did you find that job?
Ты беспокоишься о Линде?;Are you worried about Linda?
Она должна пожаловаться менеджеру;She should complain to the manager.
Он умный но он не учится достаточно;He is smart but he doesn't study enough.
