A07 - Domande (W-questions: chi/che/cosa/a-chi/di-chi/con-chi/dove/quando/come/perché/quanto/quale)
Кто ты? (chi);Chi sei?
Кто это? (chi);Chi è questo?
Что ты делаешь? (fai);Cosa fai?
Что это? (cos'è);Cos'è questo?
Кому ты говоришь? (a chi, parli);A chi parli?
Кому ты говоришь по-итальянски? (a chi, parli italiano);A chi parli italiano?
Чья это книга? (libro);Di chi è questo libro?
О ком ты говоришь? (parli);Di chi parli?
С кем ты идешь? (vai);Con chi vai?
С кем ты работаешь? (lavori);Con chi lavori?
Где ты живешь? (dove-где, vivi);Dove vivi?
Где ты работаешь? (dove-где, lavori);Dove lavori?
Куда ты идешь? (dove-куда, vai);Dove vai?
Откуда ты? (di dove);Di dove sei?
Откуда вы? (di dove, siete);Di dove siete?
Когда ты работаешь? (quando, lavori);Quando lavori?
Когда ты учишься? (quando, studi);Quando studi?
Как тебя зовут? (chiami);Come ti chiami?
Как ты? (stai);Come stai?
Как ты учишься? (come, studi);Come studi?
Почему ты учишься? (perché, studi);Perché studi?
Почему ты здесь? (perché, qui);Perché sei qui?
Сколько тебе лет? (quanti, anni);Quanti anni hai?
Сколько у тебя времени? (quanto, tempo);Quanto tempo hai?
Сколько времени? (che ore);Che ore sono?
Где ресторан? (dove, ristorante);Dov'è il ristorante?
Какой номер? (qual, numero);Qual è il numero?
Кто учитель? (insegnante);Chi è l'insegnante?
Что вы изучаете? (studiate);Cosa studiate?
Кому вы говорите? (a chi, parlate);A chi parlate?
Чья это машина? (macchina);Di chi è questa macchina?
С кем вы разговариваете? (parlate);Con chi parlate?
Где вы живете? (dove-где, abitate);Dove abitate?
Когда вы работаете? (quando, lavorate);Quando lavorate?
Как вы учитесь? (come, studiate);Come studiate?
Почему вы работаете? (perché, lavorate);Perché lavorate?
Сколько у вас времени? (quanto, tempo);Quanto tempo avete?
Какой это цвет? (colore);Che colore è?
Кто эта девушка? (ragazza);Chi è questa ragazza?
Что ты делаешь вечером? (fai, stasera);Cosa fai stasera?
Где станция? (stazione);Dov'è la stazione?
Кто этот парень? (ragazzo);Chi è questo ragazzo?
Что ты читаешь? (leggi);Cosa leggi?
Где девушка? (ragazza);Dov'è la ragazza?
Когда ты читаешь? (quando, leggi);Quando leggi?
Как ты говоришь? (come, parli);Come parli?
Почему ты работаешь? (perché, lavori);Perché lavori?
Сколько языков ты изучаешь? (quante, lingue, studi);Quante lingue studi?
Какой сегодня день? (giorno);Che giorno è oggi?
Кто этот человек? (persona);Chi è questa persona?
Что вы делаете? (cosa, fate);Cosa fate?
Где телефон? (telefono);Dov'è il telefono?
Когда у тебя выходной? (giorno, libero);Quando hai il giorno libero?
