G235 - Andarsene: уходить
Я ухожу (andarsene);Me ne vado
Анна уходит (andarsene);Anna se ne va
Ты уходишь? (andarsene);Te ne vai?
Мы уходим (andarsene);Ce ne andiamo
Вы уходите (andarsene);Ve ne andate
Они уходят (andarsene);Se ne vanno
Марко уходит домой (andarsene, a casa);Marco se ne va a casa
Почему ты уходишь? (andarsene);Perché te ne vai?
Я сейчас ухожу (andarsene, adesso);Me ne vado adesso
Я ушёл (andarsene);Me ne sono andato
Мы ушли рано (andarsene, presto);Ce ne siamo andati presto
Дети ушли (andarsene);I bambini se ne sono andati
Не уходи! (andarsene);Non te ne andare!
