C16 - Alterati: diminutivi e accrescitivi
У меня есть маленький домик в горах (montagna).;Ho una casetta in montagna.
Дай мне маленькую чашечку кофе (caffè).;Dammi una tazzina di caffè.
Я вижу маленького мальчика в парке (parco).;Vedo un ragazzino nel parco.
Куда идет этот маленький щенок (cane)?;Dove va quel cagnolino?
Она купила маленькое кольцо (anello).;Ha comprato un anellino.
Положи хлеб в маленькую корзинку (pane).;Metti il pane in questo panierino.
Покажи мне свою маленькую книжку (libro).;Mostrami il tuo libricino.
Мне нужно купить маленькую бутылку воды (acqua).;Devo comprare una bottiglietta d'acqua.
Девушка носит маленькую сумочку (borsa).;La ragazza porta una borsina.
Мне нужна маленькая ложка (cucchiaio).;Mi serve un cucchiaino.
Он пьет из маленькой чашки (tazza).;Beve da una tazzina.
Я живу в маленьком городке (paese).;Abito in un paesino.
Эта маленькая птичка поет (uccello).;Questo uccellino canta.
Дай мне свою маленькую руку (mano).;Dammi la tua manina.
Этот милый котенок спит (gatto).;Questo gattino dorme.
У этого человека большой нос (naso).;Quest'uomo ha un nasone.
Посмотри на этого большого мужчину (uomo)!;Guarda quest'uomone!
Я купил большой ботинок (scarpa).;Ho comprato uno scarpone.
Она читает большую толстую книгу (libro).;Legge un librone.
Перед домом стоит большой стол (tavolo).;Davanti alla casa c'è un tavolone.
Он живет в большом доме (casa).;Abita in una casona.
В комнате стоит большое кресло (poltrona).;Nella stanza c'è una poltrona enorme.
Это плохая вещь (cosa).;È una cosaccia.
Какая плохая погода сегодня (tempo)!;Che tempoaccio oggi!
Это дешевый неприятный ресторан (ristorante).;È un ristoranteccio.
Не хочу эту ужасную вещь (cosa).;Non voglio questa cosaccia.
Этот человек неприятный (persona).;Questa è una personaccia.
Это плохой фильм (film).;È un filmaccio.
Это грубый парень (ragazzo).;È un ragazzaccio.
Какая плохая фигура (figura)!;Che figuraccia!
Спокойной ночи, малыш (piccolo).;Buonanotte, piccolino.
Давай, малыш (piccolo)!;Dai, piccolino!
Какая милая девушка (ragazza)!;Che ragazzina carina!
Посмотри на этого милого ребенка (bambino).;Guarda questo bambinetto.
Моя дорогая, я тебя люблю (tesoro).;Tesoruccio mio, ti amo.
Этот милый котик спит (gatto).;Questo gattino dorme.
Купи немного хлеба (pane).;Compra un po' di pane.
У меня есть только немного времени (tempo).;Ho solo un po' di tempo.
Дайте мне, пожалуйста, немного вина (vino).;Mi dia un po' di vino, per favore.
Она говорит тихим голоском (voce).;Parla con una vocina.
