C12 - Stare per + infinito / Stare + gerundio nel passato
Я собираюсь уехать (partire).;Sto per partire.
Я собираюсь поесть (mangiare).;Sto per mangiare.
Я собираюсь выйти (uscire).;Sto per uscire.
Я скоро приду (arrivare).;Sto per arrivare.
Я собираюсь позвонить (chiamare).;Sto per chiamare.
Я собираюсь написать (scrivere).;Sto per scrivere.
Я собираюсь прочитать письмо (lettera).;Sto per leggere la lettera.
Я собираюсь сказать правду (verità).;Sto per dire la verità.
Я собираюсь сделать это (fare).;Sto per farlo.
Я собираюсь увидеть его (vedere).;Sto per vederlo.
Я уже собирался уехать, когда ты позвонил (chiamare).;Stavo per partire quando hai chiamato.
Я уже собирался поесть, когда он пришел (arrivare).;Stavo per mangiare quando è arrivato.
Я уже собирался выйти, когда пошел дождь (pioggia).;Stavo per uscire quando ha iniziato a piovere.
Я уже собирался позвонить, когда ты пришел (arrivare).;Stavo per chiamare quando sei arrivato.
Я уже собирался сказать что-то, когда забыл (qualcosa).;Stavo per dire qualcosa quando ho dimenticato tutto.
Я уже собирался сделать это, когда передумал (idea).;Stavo per farlo quando ho cambiato idea.
Я уже собирался взять ключи, когда ты сказал нет (chiavi).;Stavo per prendere le chiavi quando hai detto di no.
Я уже собирался дать ответ, когда понял ошибку (risposta).;Stavo per dare una risposta quando ho capito l'errore.
Я уже собирался пойти туда, когда увидел тебя (lì).;Stavo per andarci quando ti ho visto.
Я уже собирался прийти, когда услышал новость (notizia).;Stavo per venire quando ho sentito la notizia.
Я работал, когда ты позвонил (lavorare).;Stavo lavorando quando hai chiamato.
Она читала, когда я вошел (leggere).;Stava leggendo quando sono entrato.
Мы готовили ужин, когда пришли гости (cena).;Stavamo preparando la cena quando sono arrivati gli ospiti.
Они смотрели фильм, когда начался дождь (film).;Stavano guardando un film quando è iniziata la pioggia.
Ты писал письмо, когда я вернулся (lettera).;Stavi scrivendo una lettera quando sono tornato.
Я разговаривал с Марко, когда пришла Анна (Marco).;Stavo parlando con Marco quando è arrivata Anna.
Она ждала автобус, когда увидела меня (autobus).;Stava aspettando l'autobus quando mi ha visto.
Мы шли домой, когда начался снег (neve).;Stavamo andando a casa quando ha iniziato a nevicare.
Они искали ключи, когда я вошел (chiavi).;Stavano cercando le chiavi quando sono entrato.
Я пил кофе, когда получил сообщение (messaggio).;Stavo bevendo un caffè quando ho ricevuto il messaggio.
Я собирался ответить, но она продолжила (rispondere).;Stavo per rispondere, ma lei ha continuato.
Мы собирались уходить, но поезд опоздал (treno).;Stavamo per partire, ma il treno era in ritardo.
Они собирались начать, но учитель остановил их (iniziare).;Stavano per iniziare, ma l'insegnante li ha fermati.
Она собиралась плакать, но улыбнулась (piangere).;Stava per piangere, ma ha sorriso.
Ты собирался сказать правду, но промолчал (verità).;Stavi per dire la verità, ma hai taciuto.
Я шел к станции, когда встретил друга (stazione).;Stavo andando alla stazione quando ho incontrato un amico.
Она работала над проектом, когда отключили свет (progetto).;Stava lavorando al progetto quando è mancata la luce.
Мы обсуждали план, когда пришло письмо (piano).;Stavamo discutendo il piano quando è arrivata la lettera.
Они обедали, когда зазвонил телефон (telefono).;Stavano pranzando quando ha squillato il telefono.
Я собирался закрыть дверь, когда ты вошел (porta).;Stavo per chiudere la porta quando sei entrato.
