B22 - Pronomi Relativi
Это мальчик, которого я вижу.;Questo è il ragazzo che vedo.
Это книга, которую я читаю.;Questo è il libro che leggo.
Это женщина, которая работает здесь.;Questa è la donna che lavora qui.
Это друзья, которые живут в Риме.;Questi sono gli amici che vivono a Roma.
Это письмо, которое я написал.;Questa è la lettera che ho scritto.
Это город, который я люблю.;Questa è la città che amo.
Это человек, с которым я работаю.;Questa è la persona con cui lavoro.
Это друг, которому я звоню.;Questo è l'amico a cui telefono.
Это тема, о которой мы говорим.;Questo è il tema di cui parliamo.
Это дом, в котором я живу.;Questa è la casa in cui vivo.
Это причина, по которой я здесь.;Questa è la ragione per cui sono qui.
Это девушка, которой я пишу.;Questa è la ragazza a cui scrivo.
Это офис, в котором она работает.;Questo è l'ufficio in cui lavora.
Это книга, о которой я думаю.;Questo è il libro a cui penso.
Это проблема, которую мы решаем.;Questo è il problema che risolviamo.
Это учитель, которого мы слушаем.;Questo è l'insegnante che ascoltiamo.
Это студент, которому я помогаю.;Questo è lo studente a cui do aiuto.
Это фильм, который я видел вчера.;Questo è il film che ho visto ieri.
Это ресторан, в котором мы ели.;Questo è il ristorante in cui abbiamo mangiato.
Это город, из которого я приехал.;Questa è la città da cui vengo.
Это стол, на котором лежит книга.;Questo è il tavolo su cui c'è il libro.
Это человек, которому я доверяю.;Questa è la persona di cui mi fido.
Это день, когда мы встретились.;Questo è il giorno in cui ci siamo incontrati.
Это момент, когда я понял.;Questo è il momento in cui ho capito.
Это причина, по которой я учусь.;Questa è la ragione per cui studio.
Это дом, дверь которого открыта.;Questa è la casa la cui porta è aperta.
Это студент, чья книга здесь.;Questo è lo studente il cui libro è qui.
Это женщина, чья дочь учится.;Questa è la donna la cui figlia studia.
Это тема, значение которой ясно.;Questo è il tema il cui significato è chiaro.
Это люди, с которыми мы говорили.;Queste sono le persone con cui abbiamo parlato.
