A11 - Αριθμοί, ώρα, ημερομηνία (Числа, время, дата)
Один друг (ένας, φίλος);Ένας φίλος
Одна женщина (μία/μια, γυναίκα);Μία γυναίκα
Одна книга (ένα, βιβλίο);Ένα βιβλίο
Три книги (τρία, βιβλίο);Τρία βιβλία
Четыре ученика (τέσσερις, μαθητής);Τέσσερις μαθητές
Четыре ребёнка (τέσσερα, παιδί);Τέσσερα παιδιά
Пять кошек (πέντε, γάτα);Πέντε γάτες
Шесть столов (έξι, τραπέζι);Έξι τραπέζια
Три друга (τρεις, φίλος);Τρεις φίλοι
Две женщины (δύο, γυναίκα);Δύο γυναίκες
Одиннадцать студентов (έντεκα, φοιτητής);Έντεκα φοιτητές
Двенадцать месяцев (δώδεκα, μήνας);Δώδεκα μήνες
Пятнадцать евро (δεκαπέντε, ευρώ);Δεκαπέντε ευρώ
Двадцать дней (είκοσι, μέρα);Είκοσι μέρες
Сто страниц (εκατό, σελίδα);Εκατό σελίδες
Тысяча слов (χίλια, λέξη);Χίλια λόγια
Который час? (τι, ώρα, είναι);Τι ώρα είναι;
Сейчас один час (είναι, μία);Είναι μία
Сейчас три часа (είναι, τρεις);Είναι τρεις
Сейчас восемь часов (είναι, οκτώ);Είναι οκτώ
Половина одиннадцатого (δέκα, και, μισό);Είναι δέκα και μισό
Без пяти двенадцать (είναι, δώδεκα, παρά πέντε);Είναι δώδεκα παρά πέντε
Какой сегодня день? (τι, μέρα, είναι, σήμερα);Τι μέρα είναι σήμερα;
Сегодня понедельник (σήμερα, είναι, Δευτέρα);Σήμερα είναι Δευτέρα
Сегодня пятница (σήμερα, είναι, Παρασκευή);Σήμερα είναι Παρασκευή
Сегодня суббота (σήμερα, είναι, Σάββατο);Σήμερα είναι Σάββατο
Пятое марта (στις, πέντε, Μαρτίου);Στις πέντε Μαρτίου
Двадцать пятое мая (στις, είκοσι πέντε, Μαΐου);Στις είκοσι πέντε Μαΐου
Сколько тебе лет? (πόσων, χρονών, είσαι);Πόσων χρονών είσαι;
Мне двадцать пять лет (είμαι, είκοσι πέντε, χρονών);Είμαι είκοσι πέντε χρονών
У меня трое детей (έχω, τρία, παιδιά);Έχω τρία παιδιά
Двадцать евро, пожалуйста (είκοσι, ευρώ, παρακαλώ);Είκοσι ευρώ, παρακαλώ
Три билета, пожалуйста (τρία, εισητήριο, παρακαλώ);Τρία εισητήρια, παρακαλώ
