Я работаю каждый день;I work every day
Они жили в маленьком доме;They lived in a small house
Она будет главой совета;She will head the council
У меня есть три книги;I have three books
Это кажется хорошей идеей;It seems a good idea
Он придет завтра;He will come tomorrow
Мы видим результат;We see the result
Ребенок играл в парке;The child played in the park
Правительство предоставит услуги;The government will provide services
Я знаю этого человека;I know this man
Я не работаю по выходным;I don't work+I do not work on weekends
Он не жил в этой стране;He didn't live+He did not live in this country
У нее нет машины;She doesn't have+She does not have a car
Они не увидят разницу;They won't see+They will not see the difference
Мы не знаем ответа;We don't know+We do not know the answer
Ребенок не играл вчера;The child didn't play+The child did not play yesterday
Компания не предоставит отчет;The company won't report+The company will not report
Я не чувствую проблему;I don't feel+I do not feel the problem
Они не берут деньги;They don't take+They do not take money
Он не придет в мае;He won't come+He will not come in May
Ты работаешь здесь?;Do you work here?
Они жили в том доме?;Did they live in that house?
У нее есть время?;Does she have time?
Он придет завтра?;Will he come tomorrow?
Вы видите разницу?;Do you see the difference?
Ребенок играл в саду?;Did the child play in the garden?
Правительство предоставит помощь?;Will the government provide help?
Ты знаешь этого человека?;Do you know this man?
Я могу сделать эту работу;I can do this job
Она могла видеть дом отсюда;She could see the house from here
Мы сможем помочь завтра;We will can help tomorrow
Он может найти информацию;He can find the information
Ребенок может играть здесь;The child can play here
Я не могу сделать эту работу;I can't do+I cannot do this job
Она не могла видеть дом;She couldn't see+She could not see the house
Мы не сможем помочь;We won't can help+We will not can help
Он не может найти ответ;He can't find+He cannot find the answer
Ты можешь сделать это?;Can you do it?
Она могла видеть его?;Could she see him?
Мы сможем прийти?;Will we can come?
Он может найти дорогу?;Can he find the way?
Я беру книгу каждый день;I take a book every day
Он брал машину в понедельник;He took the car on Monday
Мы возьмем деньги завтра;We will take the money tomorrow
Она любит учиться;She likes studying
Он ненавидит работать по ночам;He hates working at night
У них есть два дома;They have two houses
Это будет большой проблемой;It will be a big problem
Вода всегда холодная;The water is always cold
Она сидела в комнате;She sat in the room
Он не берет книги;He doesn't take+He does not take books
Она не брала машину;She didn't take+She did not take the car
Мы не возьмем их деньги;We won't take+We will not take their money
Она не любит учиться;She doesn't like+She does not like studying
Он не ненавидит работу;He doesn't hate+He does not hate work
У нас нет времени;We don't have+We do not have time
Это не будет проблемой;It won't be+It will not be a problem
Вода не холодная;The water isn't+The water is not cold
Она не сидела там;She didn't sit+She did not sit there
Берешь ли ты книгу?;Do you take a book?
Брала ли она машину?;Did she take the car?
Возьмем ли мы деньги?;Will we take the money?
Любит ли она учиться?;Does she like studying?
Ненавидит ли он работать?;Does he hate working?
Есть ли у них дом?;Do they have a house?
Будет ли это проблемой?;Will it be a problem?
Холодная ли вода?;Is the water cold?
Сидела ли она здесь?;Did she sit here?
Я нахожу ответы легко;I find answers easily
Он нашел работу в марте;He found a job in March
Они найдут решение;They will find a solution
Мы смотрим на это каждый день;We look at it every day
Она смотрела на него вчера;She looked at him yesterday
Вы посмотрите на отчет завтра;You will look at the report tomorrow
Я начинаю работу рано;I start work early
Он начал бизнес в прошлом году;He started a business last year
Она начнет курс в мае;She will start a course in May
Я не нахожу ответы;I don't find+I do not find answers
Он не нашел работу;He didn't find+He did not find a job
Они не найдут решение;They won't find+They will not find a solution
Мы не смотрим на это;We don't look+We do not look at it
Она не смотрела на отчет;She didn't look+She did not look at the report
Вы не посмотрите на него;You won't look+You will not look at him
Я не начинаю поздно;I don't start+I do not start late
Он не начал вчера;He didn't start+He did not start yesterday
Она не начнет в мае;She won't start+She will not start in May
Находишь ли ты ответы?;Do you find answers?
Нашел ли он работу?;Did he find a job?
Найдут ли они решение?;Will they find a solution?
Смотрите ли вы на это?;Do you look at it?
Смотрела ли она на отчет?;Did she look at the report?
Посмотрите ли вы завтра?;Will you look tomorrow?
Начинаешь ли ты рано?;Do you start early?
Начал ли он вчера?;Did he start yesterday?
Начнет ли она в мае?;Will she start in May?
Я чувствую разницу сейчас;I feel the difference now
Он чувствовал проблему тогда;He felt the problem then
Они почувствуют эффект позже;They will feel the effect later
Она говорит правду;She tells the truth
Он сказал это в прошлый раз;He told it last time
Мы скажем слово завтра;We will tell the word tomorrow
Система работает хорошо;The system works well
Услуга работала вчера;The service worked yesterday
Это будет работать завтра;It will work tomorrow
Я не чувствую разницу;I don't feel+I do not feel the difference
Он не чувствовал проблему;He didn't feel+He did not feel the problem
Они не почувствуют эффект;They won't feel+They will not feel the effect
Она не говорит правду;She doesn't tell+She does not tell the truth
Он не сказал это;He didn't tell+He did not tell it
Мы не скажем слово;We won't tell+We will not tell the word
Система не работает;The system doesn't work+The system does not work
Услуга не работала;The service didn't work+The service did not work
Это не будет работать;It won't work+It will not work
Чувствуешь ли ты разницу?;Do you feel the difference?
Чувствовал ли он проблему?;Did he feel the problem?
Почувствуют ли они эффект?;Will they feel the effect?
Говорит ли она правду?;Does she tell the truth?
Сказал ли он это?;Did he tell it?
Скажем ли мы слово?;Will we tell the word?
Работает ли система?;Does the system work?
Работала ли услуга?;Did the service work?
Будет ли это работать?;Will it work?
Я думаю об этом часто;I think about it often
Он думал о своем доме;He thought about his house
Мы подумаем о вашем предложении;We will think about your offer
Они приходят сюда каждый год;They come here every year
Она пришла вчера вечером;She came yesterday evening
Ребенок придет завтра;The child will come tomorrow
Это становится реальностью;It becomes reality
Он стал главой отдела;He became head of the department
Это станет проблемой;It will become a problem
Я не думаю об этом;I don't think+I do not think about it
