A09 - Questo / Quello
Этот мальчик (questo, ragazzo);Questo ragazzo
Тот мальчик (quello, ragazzo);Quel ragazzo
Эта девочка (questa, ragazza);Questa ragazza
Та девочка (quella, ragazza);Quella ragazza
Эти мальчики (questi, ragazzi);Questi ragazzi
Те мальчики (quei, ragazzi);Quei ragazzi
Эти девочки (queste, ragazze);Queste ragazze
Те девочки (quelle, ragazze);Quelle ragazze
Этот мой друг (questo, mio, amico);Questo è il mio amico
Тот мой друг (quello, mio, amico);Quello è il mio amico
Эта моя подруга (questa, mia, amica);Questa è la mia amica
Та моя подруга (quella, mia, amica);Quella è la mia amica
Эти мои друзья (questi, miei, amici);Questi sono i miei amici
Те мои друзья (quegli, amici);Quegli amici sono miei
Этот новый друг (questo, nuovo, amico);Questo nuovo amico
Этот маленький мальчик (questo, piccolo, ragazzo);Questo piccolo ragazzo
Тот старый друг (quello, vecchio, amico);Quel vecchio amico
Этот высокий мужчина (questo, alto, uomo);Quest'uomo è alto
Тот высокий мужчина (quello, alto, uomo);Quell'uomo è alto
Эта чистая школа (questa, pulita, scuola);Questa scuola è pulita
Та грязная школа (quella, sporca, scuola);Quella scuola è sporca
Эта книга интересная (questo, interessante, libro);Questo libro è interessante
Та книга интересная (quello, interessante, libro);Quel libro è interessante
Эти мужчины молодые (questi, giovani, uomini);Questi uomini sono giovani
Те женщины счастливые (quelle, felici, donne);Quelle donne sono felici
Не этот мальчик (questo, ragazzo);Non questo ragazzo
Не та книга (quello, libro);Non quel libro
Не эти друзья (questi, amici);Non questi amici
