C11 - Forma passiva: venire e andare
Эта дверь открывается каждый день (porta).;Questa porta viene aperta ogni giorno.
Письма доставляются почтальоном (postino).;Le lettere vengono consegnate dal postino.
Проблемы решаются постепенно (problemi).;I problemi vengono risolti gradualmente.
Вопросы обсуждаются на собрании (riunione).;Le domande vengono discusse nella riunione.
Здание строится уже два года (palazzo).;Il palazzo viene costruito da due anni.
Еда готовится с любовью (cibo).;Il cibo viene preparato con amore.
Правила меняются каждый год (regole).;Le regole vengono cambiate ogni anno.
Работа делается тщательно (cura).;Il lavoro viene fatto con cura.
Документы подписываются директором (direttore).;I documenti vengono firmati dal direttore.
Этот проект финансируется государством (stato).;Questo progetto viene finanziato dallo stato.
История рассказывается по-разному (storia).;La storia viene raccontata in modi diversi.
Цены повышаются каждый месяц (prezzi).;I prezzi vengono aumentati ogni mese.
Школа ремонтируется этим летом (scuola).;La scuola viene ristrutturata questa estate.
Вода нагревается солнцем (sole).;L'acqua viene riscaldata dal sole.
Планы одобряются советом (consiglio).;I piani vengono approvati dal consiglio.
Дверь должна быть закрыта (porta).;La porta va chiusa.
Это должно быть сделано немедленно (subito).;Questo va fatto immediatamente.
Задание должно быть завершено сегодня (compito).;Il compito va completato oggi.
Мусор должен быть выброшен (spazzatura).;La spazzatura va buttata.
Комната должна быть убрана (stanza).;La stanza va pulita.
Окна должны быть помыты (finestre).;Le finestre vanno lavate.
Письмо должно быть отправлено (lettera).;La lettera va spedita.
Доклад должен быть написан по-итальянски (relazione).;La relazione va scritta in italiano.
Билеты должны быть куплены заранее (biglietti).;I biglietti vanno comprati in anticipo.
Машина должна быть припаркована здесь (macchina).;La macchina va parcheggiata qui.
Результаты должны быть проверены (risultati).;I risultati vanno controllati.
Вещи должны быть унесены домой (cose).;Le cose vanno portate a casa.
Деньги должны быть заплачены сегодня (soldi).;I soldi vanno pagati oggi.
Стол должен быть накрыт к обеду (tavolo).;Il tavolo va apparecchiato per pranzo.
Ребенок должен быть забран из школы (bambino).;Il bambino va preso da scuola.
Посуда должна быть вымыта после ужина (piatti).;I piatti vanno lavati dopo cena.
Трава должна быть скошена завтра (erba).;L'erba va tagliata domani.
Форма должна быть заполнена от руки (modulo).;Il modulo va compilato a mano.
Вино должно подаваться охлажденным (vino).;Il vino va servito fresco.
Мясо должно быть приготовлено на медленном огне (carne).;La carne va cotta a fuoco lento.
Закон должен соблюдаться (legge).;La legge va rispettata.
Ошибка должна быть исправлена сразу (errore).;L'errore va corretto subito.
Решение должно быть объяснено ясно (soluzione).;La soluzione va spiegata chiaramente.
Данные должны быть сохранены (dati).;I dati vanno salvati.
Файл должен быть отправлен сегодня (file).;Il file va inviato oggi.
