B23 - Forma Passiva e Si
Дверь открыта. (porta, aperta);La porta è aperta.
Дверь была открыта Марко. (porta, stata, aperta, marco);La porta è stata aperta da Marco.
Письмо написано. (lettera, scritta);La lettera è scritta.
Письмо было написано студентом. (lettera, stata, scritta, studente);La lettera è stata scritta dallo studente.
Книга прочитана. (libro, letto);Il libro è letto.
Книга была прочитана детьми. (libro, stato, letto, bambini);Il libro è stato letto dai bambini.
Урок объяснён учителем. (lezione, spiegata, dall'insegnante);La lezione è spiegata dall'insegnante.
Урок был объяснён вчера. (lezione, stata, spiegata);La lezione è stata spiegata ieri.
Окно закрыто. (finestra, chiusa);La finestra è chiusa.
Окно было закрыто ветром. (finestra, stata, chiusa, vento);La finestra è stata chiusa dal vento.
Дом построен быстро. (casa, costruita, velocemente);La casa è costruita velocemente.
Дом был построен в прошлом году. (casa, stata, costruita, l'anno);La casa è stata costruita l'anno scorso.
В Италии говорят по-итальянски. (italia, parla, italiano);In Italia si parla italiano.
Здесь хорошо едят. (mangia, bene);Qui si mangia bene.
В этом магазине продают книги. (negozio, vendono, libri);In questo negozio si vendono libri.
В школе изучают языки. (scuola, studiano, lingue);A scuola si studiano le lingue.
Здесь не курят. (fuma);Qui non si fuma.
По воскресеньям не работают. (domenica, lavora);La domenica non si lavora.
В этом ресторане готовят рыбу. (ristorante, cucina, pesce);In questo ristorante si cucina il pesce.
В Италии пьют много кофе. (italia, beve, caffè);In Italia si beve molto caffè.
Итальянский язык изучают в школе. (l'italiano, studia, scuola);L'italiano si studia a scuola.
Эти книги продаются быстро. (libri, vendono, velocemente);Questi libri si vendono velocemente.
Эта дверь открывается легко. (porta, apre, facilmente);Questa porta si apre facilmente.
Эти окна закрываются вечером. (finestre, chiudono, sera);Queste finestre si chiudono la sera.
Здесь говорят тихо. (parla, piano);Qui si parla piano.
В офисе работают много. (ufficio, lavora);In ufficio si lavora molto.
В этой комнате спят. (stanza, dorme);In questa stanza si dorme.
В библиотеке читают. (biblioteca, legge);In biblioteca si legge.
Здесь платят картой. (paga, carta);Qui si paga con la carta.
Так не говорят. (parla, così);Non si parla così.
