G154 - Presente для запланированного будущего
Завтра я работаю (lavorare);Domani lavoro
Завтра я встаю рано (alzarsi);Domani mi alzo presto
Послезавтра мы возвращаемся (tornare, dopodomani);Dopodomani torniamo
Сегодня вечером я готовлю ужин (cucinare, la cena);Stasera cucino la cena
Завтра мы покупаем хлеб (comprare, il pane);Domani compriamo il pane
В понедельник я еду в Рим (andare);Lunedì vado a Roma
Сегодня вечером мы смотрим фильм (guardare, un film);Stasera guardiamo un film
Завтра Марко работает с нами (lavorare);Domani Marco lavora con noi
Завтра я не учусь (studiare);Domani non studio
Завтра мы обедаем вместе (pranzare);Domani pranziamo insieme
В пятницу приходят друзья (venire, gli amici);Venerdì vengono gli amici
Завтра я уезжаю в восемь (partire);Domani parto alle otto
