A06 - Essere vs Avere (состояния)
ESSERE — свойство, «быть каким-то»:
Я уставший. (stanco);Sono stanco.
Ты уставшая. (stanca);Sei stanca.
Он счастливый. (felice);È felice.
Она красивая. (bella);È bella.
Мы молодые. (giovani);Siamo giovani.
Вы грустные. (tristi);Siete tristi.
Они богатые. (ricchi);Sono ricchi.
Я студент. (studente);Sono studente.
Ты врач. (dottore);Sei dottore.
Она домохозяйка. (casalinga);È casalinga.
Мы друзья. (amici);Siamo amici.
Вы в Италии. (italia);Siete in Italia.
Она дома. (casa);È a casa.
Я итальянец. (italiano);Sono italiano.
Он старый. (vecchio);È vecchio.
Она старая. (vecchia);È vecchia.
Я доволен. (contento);Sono contento.
Мы довольны. (contenti);Siamo contenti.
Я готов. (pronto);Sono pronto.
Вы готовы? (pronti);Siete pronti?
Я не уставший. (stanco);Non sono stanco.
Ты не грустный. (triste);Non sei triste.
Он не счастливый. (felice);Non è felice.
Мы не друзья. (amici);Non siamo amici.
AVERE — ощущение, «иметь что-то» (физическое состояние):
Я голоден. (fame);Ho fame.
Ты хочешь пить. (sete);Hai sete.
Ему холодно. (freddo);Ha freddo.
Мне тепло. (caldo);Ho caldo.
Мы хотим спать. (sonno);Abbiamo sonno.
Вам страшно. (paura);Avete paura.
Они спешат. (fretta);Hanno fretta.
Я прав. (ragione);Ho ragione.
Ты неправ. (torto);Hai torto.
Мне 20 лет. (anni);Ho 20 anni.
Ему 30 лет. (anni);Ha 30 anni.
У меня болит голова. (mal, testa);Ho mal di testa.
У тебя болят зубы. (mal, denti);Hai mal di denti.
Я не голоден. (fame);Non ho fame.
Ты не хочешь пить. (sete);Non hai sete.
Ему не холодно. (freddo);Non ha freddo.
Нам не страшно. (paura);Non abbiamo paura.
Я не спешу. (fretta);Non ho fretta.
Он не прав. (ragione);Non ha ragione.
Она не ошибается. (torto);Non ha torto.
У меня не болит голова. (mal, testa);Non ho mal di testa.
КОНТРАСТ — essere vs avere:
Я уставший. (stanco) → Я голоден. (fame);Sono stanco. → Ho fame.
Ему холодно. (freddo) → Ему тепло. (caldo);Ha freddo. → Ha caldo.
Ты грустный. (triste) → Ты хочешь пить. (sete);Sei triste. → Hai sete.
Мы молодые. (giovani) → Мы хотим спать. (sonno);Siamo giovani. → Abbiamo sonno.
Вы готовы? (pronti) → Вам страшно? (paura);Siete pronti? → Avete paura?
Я доволен. (contento) → Я прав. (ragione);Sono contento. → Ho ragione.
