Italian - Condizionale Presente (Drill)
я бы был счастливым (essere felice);Io sarei felice
ты бы был счастливым (essere felice);Tu saresti felice
он бы был счастливым (essere felice);Lui sarebbe felice
она бы была счастливой (essere felice);Lei sarebbe felice
мы бы были счастливыми (essere felice);Noi saremmo felici
вы бы были счастливыми (essere felice);Voi sareste felici
они бы были счастливыми (essere felice);Loro sarebbero felici
я бы хотел есть (avere fame);Io avrei fame
ты бы хотел есть (avere fame);Tu avresti fame
он бы хотел есть (avere fame);Lui avrebbe fame
она бы хотела есть (avere fame);Lei avrebbe fame
мы бы хотели есть (avere fame);Noi avremmo fame
вы бы хотели есть (avere fame);Voi avreste fame
они бы хотели есть (avere fame);Loro avrebbero fame
я бы совершил прогулку (fare una passeggiata);Io farei una passeggiata
ты бы совершил прогулку (fare una passeggiata);Tu faresti una passeggiata
он бы совершил прогулку (fare una passeggiata);Lui farebbe una passeggiata
она бы совершила прогулку (fare una passeggiata);Lei farebbe una passeggiata
мы бы совершили прогулку (fare una passeggiata);Noi faremmo una passeggiata
вы бы совершили прогулку (fare una passeggiata);Voi fareste una passeggiata
они бы совершили прогулку (fare una passeggiata);Loro farebbero una passeggiata
я бы знал правду (sapere la verità);Io saprei la verità
ты бы знал правду (sapere la verità);Tu sapresti la verità
он бы знал правду (sapere la verità);Lui saprebbe la verità
она бы знала правду (sapere la verità);Lei saprebbe la verità
мы бы знали правду (sapere la verità);Noi sapremmo la verità
вы бы знали правду (sapere la verità);Voi sapreste la verità
они бы знали правду (sapere la verità);Loro saprebbero la verità
я бы сказал правду (dire la verità);Io direi la verità
ты бы сказал правду (dire la verità);Tu diresti la verità
он бы сказал правду (dire la verità);Lui direbbe la verità
она бы сказала правду (dire la verità);Lei direbbe la verità
мы бы сказали правду (dire la verità);Noi diremmo la verità
вы бы сказали правду (dire la verità);Voi direste la verità
они бы сказали правду (dire la verità);Loro direbbero la verità
я бы пошёл в кино (andare al cinema);Io andrei al cinema
ты бы пошёл в кино (andare al cinema);Tu andresti al cinema
он бы пошёл в кино (andare al cinema);Lui andrebbe al cinema
она бы пошла в кино (andare al cinema);Lei andrebbe al cinema
мы бы пошли в кино (andare al cinema);Noi andremmo al cinema
вы бы пошли в кино (andare al cinema);Voi andreste al cinema
они бы пошли в кино (andare al cinema);Loro andrebbero al cinema
я бы был спокойным (stare calmo);Io starei calmo
ты бы был спокойным (stare calmo);Tu staresti calmo
он бы был спокойным (stare calmo);Lui starebbe calmo
она бы была спокойной (stare calmo);Lei starebbe calma
мы бы были спокойными (stare calmo);Noi staremmo calmi
вы бы были спокойными (stare calmo);Voi stareste calmi
они бы были спокойными (stare calmo);Loro starebbero calmi
я бы хотел кофе (un caffè);Io vorrei un caffè
ты бы хотел кофе (un caffè);Tu vorresti un caffè
он бы хотел кофе (un caffè);Lui vorrebbe un caffè
она бы хотела кофе (un caffè);Lei vorrebbe un caffè
мы бы хотели кофе (un caffè);Noi vorremmo un caffè
вы бы хотели кофе (un caffè);Voi vorreste un caffè
они бы хотели кофе (un caffè);Loro vorrebbero un caffè
я бы мог прийти (venire);Io potrei venire
ты бы мог прийти (venire);Tu potresti venire
он бы мог прийти (venire);Lui potrebbe venire
она бы могла прийти (venire);Lei potrebbe venire
мы бы могли прийти (venire);Noi potremmo venire
вы бы могли прийти (venire);Voi potreste venire
они бы могли прийти (venire);Loro potrebbero venire
я должен был бы учиться (studiare);Io dovrei studiare
ты должен был бы учиться (studiare);Tu dovresti studiare
он должен был бы учиться (studiare);Lui dovrebbe studiare
она должна была бы учиться (studiare);Lei dovrebbe studiare
мы должны были бы учиться (studiare);Noi dovremmo studiare
вы должны были бы учиться (studiare);Voi dovreste studiare
они должны были бы учиться (studiare);Loro dovrebbero studiare
я бы верил в будущее (credere nel futuro);Io crederei nel futuro
ты бы верил в будущее (credere nel futuro);Tu crederesti nel futuro
он бы верил в будущее (credere nel futuro);Lui crederebbe nel futuro
она бы верила в будущее (credere nel futuro);Lei crederebbe nel futuro
мы бы верили в будущее (credere nel futuro);Noi crederemmo nel futuro
вы бы верили в будущее (credere nel futuro);Voi credereste nel futuro
они бы верили в будущее (credere nel futuro);Loro crederebbero nel futuro
я бы увидел мир (vedere il mondo);Io vedrei il mondo
ты бы увидел мир (vedere il mondo);Tu vedresti il mondo
он бы увидел мир (vedere il mondo);Lui vedrebbe il mondo
она бы увидела мир (vedere il mondo);Lei vedrebbe il mondo
мы бы увидели мир (vedere il mondo);Noi vedremmo il mondo
вы бы увидели мир (vedere il mondo);Voi vedreste il mondo
они бы увидели мир (vedere il mondo);Loro vedrebbero il mondo
я бы положил конец (porre fine);Io porrei fine
ты бы положил конец (porre fine);Tu porresti fine
он бы положил конец (porre fine);Lui porrebbe fine
она бы положила конец (porre fine);Lei porrebbe fine
мы бы положили конец (porre fine);Noi porremmo fine
вы бы положили конец (porre fine);Voi porreste fine
они бы положили конец (porre fine);Loro porrebbero fine
я бы дал совет (dare un consiglio);Io darei un consiglio
ты бы дал совет (dare un consiglio);Tu daresti un consiglio
он бы дал совет (dare un consiglio);Lui darebbe un consiglio
она бы дала совет (dare un consiglio);Lei darebbe un consiglio
мы бы дали совет (dare un consiglio);Noi daremmo un consiglio
вы бы дали совет (dare un consiglio);Voi dareste un consiglio
они бы дали совет (dare un consiglio);Loro darebbero un consiglio
я бы казался усталым (stanco);Io sembrerei stanco
ты бы казался усталым (stanco);Tu sembreresti stanco
он бы казался усталым (stanco);Lui sembrerebbe stanco
она бы казалась усталой (stanco);Lei sembrerebbe stanca
мы бы казались усталыми (stanco);Noi sembreremmo stanchi
вы бы казались усталыми (stanco);Voi sembrereste stanchi
они бы казались усталыми (stanco);Loro sembrerebbero stanchi
я бы думал о тебе (pensare a);Io penserei a te
ты бы думал о тебе (pensare a);Tu penseresti a te
он бы думал о тебе (pensare a);Lui penserebbe a te
она бы думала о тебе (pensare a);Lei penserebbe a te
мы бы думали о тебе (pensare a);Noi penseremmo a te
вы бы думали о тебе (pensare a);Voi pensereste a te
они бы думали о тебе (pensare a);Loro penserebbero a te
я бы говорил по-английски (parlare inglese);Io parlerei inglese
ты бы говорил по-английски (parlare inglese);Tu parleresti inglese
он бы говорил по-английски (parlare inglese);Lui parlerebbe inglese
она бы говорила по-английски (parlare inglese);Lei parlerebbe inglese
мы бы говорили по-английски (parlare inglese);Noi parleremmo inglese
вы бы говорили по-английски (parlare inglese);Voi parlereste inglese
они бы говорили по-английски (parlare inglese);Loro parlerebbero inglese
я бы ждал автобус (aspettare l'autobus);Io aspetterei l'autobus
ты бы ждал автобус (aspettare l'autobus);Tu aspetteresti l'autobus
он бы ждал автобус (aspettare l'autobus);Lui aspetterebbe l'autobus
она бы ждала автобус (aspettare l'autobus);Lei aspetterebbe l'autobus
мы бы ждали автобус (aspettare l'autobus);Noi aspetteremmo l'autobus
вы бы ждали автобус (aspettare l'autobus);Voi aspettereste l'autobus
они бы ждали автобус (aspettare l'autobus);Loro aspetterebbero l'autobus
я бы молился Богу (pregare Dio);Io pregherei Dio
ты бы молился Богу (pregare Dio);Tu pregheresti Dio
он бы молился Богу (pregare Dio);Lui pregherebbe Dio
она бы молилась Богу (pregare Dio);Lei pregherebbe Dio
мы бы молились Богу (pregare Dio);Noi pregheremmo Dio
вы бы молились Богу (pregare Dio);Voi preghereste Dio
они бы молились Богу (pregare Dio);Loro pregherebbero Dio
я бы услышал шум (sentire un rumore);Io sentirei un rumore
ты бы услышал шум (sentire un rumore);Tu sentiresti un rumore
он бы услышал шум (sentire un rumore);Lui sentirebbe un rumore
она бы услышала шум (sentire un rumore);Lei sentirebbe un rumore
мы бы услышали шум (sentire un rumore);Noi sentiremmo un rumore
вы бы услышали шум (sentire un rumore);Voi sentireste un rumore
они бы услышали шум (sentire un rumore);Loro sentirebbero un rumore
я бы пришел сюда (venire qui);Io verrei qui
ты бы пришел сюда (venire qui);Tu verresti qui
он бы пришел сюда (venire qui);Lui verrebbe qui
она бы пришла сюда (venire qui);Lei verrebbe qui
мы бы пришли сюда (venire qui);Noi verremmo qui
вы бы пришли сюда (venire qui);Voi verreste qui
они бы пришли сюда (venire qui);Loro verrebbero qui
я бы смотрел телевизор (guardare la tv);Io guarderei la tv
ты бы смотрел телевизор (guardare la tv);Tu guarderesti la tv
он бы смотрел телевизор (guardare la tv);Lui guarderebbe la tv
она бы смотрела телевизор (guardare la tv);Lei guarderebbe la tv
мы бы смотрели телевизор (guardare la tv);Noi guarderemmo la tv
вы бы смотрели телевизор (guardare la tv);Voi guardereste la tv
они бы смотрели телевизор (guardare la tv);Loro guarderebbero la tv
я бы нашел решение (trovare una soluzione);Io troverei una soluzione
ты бы нашел решение (trovare una soluzione);Tu troveresti una soluzione
он бы нашел решение (trovare una soluzione);Lui troverebbe una soluzione
она бы нашла решение (trovare una soluzione);Lei troverebbe una soluzione
мы бы нашли решение (trovare una soluzione);Noi troveremmo una soluzione
вы бы нашли решение (trovare una soluzione);Voi trovereste una soluzione
они бы нашли решение (trovare una soluzione);Loro troverebbero una soluzione
я бы выпил кофе (prendere un caffè);Io prenderei un caffè
ты бы выпил кофе (prendere un caffè);Tu prenderesti un caffè
он бы выпил кофе (prendere un caffè);Lui prenderebbe un caffè
она бы выпила кофе (prendere un caffè);Lei prenderebbe un caffè
мы бы выпили кофе (prendere un caffè);Noi prenderemmo un caffè
вы бы выпили кофе (prendere un caffè);Voi prendereste un caffè
они бы выпили кофе (prendere un caffè);Loro prenderebbero un caffè
мне бы хватило мгновения (un attimo);Io basterei un attimo
тебе бы хватило мгновения (un attimo);Tu basteresti un attimo
ему бы хватило мгновения (un attimo);Lui basterebbe un attimo
ей бы хватило мгновения (un attimo);Lei basterebbe un attimo
нам бы хватило мгновения (un attimo);Noi basteremmo un attimo
вам бы хватило мгновения (un attimo);Voi bastereste un attimo
им бы хватило мгновения (un attimo);Loro basterebbero un attimo
я бы понял причину (il motivo);Io capirei il motivo
ты бы понял причину (il motivo);Tu capiresti il motivo
он бы понял причину (il motivo);Lui capirebbe il motivo
она бы поняла причину (il motivo);Lei capirebbe il motivo
мы бы поняли причину (il motivo);Noi capiremmo il motivo
вы бы поняли причину (il motivo);Voi capireste il motivo
они бы поняли причину (il motivo);Loro capirebbero il motivo
мне бы помогла помощь (un aiuto);Io servirei un aiuto
тебе бы помогла помощь (un aiuto);Tu serviresti un aiuto
ему бы помогла помощь (un aiuto);Lui servirebbe un aiuto
ей бы помогла помощь (un aiuto);Lei servirebbe un aiuto
нам бы помогла помощь (un aiuto);Noi serviremmo un aiuto
вам бы помогла помощь (un aiuto);Voi servireste un aiuto
им бы помогла помощь (un aiuto);Loro servirebbero un aiuto
я бы простил ошибку (scusare un errore);Io scuserei un errore
ты бы простил ошибку (scusare un errore);Tu scuseresti un errore
он бы простил ошибку (scusare un errore);Lui scuserebbe un errore
она бы простила ошибку (scusare un errore);Lei scuserebbe un errore
мы бы простили ошибку (scusare un errore);Noi scuseremmo un errore
вы бы простили ошибку (scusare un errore);Voi scusereste un errore
они бы простили ошибку (scusare un errore);Loro scuserebbero un errore
я бы принес подарок (portare un regalo);Io porterei un regalo
ты бы принес подарок (portare un regalo);Tu porteresti un regalo
он бы принес подарок (portare un regalo);Lui porterebbe un regalo
она бы принесла подарок (portare un regalo);Lei porterebbe un regalo
мы бы принесли подарок (portare un regalo);Noi porteremmo un regalo
вы бы принесли подарок (portare un regalo);Voi portereste un regalo
они бы принесли подарок (portare un regalo);Loro porterebbero un regalo
я бы стал причиной того, что что-то случится (succedere qualcosa);Io farei succedere qualcosa
ты бы заставил что-то случиться (succedere qualcosa);Tu faresti succedere qualcosa
он бы заставил что-то случиться (succedere qualcosa);Lui farebbe succedere qualcosa
она бы заставила что-то случиться (succedere qualcosa);Lei farebbe succedere qualcosa
мы бы заставили что-то случиться (succedere qualcosa);Noi faremmo succedere qualcosa
вы бы заставили что-то случиться (succedere qualcosa);Voi fareste succedere qualcosa
они бы заставили что-то случиться (succedere qualcosa);Loro farebbero succedere qualcosa
я бы умер от голода (morire di fame);Io morirei di fame
ты бы умер от голода (morire di fame);Tu moriresti di fame
он бы умер от голода (morire di fame);Lui morirebbe di fame
она бы умерла от голода (morire di fame);Lei morirebbe di fame
мы бы умерли от голода (morire di fame);Noi moriremmo di fame
вы бы умерли от голода (morire di fame);Voi morireste di fame
они бы умерли от голода (morire di fame);Loro morirebbero di fame
я бы искал работу (cercare lavoro);Io cercherei lavoro
ты бы искал работу (cercare lavoro);Tu cercheresti lavoro
он бы искал работу (cercare lavoro);Lui cercherebbe lavoro
она бы искала работу (cercare lavoro);Lei cercherebbe lavoro
мы бы искали работу (cercare lavoro);Noi cercheremmo lavoro
вы бы искали работу (cercare lavoro);Voi cerchereste lavoro
они бы искали работу (cercare lavoro);Loro cercherebbero lavoro
я бы прочитал книгу (leggere un libro);Io leggerebbe un libro
