B18 - Gerundio Functions
Работая, мы учимся (lavorare).;Lavorando, impariamo.
Изучая итальянский, ты поймешь культуру (italiano).;Studiando italiano, capirai la cultura.
Готовя, она поет (cucinare).;Cucinando, canta.
Бегая, он слушает музыку (musica).;Correndo, ascolta la musica.
Играя, дети учатся (bambini).;Giocando, i bambini imparano.
Читая, она училась (leggere).;Leggendo, studiava.
Живя в Италии, мы говорим по-итальянски (Italia).;Vivendo in Italia, parliamo italiano.
Работая здесь, ты заработаешь деньги (qui, soldi).;Lavorando qui, guadagnerai soldi.
Учась усердно, ты сдашь экзамен (esame).;Studiando con impegno, passerai l'esame.
Готовя внимательно, ты улучшишь результат (risultato).;Cucinando con attenzione, migliorerai il risultato.
Бегая регулярно, ты станешь здоровее (regolarmente).;Correndo regolarmente, diventerai più sano.
Читая много, ты узнаешь многое (molto).;Leggendo molto, imparerai molto.
Писав каждый день, ты улучшал навык (ogni giorno).;Scrivendo ogni giorno, miglioravi l'abilità.
Говоря медленно, ты будешь понят (piano).;Parlando piano, sarai capito.
Идя пешком, ты увидишь город (città).;Andando a piedi, vedrai la città.
Плавая регулярно, ты станешь сильнее (forte).;Nuotando regolarmente, diventerai più forte.
Путешествуя, мы узнаем мир (mondo).;Viaggiando, scopriamo il mondo.
Учась, мы растем (crescere).;Studiando, cresciamo.
Работая вместе, мы добьемся успеха (insieme).;Lavorando insieme, avremo successo.
Помогая другим, ты помогаешь себе (altri).;Aiutando gli altri, aiuti te stesso.
Веря в себя, ты победишь (vincere).;Credendo in te stesso, vincerai.
Смеясь, ты чувствуешь себя лучше (meglio).;Ridendo, ti senti meglio.
Делая упражнения, ты становишься сильнее (esercizi).;Facendo esercizi, diventi più forte.
Слушая внимательно, ты поймешь лучше (attentamente).;Ascoltando attentamente, capirai meglio.
Смотря внимательно, ты заметишь детали (dettagli).;Guardando attentamente, noterai i dettagli.
Практикуясь каждый день, ты улучшаешься (ogni giorno).;Praticando ogni giorno, migliori.
Оставаясь спокойным, ты примешь правильное решение (calmo).;Rimanendo calmo, prenderai la decisione giusta.
Будучи терпеливым, ты достигнешь цели (paziente).;Essendo paziente, raggiungerai l'obiettivo.
Зная это, ты поймешь остальное (resto).;Sapendo questo, capirai il resto.
Имея время, я бы помог (tempo).;Avendo tempo, aiuterei.
Будучи больным, он остался дома (malato).;Essendo malato, è rimasto a casa.
Работая усердно, она добилась успеха (successo).;Lavorando sodo, ha ottenuto successo.
Изучая язык, ты откроешь новые возможности (lingua).;Studiando la lingua, aprirai nuove opportunità.
Вставая, он чувствует боль (dolore).;Alzandosi, sente dolore.
Садясь, будь осторожен (attento).;Sedendoti, sii attento.
Уезжая, она попрощалась (salutare).;Partendo, ha salutato tutti.
Приходя, я всегда звоню (sempre).;Arrivando, chiamo sempre.
Пишу тебе, думая о вчерашнем разговоре (conversazione).;Ti scrivo pensando alla conversazione di ieri.
Она отвечает, улыбаясь (sorridere).;Risponde sorridendo.
Мы вошли, говоря тихо (piano).;Siamo entrati parlando piano.
