A09 - Questo / Quello (casa)
Этот дом (questa, casa);Questa casa
Тот дом (quella, casa);Quella casa
Эти дома (queste, case);Queste case
Те дома (quelle, case);Quelle case
Этот мой дом (questa, mia, casa);Questa è la mia casa
Тот мой дом (quella, mia, casa);Quella è la mia casa
Этот большой дом (questa, grande, casa);Questa grande casa
Тот маленький дом (quella, piccola, casa);Quella piccola casa
Этот красивый дом (questa, bella, casa);Questa bella casa
Тот старый дом (quella, vecchia, casa);Quella vecchia casa
Эти новые дома (queste, nuove, case);Queste case nuove
Те красивые дома (quelle, belle, case);Quelle belle case
Этот дом здесь (questa, casa);Questa casa è qui
Тот дом там (quella, casa);Quella casa è là
Я иду в этот дом (questa, casa);Vado a questa casa
Я живу в том доме (quella, casa);Abito in quella casa
Я вижу этот дом (questa, casa);Vedo questa casa
Мы видим те дома (quelle, case);Vediamo quelle case
Не этот дом (questa, casa);Non questa casa
Не тот дом (quella, casa);Non quella casa
Не эти дома (queste, case);Non queste case
