Trapassato Prossimo (Drill)
я уже был готов (essere pronto);Io ero stato pronto.;Trapassato Prossimo
ты уже был готов (essere pronto);Tu eri stato pronto.;Trapassato Prossimo
он уже был готов (essere pronto);Lui era stato pronto.;Trapassato Prossimo
она уже была готова (essere pronto);Lei era stata pronta.;Trapassato Prossimo
мы уже были готовы (essere pronto);Noi eravamo stati pronti.;Trapassato Prossimo
вы уже были готовы (essere pronto);Voi eravate stati pronti.;Trapassato Prossimo
они уже были готовы (essere pronto);Loro erano stati pronti.;Trapassato Prossimo
я уже хотел есть (avere fame);Io avevo avuto fame.;Trapassato Prossimo
ты уже хотел есть (avere fame);Tu avevi avuto fame.;Trapassato Prossimo
он уже хотел есть (avere fame);Lui aveva avuto fame.;Trapassato Prossimo
она уже хотела есть (avere fame);Lei aveva avuto fame.;Trapassato Prossimo
мы уже хотели есть (avere fame);Noi avevamo avuto fame.;Trapassato Prossimo
вы уже хотели есть (avere fame);Voi avevate avuto fame.;Trapassato Prossimo
они уже хотели есть (avere fame);Loro avevano avuto fame.;Trapassato Prossimo
я уже задал вопрос (fare una domanda);Io avevo fatto una domanda.;Trapassato Prossimo
ты уже задал вопрос (fare una domanda);Tu avevi fatto una domanda.;Trapassato Prossimo
он уже задал вопрос (fare una domanda);Lui aveva fatto una domanda.;Trapassato Prossimo
она уже задала вопрос (fare una domanda);Lei aveva fatto una domanda.;Trapassato Prossimo
мы уже задали вопрос (fare una domanda);Noi avevamo fatto una domanda.;Trapassato Prossimo
вы уже задали вопрос (fare una domanda);Voi avevate fatto una domanda.;Trapassato Prossimo
они уже задали вопрос (fare una domanda);Loro avevano fatto una domanda.;Trapassato Prossimo
я уже узнал правду (sapere la verità);Io avevo saputo la verità.;Trapassato Prossimo
ты уже узнал правду (sapere la verità);Tu avevi saputo la verità.;Trapassato Prossimo
он уже узнал правду (sapere la verità);Lui aveva saputo la verità.;Trapassato Prossimo
она уже узнала правду (sapere la verità);Lei aveva saputo la verità.;Trapassato Prossimo
мы уже узнали правду (sapere la verità);Noi avevamo saputo la verità.;Trapassato Prossimo
вы уже узнали правду (sapere la verità);Voi avevate saputo la verità.;Trapassato Prossimo
они уже узнали правду (sapere la verità);Loro avevano saputo la verità.;Trapassato Prossimo
я уже сказал правду (dire la verità);Io avevo detto la verità.;Trapassato Prossimo
ты уже сказал правду (dire la verità);Tu avevi detto la verità.;Trapassato Prossimo
он уже сказал правду (dire la verità);Lui aveva detto la verità.;Trapassato Prossimo
она уже сказала правду (dire la verità);Lei aveva detto la verità.;Trapassato Prossimo
мы уже сказали правду (dire la verità);Noi avevamo detto la verità.;Trapassato Prossimo
вы уже сказали правду (dire la verità);Voi avevate detto la verità.;Trapassato Prossimo
они уже сказали правду (dire la verità);Loro avevano detto la verità.;Trapassato Prossimo
я уже ушёл на работу (andare al lavoro);Io ero andato al lavoro.;Trapassato Prossimo
ты уже ушёл на работу (andare al lavoro);Tu eri andato al lavoro.;Trapassato Prossimo
он уже ушёл на работу (andare al lavoro);Lui era andato al lavoro.;Trapassato Prossimo
она уже ушла на работу (andare al lavoro);Lei era andata al lavoro.;Trapassato Prossimo
мы уже ушли на работу (andare al lavoro);Noi eravamo andati al lavoro.;Trapassato Prossimo
вы уже ушли на работу (andare al lavoro);Voi eravate andati al lavoro.;Trapassato Prossimo
они уже ушли на работу (andare al lavoro);Loro erano andati al lavoro.;Trapassato Prossimo
я уже чувствовал себя хорошо (stare bene);Io ero stato bene.;Trapassato Prossimo
ты уже чувствовал себя хорошо (stare bene);Tu eri stato bene.;Trapassato Prossimo
он уже чувствовал себя хорошо (stare bene);Lui era stato bene.;Trapassato Prossimo
она уже чувствовала себя хорошо (stare bene);Lei era stata bene.;Trapassato Prossimo
мы уже чувствовали себя хорошо (stare bene);Noi eravamo stati bene.;Trapassato Prossimo
вы уже чувствовали себя хорошо (stare bene);Voi eravate stati bene.;Trapassato Prossimo
они уже чувствовали себя хорошо (stare bene);Loro erano stati bene.;Trapassato Prossimo
я уже хотел кофе (volere un caffè);Io avevo voluto un caffè.;Trapassato Prossimo
ты уже хотел кофе (volere un caffè);Tu avevi voluto un caffè.;Trapassato Prossimo
он уже хотел кофе (volere un caffè);Lui aveva voluto un caffè.;Trapassato Prossimo
она уже хотела кофе (volere un caffè);Lei aveva voluto un caffè.;Trapassato Prossimo
мы уже хотели кофе (volere un caffè);Noi avevamo voluto un caffè.;Trapassato Prossimo
вы уже хотели кофе (volere un caffè);Voi avevate voluto un caffè.;Trapassato Prossimo
они уже хотели кофе (volere un caffè);Loro avevano voluto un caffè.;Trapassato Prossimo
я уже мог сделать (poteva fare);Io avevo potuto fare.;Trapassato Prossimo
ты уже мог сделать (poteva fare);Tu avevi potuto fare.;Trapassato Prossimo
он уже мог сделать (poteva fare);Lui aveva potuto fare.;Trapassato Prossimo
она уже могла сделать (poteva fare);Lei aveva potuto fare.;Trapassato Prossimo
мы уже могли сделать (poteva fare);Noi avevamo potuto fare.;Trapassato Prossimo
вы уже могли сделать (poteva fare);Voi avevate potuto fare.;Trapassato Prossimo
они уже могли сделать (poteva fare);Loro avevano potuto fare.;Trapassato Prossimo
я уже должен был уехать (dovere partire);Io avevo dovuto partire.;Trapassato Prossimo
ты уже должен был уехать (dovere partire);Tu avevi dovuto partire.;Trapassato Prossimo
он уже должен был уехать (dovere partire);Lui aveva dovuto partire.;Trapassato Prossimo
она уже должна была уехать (dovere partire);Lei aveva dovuto partire.;Trapassato Prossimo
мы уже должны были уехать (dovere partire);Noi avevamo dovuto partire.;Trapassato Prossimo
вы уже должны были уехать (dovere partire);Voi avevate dovuto partire.;Trapassato Prossimo
они уже должны были уехать (dovere partire);Loro avevano dovuto partire.;Trapassato Prossimo
я уже верил в мечту (credere al sogno);Io avevo creduto al sogno.;Trapassato Prossimo
ты уже верил в мечту (credere al sogno);Tu avevi creduto al sogno.;Trapassato Prossimo
он уже верил в мечту (credere al sogno);Lui aveva creduto al sogno.;Trapassato Prossimo
она уже верила в мечту (credere al sogno);Lei aveva creduto al sogno.;Trapassato Prossimo
мы уже верили в мечту (credere al sogno);Noi avevamo creduto al sogno.;Trapassato Prossimo
вы уже верили в мечту (credere al sogno);Voi avevate creduto al sogno.;Trapassato Prossimo
они уже верили в мечту (credere al sogno);Loro avevano creduto al sogno.;Trapassato Prossimo
я уже увидел мир (vedere il mondo);Io avevo visto il mondo.;Trapassato Prossimo
ты уже увидел мир (vedere il mondo);Tu avevi visto il mondo.;Trapassato Prossimo
он уже увидел мир (vedere il mondo);Lui aveva visto il mondo.;Trapassato Prossimo
она уже увидела мир (vedere il mondo);Lei aveva visto il mondo.;Trapassato Prossimo
мы уже увидели мир (vedere il mondo);Noi avevamo visto il mondo.;Trapassato Prossimo
вы уже увидели мир (vedere il mondo);Voi avevate visto il mondo.;Trapassato Prossimo
они уже увидели мир (vedere il mondo);Loro avevano visto il mondo.;Trapassato Prossimo
я уже установил предел (porre un limite);Io avevo posto un limite.;Trapassato Prossimo
ты уже установил предел (porre un limite);Tu avevi posto un limite.;Trapassato Prossimo
он уже установил предел (porre un limite);Lui aveva posto un limite.;Trapassato Prossimo
она уже установила предел (porre un limite);Lei aveva posto un limite.;Trapassato Prossimo
мы уже установили предел (porre un limite);Noi avevamo posto un limite.;Trapassato Prossimo
вы уже установили предел (porre un limite);Voi avevate posto un limite.;Trapassato Prossimo
они уже установили предел (porre un limite);Loro avevano posto un limite.;Trapassato Prossimo
я уже дал совет (dare un consiglio);Io avevo dato un consiglio.;Trapassato Prossimo
ты уже дал совет (dare un consiglio);Tu avevi dato un consiglio.;Trapassato Prossimo
он уже дал совет (dare un consiglio);Lui aveva dato un consiglio.;Trapassato Prossimo
она уже дала совет (dare un consiglio);Lei aveva dato un consiglio.;Trapassato Prossimo
мы уже дали совет (dare un consiglio);Noi avevamo dato un consiglio.;Trapassato Prossimo
вы уже дали совет (dare un consiglio);Voi avevate dato un consiglio.;Trapassato Prossimo
они уже дали совет (dare un consiglio);Loro avevano dato un consiglio.;Trapassato Prossimo
я уже казался возможным (essere sembrato possibile);Io ero sembrato possibile.;Trapassato Prossimo
ты уже казался возможным (essere sembrato possibile);Tu eri sembrato possibile.;Trapassato Prossimo
он уже казался возможным (essere sembrato possibile);Lui era sembrato possibile.;Trapassato Prossimo
она уже казалась возможной (essere sembrato possibile);Lei era sembrata possibile.;Trapassato Prossimo
мы уже казались возможными (essere sembrato possibile);Noi eravamo sembrati possibili.;Trapassato Prossimo
вы уже казались возможными (essere sembrato possibile);Voi eravate sembrati possibili.;Trapassato Prossimo
они уже казались возможными (essere sembrato possibile);Loro erano sembrati possibili.;Trapassato Prossimo
я уже думал обо всем (pensare a tutto);Io avevo pensato a tutto.;Trapassato Prossimo
ты уже думал обо всем (pensare a tutto);Tu avevi pensato a tutto.;Trapassato Prossimo
он уже думал обо всем (pensare a tutto);Lui aveva pensato a tutto.;Trapassato Prossimo
она уже думала обо всем (pensare a tutto);Lei aveva pensato a tutto.;Trapassato Prossimo
мы уже думали обо всем (pensare a tutto);Noi avevamo pensato a tutto.;Trapassato Prossimo
вы уже думали обо всем (pensare a tutto);Voi avevate pensato a tutto.;Trapassato Prossimo
