A16 - Imperativo (tu/voi/noi/Lei)
Купи дом! (compra, casa);Compra una casa!
Убери кухню! (pulisci, cucina);Pulisci la cucina!
Приготовь ужин! (cucina, cena);Cucina una cena!
Не покупай машину! (non, comprare, macchina);Non comprare la macchina!
Не работай поздно! (non, lavorare, tardi);Non lavorare tardi!
Не убирай кухню! (non, pulire, cucina);Non pulire la cucina!
Купите (вы мн.) новую машину! (comprate, macchina, nuovo);Comprate una macchina nuova!
Давайте купим красивый подарок! (compriamo, regalo, bello);Compriamo un regalo bello!
Уберите (вежл.) кухню! (pulisca, cucina);Pulisca la cucina!
Купите (вежл.) дом! (compra, casa);Compre una casa!
Приходи сегодня! (vieni, oggi);Vieni oggi!
Не ходи поздно! (non, andare, tardi);Non andare tardi!
Давайте пойдём домой вместе! (andiamo, casa, insieme);Andiamo a casa insieme!
