A16 - Imperativo (tu/voi/noi/Lei commands)
Слушай внимательно!;Ascolta attentamente!
Не говори так громко!;Non parlare così forte!
Не делай этого!;Non fare questo!
Не приходи слишком поздно!;Non venire troppo tardi!
Не кури здесь!;Non fumare qui!
Открой окно, пожалуйста!;Apri la finestra, per favore!
Приходи к нам завтра!;Vieni da noi domani!
Делай это сейчас же!;Fai questo subito!
Пей воду каждый день!;Bevi acqua ogni giorno!
Пиши чаще!;Scrivi più spesso!
Смотри на доску!;Guarda la lavagna!
Скажи правду!;Di' la verità!
Дай книгу!;Da' il libro!
Читайте этот текст!;Leggete questo testo!
Слушайте учителя!;Ascoltate l'insegnante!
Откройте тетради!;Aprite i quaderni!
Пишите аккуратно!;Scrivete accuratamente!
Делайте домашнее задание!;Fate i compiti!
Приходите вовремя!;Venite in tempo!
Говорите по-итальянски!;Parlate italiano!
Ответьте на вопрос!;Rispondete alla domanda!
Закройте двери!;Chiudete le porte!
Пойдём домой!;Andiamo a casa!
Давайте поедим!;Mangiamo!
Начнём урок!;Iniziamo la lezione!
Сделаем работу вместе!;Facciamo il lavoro insieme!
Посмотрим фильм!;Guardiamo un film!
Поём песни!;Cantiamo delle canzoni!
Поговорим о погоде!;Parliamo del tempo!
Начнём рано!;Iniziamo presto!
Встретим Марко завтра!;Incontriamo Marco domani!
Приготовим обед!;Prepariamo il pranzo!
Изучим грамматику!;Studiamo la grammatica!
Пойдём в театр!;Andiamo a teatro!
Сделаем перерыв!;Facciamo una pausa!
Читайте медленно!;Legga lentamente!
Говорите чётко!;Parli chiaramente!
Войдите!;Entri!
Простите!;Scusi!
Подождите минуту!;Aspetti un minuto!
Останьтесь здесь, пожалуйста!;Resti qui, per favore!
Послушайте совет!;Ascolti il consiglio!
Будьте добры!;Sia gentile!
