Italian - Condizionale Presente
я бы был счастливым (essere felice);Io sarei felice;Condizionale Presente
ты бы был счастливым (essere felice);Tu saresti felice;Condizionale Presente
он бы был счастливым (essere felice);Lui sarebbe felice;Condizionale Presente
она бы была счастливой (essere felice);Lei sarebbe felice;Condizionale Presente
мы бы были счастливыми (essere felice);Noi saremmo felici;Condizionale Presente
вы бы были счастливыми (essere felice);Voi sareste felici;Condizionale Presente
они бы были счастливыми (essere felice);Loro sarebbero felici;Condizionale Presente
я бы хотел есть (avere fame);Io avrei fame;Condizionale Presente
ты бы хотел есть (avere fame);Tu avresti fame;Condizionale Presente
он бы хотел есть (avere fame);Lui avrebbe fame;Condizionale Presente
она бы хотела есть (avere fame);Lei avrebbe fame;Condizionale Presente
мы бы хотели есть (avere fame);Noi avremmo fame;Condizionale Presente
вы бы хотели есть (avere fame);Voi avreste fame;Condizionale Presente
они бы хотели есть (avere fame);Loro avrebbero fame;Condizionale Presente
я бы совершил прогулку (fare una passeggiata);Io farei una passeggiata;Condizionale Presente
ты бы совершил прогулку (fare una passeggiata);Tu faresti una passeggiata;Condizionale Presente
он бы совершил прогулку (fare una passeggiata);Lui farebbe una passeggiata;Condizionale Presente
она бы совершила прогулку (fare una passeggiata);Lei farebbe una passeggiata;Condizionale Presente
мы бы совершили прогулку (fare una passeggiata);Noi faremmo una passeggiata;Condizionale Presente
вы бы совершили прогулку (fare una passeggiata);Voi fareste una passeggiata;Condizionale Presente
они бы совершили прогулку (fare una passeggiata);Loro farebbero una passeggiata;Condizionale Presente
я бы знал правду (sapere la verità);Io saprei la verità;Condizionale Presente
ты бы знал правду (sapere la verità);Tu sapresti la verità;Condizionale Presente
он бы знал правду (sapere la verità);Lui saprebbe la verità;Condizionale Presente
она бы знала правду (sapere la verità);Lei saprebbe la verità;Condizionale Presente
мы бы знали правду (sapere la verità);Noi sapremmo la verità;Condizionale Presente
вы бы знали правду (sapere la verità);Voi sapreste la verità;Condizionale Presente
они бы знали правду (sapere la verità);Loro saprebbero la verità;Condizionale Presente
я бы сказал правду (dire la verità);Io direi la verità;Condizionale Presente
ты бы сказал правду (dire la verità);Tu diresti la verità;Condizionale Presente
он бы сказал правду (dire la verità);Lui direbbe la verità;Condizionale Presente
она бы сказала правду (dire la verità);Lei direbbe la verità;Condizionale Presente
мы бы сказали правду (dire la verità);Noi diremmo la verità;Condizionale Presente
вы бы сказали правду (dire la verità);Voi direste la verità;Condizionale Presente
они бы сказали правду (dire la verità);Loro direbbero la verità;Condizionale Presente
я бы пошёл в кино (andare al cinema);Io andrei al cinema;Condizionale Presente
ты бы пошёл в кино (andare al cinema);Tu andresti al cinema;Condizionale Presente
он бы пошёл в кино (andare al cinema);Lui andrebbe al cinema;Condizionale Presente
она бы пошла в кино (andare al cinema);Lei andrebbe al cinema;Condizionale Presente
мы бы пошли в кино (andare al cinema);Noi andremmo al cinema;Condizionale Presente
вы бы пошли в кино (andare al cinema);Voi andreste al cinema;Condizionale Presente
они бы пошли в кино (andare al cinema);Loro andrebbero al cinema;Condizionale Presente
я бы был спокойным (stare calmo);Io starei calmo;Condizionale Presente
ты бы был спокойным (stare calmo);Tu staresti calmo;Condizionale Presente
он бы был спокойным (stare calmo);Lui starebbe calmo;Condizionale Presente
она бы была спокойной (stare calmo);Lei starebbe calma;Condizionale Presente
мы бы были спокойными (stare calmo);Noi staremmo calmi;Condizionale Presente
вы бы были спокойными (stare calmo);Voi stareste calmi;Condizionale Presente
они бы были спокойными (stare calmo);Loro starebbero calmi;Condizionale Presente
я бы хотел кофе (un caffè);Io vorrei un caffè;Condizionale Presente
ты бы хотел кофе (un caffè);Tu vorresti un caffè;Condizionale Presente
он бы хотел кофе (un caffè);Lui vorrebbe un caffè;Condizionale Presente
она бы хотела кофе (un caffè);Lei vorrebbe un caffè;Condizionale Presente
мы бы хотели кофе (un caffè);Noi vorremmo un caffè;Condizionale Presente
вы бы хотели кофе (un caffè);Voi vorreste un caffè;Condizionale Presente
они бы хотели кофе (un caffè);Loro vorrebbero un caffè;Condizionale Presente
я бы мог прийти (venire);Io potrei venire;Condizionale Presente
ты бы мог прийти (venire);Tu potresti venire;Condizionale Presente
он бы мог прийти (venire);Lui potrebbe venire;Condizionale Presente
она бы могла прийти (venire);Lei potrebbe venire;Condizionale Presente
мы бы могли прийти (venire);Noi potremmo venire;Condizionale Presente
вы бы могли прийти (venire);Voi potreste venire;Condizionale Presente
они бы могли прийти (venire);Loro potrebbero venire;Condizionale Presente
я должен был бы учиться (studiare);Io dovrei studiare;Condizionale Presente
ты должен был бы учиться (studiare);Tu dovresti studiare;Condizionale Presente
он должен был бы учиться (studiare);Lui dovrebbe studiare;Condizionale Presente
она должна была бы учиться (studiare);Lei dovrebbe studiare;Condizionale Presente
мы должны были бы учиться (studiare);Noi dovremmo studiare;Condizionale Presente
вы должны были бы учиться (studiare);Voi dovreste studiare;Condizionale Presente
они должны были бы учиться (studiare);Loro dovrebbero studiare;Condizionale Presente
я бы верил в будущее (credere nel futuro);Io crederei nel futuro;Condizionale Presente
ты бы верил в будущее (credere nel futuro);Tu crederesti nel futuro;Condizionale Presente
он бы верил в будущее (credere nel futuro);Lui crederebbe nel futuro;Condizionale Presente
она бы верила в будущее (credere nel futuro);Lei crederebbe nel futuro;Condizionale Presente
мы бы верили в будущее (credere nel futuro);Noi crederemmo nel futuro;Condizionale Presente
вы бы верили в будущее (credere nel futuro);Voi credereste nel futuro;Condizionale Presente
они бы верили в будущее (credere nel futuro);Loro crederebbero nel futuro;Condizionale Presente
я бы увидел мир (vedere il mondo);Io vedrei il mondo;Condizionale Presente
ты бы увидел мир (vedere il mondo);Tu vedresti il mondo;Condizionale Presente
он бы увидел мир (vedere il mondo);Lui vedrebbe il mondo;Condizionale Presente
она бы увидела мир (vedere il mondo);Lei vedrebbe il mondo;Condizionale Presente
мы бы увидели мир (vedere il mondo);Noi vedremmo il mondo;Condizionale Presente
вы бы увидели мир (vedere il mondo);Voi vedreste il mondo;Condizionale Presente
они бы увидели мир (vedere il mondo);Loro vedrebbero il mondo;Condizionale Presente
я бы положил конец (porre fine);Io porrei fine;Condizionale Presente
ты бы положил конец (porre fine);Tu porresti fine;Condizionale Presente
он бы положил конец (porre fine);Lui porrebbe fine;Condizionale Presente
она бы положила конец (porre fine);Lei porrebbe fine;Condizionale Presente
мы бы положили конец (porre fine);Noi porremmo fine;Condizionale Presente
вы бы положили конец (porre fine);Voi porreste fine;Condizionale Presente
они бы положили конец (porre fine);Loro porrebbero fine;Condizionale Presente
я бы дал совет (dare un consiglio);Io darei un consiglio;Condizionale Presente
ты бы дал совет (dare un consiglio);Tu daresti un consiglio;Condizionale Presente
он бы дал совет (dare un consiglio);Lui darebbe un consiglio;Condizionale Presente
она бы дала совет (dare un consiglio);Lei darebbe un consiglio;Condizionale Presente
мы бы дали совет (dare un consiglio);Noi daremmo un consiglio;Condizionale Presente
вы бы дали совет (dare un consiglio);Voi dareste un consiglio;Condizionale Presente
они бы дали совет (dare un consiglio);Loro darebbero un consiglio;Condizionale Presente
