G190 - Отрицание побуждения noi / voi
Не читайте (leggere)!;Non leggete!
Давайте не будем работать (lavorare)!;Non lavoriamo!
Не читайте книгу (leggere, il libro)!;Non leggete il libro!
Давайте не будем покупать книгу (comprare, il libro)!;Non compriamo il libro!
Не говорите имя (dire, il nome)!;Non dite il nome!
Давайте не будем пить вино (bere, il vino)!;Non beviamo il vino!
Не уходите (partire)!;Non partite!
Давайте не будем уходить (partire)!;Non partiamo!
Не оставайтесь здесь (stare)!;Non state qui!
Не давайте книгу Марко (dare, il libro)!;Non date il libro a Marco!
Давайте не будем делать подарок (fare, un regalo)!;Non facciamo un regalo!
Не пишите письмо (scrivere, la lettera)!;Non scrivete la lettera!
Не читай (leggere)!;Non leggere!
