Italian - Futuro Anteriore (Drill)
к тому времени я уже буду готов (essere pronto);Io sarò stato pronto
к тому времени ты уже будешь готов (essere pronto);Tu sarai stato pronto
к тому времени он уже будет готов (essere pronto);Lui sarà stato pronto
к тому времени она уже будет готова (essere pronto);Lei sarà stata pronta
к тому времени мы уже будем готовы (essere pronto);Noi saremo stati pronti
к тому времени вы уже будете готовы (essere pronto);Voi sarete stati pronti
к тому времени они уже будут готовы (essere pronto);Loro saranno stati pronti
я уже проголодаюсь (avere fame);Io avrò avuto fame
ты уже проголодаешься (avere fame);Tu avrai avuto fame
он уже проголодается (avere fame);Lui avrà avuto fame
она уже проголодается (avere fame);Lei avrà avuto fame
мы уже проголодаемся (avere fame);Noi avremo avuto fame
вы уже проголодаетесь (avere fame);Voi avrete avuto fame
они уже проголодаются (avere fame);Loro avranno avuto fame
я успею задать вопрос (fare una domanda);Io avrò fatto una domanda
ты успеешь задать вопрос (fare una domanda);Tu avrai fatto una domanda
он успеет задать вопрос (fare una domanda);Lui avrà fatto una domanda
она успеет задать вопрос (fare una domanda);Lei avrà fatto una domanda
мы успеем задать вопрос (fare una domanda);Noi avremo fatto una domanda
вы успеете задать вопрос (fare una domanda);Voi avrete fatto una domanda
они успеют задать вопрос (fare una domanda);Loro avranno fatto una domanda
я уже узнаю правду (sapere la verità);Io avrò saputo la verità
ты уже узнаешь правду (sapere la verità);Tu avrai saputo la verità
он уже узнает правду (sapere la verità);Lui avrà saputo la verità
она уже узнает правду (sapere la verità);Lei avrà saputo la verità
мы уже узнаем правду (sapere la verità);Noi avremo saputo la verità
вы уже узнаете правду (sapere la verità);Voi avrete saputo la verità
они уже узнают правду (sapere la verità);Loro avranno saputo la verità
я уже скажу правду (dire la verità);Io avrò detto la verità
ты уже скажешь правду (dire la verità);Tu avrai detto la verità
он уже скажет правду (dire la verità);Lui avrà detto la verità
она уже скажет правду (dire la verità);Lei avrà detto la verità
мы уже скажем правду (dire la verità);Noi avremo detto la verità
вы уже скажете правду (dire la verità);Voi avrete detto la verità
они уже скажут правду (dire la verità);Loro avranno detto la verità
я уже успею пойти на работу (andare al lavoro);Io sarò andato al lavoro
ты уже успеешь пойти на работу (andare al lavoro);Tu sarai andato al lavoro
он уже успеет пойти на работу (andare al lavoro);Lui sarà andato al lavoro
она уже успеет пойти на работу (andare al lavoro);Lei sarà andata al lavoro
мы уже успеем пойти на работу (andare al lavoro);Noi saremo andati al lavoro
вы уже успеете пойти на работу (andare al lavoro);Voi sarete andati al lavoro
они уже успеют пойти на работу (andare al lavoro);Loro saranno andati al lavoro
