G194 - Essere в команде tu: sii
Будь спокойным! (essere, calmo);Sii calmo!
Будь спокойной! (essere, calma);Sii calma!
Будь терпеливым! (essere, paziente);Sii paziente!
Будь счастливым! (essere, felice);Sii felice!
Будь добрым! (essere, gentile);Sii gentile!
Будь готовым! (essere, pronto);Sii pronto!
Будь честным! (essere, onesto);Sii onesto!
Будь сильным! (essere, forte);Sii forte!
Будь смелым! (essere, coraggioso);Sii coraggioso!
Не будь грубым! (essere, rude);Non essere rude!
Не будь злым! (essere, cattivo);Non essere cattivo!
