G339 - Возвратное действие без названного исполнителя: ci si
Здесь умываются (lavarsi);Qui ci si lava
Здесь встают поздно (alzarsi);Qui ci si alza tardi
Утром просыпаются рано (svegliarsi, la mattina);La mattina ci si sveglia presto
Вечером отдыхают (riposarsi, la sera);La sera ci si riposa
Здесь готовятся (prepararsi);Qui ci si prepara
Здесь хорошо себя чувствуешь (sentirsi, bene);Qui ci si sente bene
На праздниках веселятся (divertirsi, festa);Alle feste ci si diverte
Здесь останавливаются (fermarsi);Qui ci si ferma
После ужина засыпают (addormentarsi, cena);Dopo cena ci si addormenta
Здесь переодеваются (cambiarsi);Qui ci si cambia
Здесь одеваются (vestirsi);Qui ci si veste
Здесь хорошо отдыхают (riposarsi, bene);Qui ci si riposa bene
