C15 - Congiuntivo dopo congiunzioni
Я работаю, прежде чем он купит дом (lavorare, prima che, comprare, casa);Lavoro prima che compri una casa
Я готовлю ужин, прежде чем он пойдёт домой (cucinare, cena, prima che, andare, casa);Cucino la cena prima che vada a casa
Я убираю кухню, прежде чем он сделает подарок (pulire, cucina, prima che, fare, regalo);Pulisco la cucina prima che faccia un regalo
Он покупает дом без того, чтобы мы работали вместе (comprare, casa, senza che, lavorare, insieme);Compra una casa senza che lavoriamo insieme
Мы готовим ужин без того, чтобы она убирала кухню (cucinare, cena, senza che, pulire, cucina);Cuciniamo la cena senza che pulisca la cucina
Я работаю, если только он не придёт домой (lavorare, a meno che, non, venire, casa);Lavoro a meno che non venga a casa
Я покупаю ту самую машину при условии, что она живёт в том самом большом доме (comprare, macchina, purché, abitare, casa, grande);Compro la macchina purché abiti nella casa grande
Хотя тот самый дом и большой, я его не покупаю (benché, casa, essere, grande, non, comprare);Benché la casa sia grande, non la compro
Хотя та самая машина и красивая, мы её не покупаем (sebbene, macchina, essere, bello, non, comprare);Sebbene la macchina sia bella, non la compriamo
Я работаю, чтобы он купил подарок (lavorare, affinché, comprare, regalo);Lavoro affinché compri un regalo
Несмотря на то что она уходит поздно, мы ужинаем вместе (nonostante, partire, tardi, cenare, insieme);Nonostante parta tardi, ceniamo insieme
В случае если он купит новую машину, мы поедем вместе (qualora, comprare, macchina, nuovo, andare, insieme);Qualora compri una macchina nuova, andremo insieme
Он говорит так, как если бы покупал ту самую машину (parlare, come se, comprare, macchina, imperfetto cong.);Parla come se comprasse la macchina
Она говорит так, как если бы жила в том самом доме (parlare, come se, abitare, casa, imperfetto cong.);Parla come se abitasse nella casa
Мы работаем здесь при условии, что кухня будет чистой (lavorare, qui, purché, cucina, essere, pulito);Lavoriamo qui purché la cucina sia pulita
