Tutti i Tempi
ты ставил точку (mettere, punto).;Tu mettevi un punto.
мы напишем (scrivere) имя (nome).;Noi scriveremo il nome.
я завтракаю (fare colazione) каждое (ogni) утро.;Io faccio colazione ogni mattina.
ты будешь хорошим мальчиком (bravo, ragazzino).;Tu sarai un bravo ragazzino.
есть большая (grande) разница (differenza).;C'è una grande differenza.
они смеялись до колик (ridere a crepapelle).;Loro risero a crepapelle.
мы посетили (visitare) дедушку (nonno).;Noi abbiamo visitato il nonno.
ты добился неожиданного успеха (avere, successo).;Tu hai avuto un successo inaspettato.
я получил приз (ricevere un premio).;Io ricevei un premio.
мы встретили нашего старшего внука (incontrare, maggiore).;Incontrammo il nostro nipote maggiore.
вы разбираетесь с делами (sbrigare le incombenze).;Voi sbrigate le incombenze.
я бы выбрал (scegliere) церемониальную (cerimoniale) шпагу (spada).;Io sceglierei una spada cerimoniale.
я бы хотел добиться эффекта (ottenere, effetto).;Vorrei ottenere un effetto.
я работаю на самого себя (lavorare per conto proprio).;Io lavoro per conto proprio.
она хорошо понимает (capire bene);Lei capisce bene.
она бы очень боялась (avere, paura).;Lei avrebbe molta paura.
мы меняли (cambiare) судьбу (destino).;Noi cambiavamo il destino.
произошла (verificarsi) мелкая (banale) авария (incidente).;Si è verificato un incidente banale.
ты отправишь (lanciare) дымовой сигнал (segnale di fumo).;Tu lancerai un segnale di fumo.
ты начал (iniziare) футбольный (calcistica) сезон (stagione).;Tu hai iniziato la stagione calcistica.
мы теряли (perdere) связь (contatto) с (con) ними (loro);Noi perdevamo il contatto con loro.
Она совершила (fare) гениальный (colpo di genio) поступок.;Lei fece un colpo di genio.
наведите порядок!;Faccia ordine!
вы бы хотели увидеть город искусства (città d'arte).;Voi vorreste vedere una città d'arte.
мы развеяли все сомнения (sciogliere, ogni, dubbio).;Noi abbiamo sciolto ogni dubbio.
она бы сняла короткие брюки (togliersi, corto);Lei si toglierebbe i pantaloni corti.
я буду зависеть от ситуации (dipendere dalla situazione);Io dipenderò dalla situazione.
вы успокаиваете тревогу (calmare l'ansia);Voi calmate l'ansia.
ты вызвал задержку (causare, ritardo).;Tu hai causato un ritardo.
вы помогли товарищам (aiutare i compagni);Voi aiutaste i compagni.
ты будешь отдыхать во второй половине дня (riposare, primo, pomeriggio).;Tu riposerai nel primo pomeriggio.
ты получил (fare) опыт (esperienza).;Tu hai fatto un'esperienza.
ты потрогаешь край чашки (toccare, tazza).;Tu toccherai il bordo della tazza.
я импортировал сырьё (importare materie prime).;Io ho importato materie prime.
ты закажешь качественную печать завтра (ordinare, stampa).;Tu ordinerai una stampa di qualità domani.
вы бы посетили этот маленький остров (visitare, isola).;Voi visitereste questa piccola isola.
