Italian - Passato Remoto (Drill)
я был готов (essere pronto);Io fui pronto
ты был готов (essere pronto);Tu fosti pronto
он был готов (essere pronto);Lui fu pronto
она была готова (essere pronto);Lei fu pronta
мы были готовы (essere pronto);Noi fummo pronti
вы были готовы (essere pronto);Voi foste pronti
они были готовы (essere pronto);Loro furono pronti
я проголодался (avere fame);Io ebbi fame
ты проголодался (avere fame);Tu avesti fame
он проголодался (avere fame);Lui ebbe fame
она проголодалась (avere fame);Lei ebbe fame
мы проголодались (avere fame);Noi avemmo fame
вы проголодались (avere fame);Voi aveste fame
они проголодались (avere fame);Loro ebbero fame
я совершил прогулку (fare una passeggiata);Io feci una passeggiata
ты совершил прогулку (fare una passeggiata);Tu facesti una passeggiata
он совершил прогулку (fare una passeggiata);Lui fece una passeggiata
она совершила прогулку (fare una passeggiata);Lei fece una passeggiata
мы совершили прогулку (fare una passeggiata);Noi facemmo una passeggiata
вы совершили прогулку (fare una passeggiata);Voi faceste una passeggiata
они совершили прогулку (fare una passeggiata);Loro fecero una passeggiata
я узнал правду (sapere la verità);Io seppi la verità
ты узнал правду (sapere la verità);Tu sapesti la verità
он узнал правду (sapere la verità);Lui seppe la verità
она узнала правду (sapere la verità);Lei seppe la verità
мы узнали правду (sapere la verità);Noi sapemmo la verità
вы узнали правду (sapere la verità);Voi sapeste la verità
они узнали правду (sapere la verità);Loro seppero la verità
я сказал правду (dire la verità);Io dissi la verità
ты сказал правду (dire la verità);Tu dicesti la verità
он сказал правду (dire la verità);Lui disse la verità
она сказала правду (dire la verità);Lei disse la verità
мы сказали правду (dire la verità);Noi dicemmo la verità
вы сказали правду (dire la verità);Voi diceste la verità
они сказали правду (dire la verità);Loro dissero la verità
я пошёл на работу (andare al lavoro);Io andai al lavoro
ты пошёл на работу (andare al lavoro);Tu andasti al lavoro
он пошёл на работу (andare al lavoro);Lui andò al lavoro
она пошла на работу (andare al lavoro);Lei andò al lavoro
мы пошли на работу (andare al lavoro);Noi andammo al lavoro
вы пошли на работу (andare al lavoro);Voi andaste al lavoro
они пошли на работу (andare al lavoro);Loro andarono al lavoro
я остался спокойным (stare calmo);Io stetti calmo
ты остался спокойным (stare calmo);Tu stesti calmo
он остался спокойным (stare calmo);Lui stette calmo
она осталась спокойной (stare calmo);Lei stette calma
мы остались спокойными (stare calmo);Noi stemmo calmi
вы остались спокойными (stare calmo);Voi steste calmi
они остались спокойными (stare calmo);Loro stettero calmi
я захотел кофе (volere un caffè);Io volli un caffè
ты захотел кофе (volere un caffè);Tu volesti un caffè
он захотел кофе (volere un caffè);Lui volle un caffè
она захотела кофе (volere un caffè);Lei volle un caffè
мы захотели кофе (volere un caffè);Noi volemmo un caffè
вы захотели кофе (volere un caffè);Voi voleste un caffè
они захотели кофе (volere un caffè);Loro vollero un caffè
я смог сказать правду (dire la verità);Io potei dire la verità
ты смог сказать правду (dire la verità);Tu potesti dire la verità
он смог сказать правду (dire la verità);Lui poté dire la verità
она смогла сказать правду (dire la verità);Lei poté dire la verità
мы смогли сказать правду (dire la verità);Noi potemmo dire la verità
вы смогли сказать правду (dire la verità);Voi poteste dire la verità
они смогли сказать правду (dire la verità);Loro poterono dire la verità
я должен был уехать (partire);Io dovetti partire
ты должен был уехать (partire);Tu dovesti partire
он должен был уехать (partire);Lui dovette partire
она должна была уехать (partire);Lei dovette partire
мы должны были уехать (partire);Noi dovemmo partire
вы должны были уехать (partire);Voi doveste partire
они должны были уехать (partire);Loro dovettero partire
я верил в мечту (credere al sogno);Io credetti al sogno
ты верил в мечту (credere al sogno);Tu credesti al sogno
он верил в мечту (credere al sogno);Lui credette al sogno
она верила в мечту (credere al sogno);Lei credette al sogno
мы верили в мечту (credere al sogno);Noi credemmo al sogno
вы верили в мечту (credere al sogno);Voi credeste al sogno
они верили в мечту (credere al sogno);Loro credettero al sogno
я увидел мир (vedere il mondo);Io vidi il mondo
ты увидел мир (vedere il mondo);Tu vedesti il mondo
он увидел мир (vedere il mondo);Lui vide il mondo
она увидела мир (vedere il mondo);Lei vide il mondo
мы увидели мир (vedere il mondo);Noi vedemmo il mondo
вы увидели мир (vedere il mondo);Voi vedeste il mondo
они увидели мир (vedere il mondo);Loro videro il mondo
я установил предел (porre un limite);Io posi un limite
ты установил предел (porre un limite);Tu ponesti un limite
он установил предел (porre un limite);Lui pose un limite
она установила предел (porre un limite);Lei pose un limite
мы установили предел (porre un limite);Noi ponemmo un limite
вы установили предел (porre un limite);Voi poneste un limite
они установили предел (porre un limite);Loro posero un limite
я дал совет (dare un consiglio);Io diedi un consiglio
ты дал совет (dare un consiglio);Tu desti un consiglio
он дал совет (dare un consiglio);Lui diede un consiglio
она дала совет (dare un consiglio);Lei diede un consiglio
мы дали совет (dare un consiglio);Noi demmo un consiglio
вы дали совет (dare un consiglio);Voi deste un consiglio
они дали совет (dare un consiglio);Loro diedero un consiglio
я показался странным (sembrare strano);Io sembrai strano
ты показался странным (sembrare strano);Tu sembrasti strano
он показался странным (sembrare strano);Lui sembrò strano
она показалась странной (sembrare strano);Lei sembrò strana
мы показались странными (sembrare strano);Noi sembrammo strani
вы показались странными (sembrare strano);Voi sembraste strani
они показались странными (sembrare strano);Loro sembrarono strani
я думал обо всем (pensare a tutto);Io pensai a tutto
ты думал обо всем (pensare a tutto);Tu pensasti a tutto
он думал обо всем (pensare a tutto);Lui pensò a tutto
она думала обо всем (pensare a tutto);Lei pensò a tutto
мы думали обо всем (pensare a tutto);Noi pensammo a tutto
вы думали обо всем (pensare a tutto);Voi pensaste a tutto
они думали обо всем (pensare a tutto);Loro pensarono a tutto
я говорил по-английски (parlare inglese);Io parlai inglese
ты говорил по-английски (parlare inglese);Tu parlasti inglese
он говорил по-английски (parlare inglese);Lui parlò inglese
она говорила по-английски (parlare inglese);Lei parlò inglese
мы говорили по-английски (parlare inglese);Noi parlammo inglese
вы говорили по-английски (parlare inglese);Voi parlaste inglese
они говорили по-английски (parlare inglese);Loro parlarono inglese
я ждал автобус (aspettare l'autobus);Io aspettai l'autobus
ты ждал автобус (aspettare l'autobus);Tu aspettasti l'autobus
он ждал автобус (aspettare l'autobus);Lui aspettò l'autobus
она ждала автобус (aspettare l'autobus);Lei aspettò l'autobus
мы ждали автобус (aspettare l'autobus);Noi aspettammo l'autobus
вы ждали автобус (aspettare l'autobus);Voi aspettaste l'autobus
они ждали автобус (aspettare l'autobus);Loro aspettarono l'autobus
я молился богу (pregare Dio);Io pregai Dio
ты молился богу (pregare Dio);Tu pregasti Dio
он молился богу (pregare Dio);Lui pregò Dio
она молилась богу (pregare Dio);Lei pregò Dio
мы молились богу (pregare Dio);Noi pregammo Dio
вы молились богу (pregare Dio);Voi pregaste Dio
они молились богу (pregare Dio);Loro pregarono Dio
я услышал (sentire) шум (un rumore);Io sentii un rumore
ты услышал (sentire) шум (un rumore);Tu sentisti un rumore
он услышал (sentire) шум (un rumore);Lui sentì un rumore
она услышала (sentire) шум (un rumore);Lei sentì un rumore
