A09 - Preposizioni semplici e articolate (di/a/da/in/su/con/per + articoli)
Это книга моего друга.;È il libro del mio amico.
Это тетрадь студента.;È il quaderno dello studente.
Это дом учителя.;È la casa dell'insegnante.
Это машина моей сестры.;È la macchina di mia sorella.
Я иду в школу.;Vado a scuola.
Мы идем в театр.;Andiamo a teatro.
Она идет на работу.;Lei va al lavoro.
Он идет на рынок.;Lui va al mercato.
Я приезжаю из Рима.;Vengo da Roma.
Мы приходим из Милана.;Veniamo da Milano.
Она приезжает из Неаполя.;Lei viene da Napoli.
Он приходит из Флоренции.;Lui viene da Firenze.
Я живу в Италии.;Vivo in Italia.
Она живет в Риме.;Lei vive a Roma.
Мы живем в Милане.;Viviamo a Milano.
Они живут в Неаполе.;Loro vivono a Napoli.
Я нахожусь в гостинице.;Sono in albergo.
Она в больнице.;Lei è in ospedale.
Мы в школе.;Siamo a scuola.
Они в церкви.;Loro sono in chiesa.
Книга на столе.;Il libro è sul tavolo.
Телефон на стуле.;Il telefono è sulla sedia.
Ключи в сумке.;Le chiavi sono nella borsa.
Ручка в кармане.;La penna è in tasca.
Я иду с другом.;Vado con un amico.
Мы работаем с коллегой.;Lavoriamo con un collega.
Она говорит с сестрой.;Lei parla con sua sorella.
Он встречает брата.;Lui incontra suo fratello.
Я иду для тебя.;Vado per te.
Мы делаем это для всех.;Facciamo questo per tutti.
Она работает для семьи.;Lei lavora per la famiglia.
Он живет для страсти.;Lui vive per la passione.
Я работаю в офисе.;Lavoro in ufficio.
Она работает на фабрике.;Lei lavora in fabbrica.
Мы работаем в магазине.;Lavoriamo in negozio.
Они работают в компании.;Loro lavorano in azienda.
Я иду к врачу.;Vado dal dottore.
Она идет к стоматологу.;Lei va dal dentista.
Мы идем к учителю.;Andiamo dall'insegnante.
Они идут к адвокату.;Loro vanno dall'avvocato.
Это для меня.;È per me.
Это для тебя.;È per te.
Это для нас.;È per noi.
Это для вас.;È per voi.
Это для них.;È per loro.
