A12 - Avverbi di frequenza | quantità
Я всегда говорю правду;Dico sempre la verità
Я всегда начинаю рано;Inizio sempre presto
Я всегда завтракаю дома;Faccio sempre colazione a casa
Он часто ходит в кино;Va spesso al cinema
Мы часто работаем вместе;Lavoriamo spesso insieme
Я часто читаю книги;Leggo spesso libri
Я иногда опаздываю;A volte arrivo in ritardo
Иногда я работаю допоздна;A volte lavoro fino a tardi
Иногда мы ходим в ресторан;A volte andiamo al ristorante
Я редко смотрю телевизор;Guardo raramente la televisione
Я редко пью кофе;Bevo raramente caffè
Я редко езжу на такси;Prendo raramente il taxi
Я никогда не лгу;Non mento mai
Я никогда не курю;Non fumo mai
Я никогда не забываю ключи;Non dimentico mai le chiavi
Обычно я хожу пешком;Di solito vado a piedi
Обычно я обедаю в час;Di solito pranzo all'una
Обычно я иду домой поздно;Di solito vado a casa tardi
Я ем много хлеба;Mangio molto pane
Я пью много воды;Bevo molta acqua
У меня много друзей;Ho molti amici
У меня много времени;Ho molto tempo
Я мало ем;Mangio poco
Я мало сплю;Dormo poco
У меня мало денег;Ho pochi soldi
У меня мало работы;Ho poco lavoro
Я слишком много работаю;Lavoro troppo
Я слишком много ем;Mangio troppo
Это слишком дорого;Costa troppo
Я слишком быстро говорю;Parlo troppo velocemente
Я очень люблю итальянский;Amo molto l'italiano
Я очень хорошо готовлю;Cucino molto bene
Я очень устал;Sono molto stanco
Это очень важно;È molto importante
Достаточно воды;Abbastanza acqua
Достаточно времени;Abbastanza tempo
Я достаточно хорошо говорю по-итальянски;Parlo abbastanza bene italiano
Это достаточно легко;È abbastanza facile
Почти готово;È quasi pronto
Почти все;Quasi tutti
