G016 - Кто действует: chi как подлежащее
Кто работает? (chi, lavorare);Chi lavora?
Кто поёт? (cantare);Chi canta?
Кто готовит здесь? (cucinare);Chi cucina qui?
Кто спит там? (dormire);Chi dorme lì?
Кто читает? (leggere);Chi legge?
Кто пишет? (scrivere);Chi scrive?
Кто понимает? (capire);Chi capisce?
Кто заканчивает сегодня? (finire, oggi);Chi finisce oggi?
Кто убирает? (pulire);Chi pulisce?
Кто живёт здесь? (vivere);Chi vive qui?
Кто работает сегодня вечером? (lavorare, stasera);Chi lavora stasera?
Кто там хорошо поёт? (cantare);Chi canta bene lì?
Кто не работает? (lavorare);Chi non lavora?
