A03 - Sostantivi: genere e numero (plurale)
Это те мальчики (ragazzi);Sono i ragazzi
Это мальчики (ragazzi);Sono ragazzi
Это те девочки (ragazze);Sono le ragazze
Это девочки (ragazze);Sono ragazze
Это те друзья (amici);Sono gli amici
Это друзья (amici);Sono amici
Это те подруги (amiche);Sono le amiche
Это подруги (amiche);Sono amiche
Это те мужчины (uomini);Sono gli uomini
Это мужчины (uomini);Sono uomini
Это те женщины (donne);Sono le donne
Это женщины (donne);Sono donne
Это те книги (libri);Sono i libri
Это книги (libri);Sono libri
Это те столы (tavoli);Sono i tavoli
Это столы (tavoli);Sono tavoli
Это те поезда (treni);Sono i treni
Это поезда (treni);Sono treni
Это те сады (giardini);Sono i giardini
Это сады (giardini);Sono giardini
Это те санузлы (bagni);Sono i bagni
Это санузлы (bagni);Sono bagni
Это те собаки (cani);Sono i cani
Это собаки (cani);Sono cani
Это те театры (teatri);Sono i teatri
Это театры (teatri);Sono teatri
Это те дяди (zii);Sono gli zii
Это дяди (zii);Sono zii
Это те зеркала (specchi);Sono gli specchi
Это зеркала (specchi);Sono specchi
Это те годы (anni);Sono gli anni
Это годы (anni);Sono anni
Это те дома (case);Sono le case
Это дома (case);Sono case
Это те яблоки (mele);Sono le mele
Это яблоки (mele);Sono mele
Это те ключи (chiavi);Sono le chiavi
Это ключи (chiavi);Sono chiavi
Это те стулья (sedie);Sono le sedie
Это стулья (sedie);Sono sedie
Это те школы (scuole);Sono le scuole
Это школы (scuole);Sono scuole
Это те завтраки (colazioni);Sono le colazioni
Это завтраки (colazioni);Sono colazioni
Это те ученики (studenti);Sono gli studenti
Это ученики (studenti);Sono studenti
Это те учителя (insegnanti);Sono gli insegnanti
Это учителя (insegnanti);Sono insegnanti
Это те инженеры (ingegneri);Sono gli ingegneri
Это инженеры (ingegneri);Sono ingegneri
Это те врачи (medici);Sono i medici
Это врачи (medici);Sono medici
Это те ночи (notti);Sono le notti
Это ночи (notti);Sono notti
Это те уроки (lezioni);Sono le lezioni
Это уроки (lezioni);Sono lezioni
Это те проблемы (problemi);Sono i problemi
Это проблемы (problemi);Sono problemi
Это те руки (mani);Sono le mani
Это руки (mani);Sono mani
Это те туристы (turisti);Sono i turisti
Это туристы (turisti);Sono turisti
Это те туристки (turiste);Sono le turiste
Это туристки (turiste);Sono turiste
Это те города (città);Sono le città
Это города (città);Sono città
Это не те мальчики (ragazzi);Non sono i ragazzi
Это не мальчики (ragazzi);Non sono ragazzi
Это не те книги (libri);Non sono i libri
Это книги (libri);Non sono libri
Это не те проблемы (problemi);Non sono i problemi
Это не проблемы (problemi);Non sono problemi
