A04 - Aggettivi: forma e posizione
Это красивая девушка;Questa è una bella ragazza.
Это красивый мальчик;Questo è un bel ragazzo.
Это красивые мальчики;Questi sono bei ragazzi.
Это красивые девочки;Queste sono belle ragazze.
Это хороший человек;Questo è un bravo uomo.
Это хорошая девушка;Questa è una brava ragazza.
Это хорошие мужчины;Questi sono bravi uomini.
Это хорошие люди;Queste sono brave persone.
Это большой дом;Questa è una grande casa.
Это большие дома;Queste sono grandi case.
Это большая семья;Questa è una grande famiglia.
Это большие семьи;Queste sono grandi famiglie.
Это новый друг;Questo è un nuovo amico.
Это новая подруга;Questa è una nuova amica.
Это новые друзья;Questi sono nuovi amici.
Это новые подруги;Queste sono nuove amiche.
Это маленький ребенок;Questo è un piccolo bambino.
Это маленькие дети;Questi sono piccoli bambini.
Это маленькая девочка;Questa è una piccola bambina.
Это маленькие девочки;Queste sono piccole bambine.
Это молодой мужчина;Questo è un giovane uomo.
Это молодые мужчины;Questi sono giovani uomini.
Это молодая женщина;Questa è una giovane donna.
Это молодые женщины;Queste sono giovani donne.
Это старый отец;Questo è un vecchio padre.
Это старые отцы;Questi sono vecchi padri.
Это старая мать;Questa è una vecchia madre.
Это старые матери;Queste sono vecchie madri.
Это хорошая мать;Questa è una buona madre.
Это хороший отец;Questo è un buon padre.
Это хорошие родители;Questi sono buoni genitori.
Это красивая жена;Questa è una bella moglie.
Это красивые жёны;Queste sono belle mogli.
Это красивый муж;Questo è un bel marito.
Это красивые мужья;Questi sono bei mariti.
Это счастливая семья;Questa è una famiglia felice.
Это счастливые семьи;Queste sono famiglie felici.
Это счастливый человек;Questo è un uomo felice.
Это счастливые люди;Queste sono persone felici.
Это важная часть;Questa è una parte importante.
Это важные части;Queste sono parti importanti.
Это сильная женщина;Questa è una donna forte.
Это сильные женщины;Queste sono donne forti.
Это сильный мужчина;Questo è un uomo forte.
Это сильные мужчины;Questi sono uomini forti.
Это высокий парень;Questo è un ragazzo alto.
Это высокие парни;Questi sono ragazzi alti.
Это высокая девушка;Questa è una ragazza alta.
Это высокие девушки;Queste sono ragazze alte.
Это интересная книга;Questo è un libro interessante.
Это интересные книги;Questi sono libri interessanti.
Это милый мальчик;Questo è un ragazzo carino.
Это милые мальчики;Questi sono ragazzi carini.
Это милая девочка;Questa è una bambina carina.
Это милые девочки;Queste sono bambine carine.
Это хороший друг;Questo è un buon amico.
Это хорошие друзья;Questi sono buoni amici.
Это хорошая подруга;Questa è una buona amica.
Это хорошие подруги;Queste sono buone amiche.
Это добрый человек;Questo è un buon uomo.
Это добрые люди;Questi sono buoni uomini.
Это добрая женщина;Questa è una buona donna.
Это добрые женщины;Queste sono buone donne.
Это трудный день;Questo è un giorno difficile.
Это трудные дни;Questi sono giorni difficili.
Это трудная работа;Questo è un lavoro difficile.
Это трудные работы;Questi sono lavori difficili.
Это простой человек;Questo è un uomo semplice.
Это простые люди;Questi sono uomini semplici.
Это простая женщина;Questa è una donna semplice.
Это простые женщины;Queste sono donne semplici.
Это чистая комната;Questa è una stanza pulita.
Это чистые комнаты;Queste sono stanze pulite.
Это чистое платье;Questo è un vestito pulito.
Это чистые платья;Questi sono vestiti puliti.
Это грязная улица;Questa è una strada sporca.
Это грязные улицы;Queste sono strade sporche.
Это красивая картина;Questo è un bel quadro.
Это красивые картины;Questi sono bei quadri.
Это не красивая девушка;Questa non è una bella ragazza.
Это не красивый мальчик;Questo non è un bel ragazzo.
Это не хороший человек;Questo non è un bravo uomo.
Это не большая семья;Questa non è una grande famiglia.
Это не новый друг;Questo non è un nuovo amico.
Это не маленький ребенок;Questo non è un piccolo bambino.
Это не молодая женщина;Questa non è una giovane donna.
Это не старая мать;Questa non è una vecchia madre.
Это не счастливая семья;Questa non è una famiglia felice.
Это не важная часть;Questa non è una parte importante.
Это не сильный мужчина;Questo non è un uomo forte.
Это не высокий парень;Questo non è un ragazzo alto.
Это не интересная книга;Questo non è un libro interessante.
Это не хороший друг;Questo non è un buon amico.
Это не добрый человек;Questo non è un buon uomo.
Это не трудный день;Questo non è un giorno difficile.
Это не простой человек;Questo non è un uomo semplice.
Это не чистая комната;Questa non è una stanza pulita.
Это не грязная улица;Questa non è una strada sporca.
Это красивая девушка?;Questa è una bella ragazza?
Это красивый мальчик?;Questo è un bel ragazzo?
Это хороший человек?;Questo è un bravo uomo?
Это большая семья?;Questa è una grande famiglia?
Это новый друг?;Questo è un nuovo amico?
Это маленький ребенок?;Questo è un piccolo bambino?
Это молодая женщина?;Questa è una giovane donna?
Это старая мать?;Questa è una vecchia madre?
Это счастливая семья?;Questa è una famiglia felice?
Это важная часть?;Questa è una parte importante?
Это сильный мужчина?;Questo è un uomo forte?
Это высокий парень?;Questo è un ragazzo alto?
Это интересная книга?;Questo è un libro interessante?
Это хороший друг?;Questo è un buon amico?
Это добрый человек?;Questo è un buon uomo?
Это трудный день?;Questo è un giorno difficile?
Это простой человек?;Questo è un uomo semplice?
Это чистая комната?;Questa è una stanza pulita?
Это грязная улица?;Questa è una strada sporca?
