Word Drill A1
Они говорят привет (say hello).;They say hello.
Они не говорят привет (say hello).;They don't say hello.+They do not say hello.
Они говорят привет (say hello)?;Do they say hello?
Они сказали привет (say hello).;They said hello.
Они не сказали привет (say hello).;They didn't say hello.+They did not say hello.
Они сказали привет (say hello)?;Did they say hello?
Они скажут привет (say hello).;They will say hello.
Они не скажут привет (say hello).;They won't say hello.+They will not say hello.
Они скажут привет (say hello)?;Will they say hello?
Я иду домой (go home).;I go home.
Я не иду домой.;I don't go home.+I do not go home.
Я иду домой?;Do I go home?
Ты пошел домой (go home).;You went home.
Ты не пошел домой.;You didn't go home.+You did not go home.
Ты пошел домой?;Did you go home?
Он пойдет домой (go home).;He will go home.
Он не пойдет домой.;He won't go home.+He will not go home.
Он пойдет домой?;Will he go home?
Они женятся (get married).;They get married.
Они не женятся.;They don't get married.+They do not get married.
Они женятся?;Do they get married?
Они поженились (get married).;They got married.
Они не поженились.;They didn't get married.+They did not get married.
Они поженились?;Did they get married?
Они поженятся (get married).;They will get married.
Они не поженятся.;They won't get married.+They will not get married.
Они поженятся?;Will they get married?
Я совершаю ошибку (make a mistake).;I make a mistake.
Я не совершаю ошибку.;I don't make a mistake.+I do not make a mistake.
Я совершаю ошибку?;Do I make a mistake?
Я совершил ошибку (make a mistake).;I made a mistake.
Я не совершил ошибку.;I didn't make a mistake.+I did not make a mistake.
Я совершил ошибку?;Did I make a mistake?
Я совершу ошибку (make a mistake).;I will make a mistake.
Я не совершу ошибку.;I won't make a mistake.+I will not make a mistake.
Я совершу ошибку?;Will I make a mistake?
Я вижу тебя.;I see you.
Я не вижу тебя.;I don't see you.+I do not see you.
Я вижу тебя?;Do I see you?
Ты видел меня.;You saw me.
Ты не видел меня.;You didn't see me.+You did not see me.
Ты видел меня?;Did you see me?
Он увидит нас.;He will see us.
Он не увидит нас.;He won't see us.+He will not see us.
Он увидит нас?;Will he see us?
Я знаю правду (the truth).;I know the truth.
Я не знаю правду (the truth).;I don't know the truth.+I do not know the truth.
Я знаю правду (the truth)?;Do I know the truth?
Ты знал правду (the truth).;You knew the truth.
Ты не знал правду (the truth).;You didn't know the truth.+You did not know the truth.
Ты знал правду (the truth)?;Did you know the truth?
Он будет знать правду (the truth).;He will know the truth.
Он не будет знать правду (the truth).;He won't know the truth.+He will not know the truth.
Будет ли он знать правду (the truth)?;Will he know the truth?
Они тратят время (spend time).;They spend time.
Они не тратят время (spend time).;They don't spend time.+They do not spend time.
Они тратят время (spend time)?;Do they spend time?
Они тратили время (spend time).;They spent time.
Они не тратили время (spend time).;They didn't spend time.+They did not spend time.
Они тратили время (spend time)?;Did they spend time?
Они будут тратить время (spend time).;They will spend time.
Они не будут тратить время (spend time).;They won't spend time.+They will not spend time.
Они будут тратить время (spend time)?;Will they spend time?
Они принимают участие (take part) в игре.;They take part in the game.
Они не принимают участие (take part) в игре.;They don't take part in the game.+They do not take part in the game.
Они принимают участие (take part) в игре?;Do they take part in the game?
Они принимали участие (take part) в игре.;They took part in the game.
Они не принимали участие (take part) в игре.;They didn't take part in the game.+They did not take part in the game.
Они принимали участие (take part) в игре?;Did they take part in the game?
Они будут принимать участие (take part) в игре.;They will take part in the game.
Они не будут принимать участие (take part) в игре.;They won't take part in the game.+They will not take part in the game.
Они будут принимать участие (take part) в игре?;Will they take part in the game?
Следующий год хороший.;Next year is good.
Следующий год не хороший.;Next year isn't good.+Next year is not good.
Следующий год хороший?;Is next year good?
Прошлый год был хорошим.;Last year was good.
Прошлый год не был хорошим.;Last year wasn't good.+Last year was not good.
Прошлый год был хорошим?;Was last year good?
Следующий год будет хорошим.;Next year will be good.
Следующий год не будет хорошим.;Next year won't be good.+Next year will not be good.
Следующий год будет хорошим?;Will next year be good?
Я думаю о тебе (think about).;I think about you.
Я не думаю о тебе.;I don't think about you.+I do not think about you.
Я думаю о тебе?;Do I think about you?
Ты думал о мне (think about).;You thought about me.
Ты не думал обо мне.;You didn't think about me.+You did not think about me.
Ты думал обо мне?;Did you think about me?
Он будет думать о нас (think about).;He will think about us.
Он не будет думать о нас.;He won't think about us.+He will not think about us.
Будет ли он думать о нас?;Will he think about us?
Они приходят домой (come home).;They come home.
Они не приходят домой.;They don't come home.+They do not come home.
Они приходят домой?;Do they come home?
Они пришли домой.;They came home.
Они не пришли домой.;They didn't come home.+They did not come home.
Они пришли домой?;Did they come home?
Они придут домой.;They will come home.
Они не придут домой.;They won't come home.+They will not come home.
Они придут домой?;Will they come home?
Это длится (last) долго.;It lasts long.
Это не длится долго.;It doesn't last long.+It does not last long.
Это длится долго?;Does it last long?
Это длилось (last) долго.;It lasted long.
Это не длилось долго.;It didn't last long.+It did not last long.
Это длилось долго?;Did it last long?
Это будет длиться (last) долго.;It will last long.
Это не будет длиться долго.;It won't last long.+It will not last long.
Это будет длиться долго?;Will it last long?
Она дает советы (give advice).;She gives advice.
Она не дает советы (give advice).;She doesn't give advice.+She does not give advice.
Она дает советы (give advice)?;Does she give advice?
Она дала советы (give advice).;She gave advice.
Она не давала советы (give advice).;She didn't give advice.+She did not give advice.
Она дала советы (give advice)?;Did she give advice?
Она будет давать советы (give advice).;She will give advice.
Она не будет давать советы (give advice).;She won't give advice.+She will not give advice.
Она будет давать советы (give advice)?;Will she give advice?
Многие люди (many people) здесь.;Many people are here.
Многих людей здесь нет.;Many people aren’t here.+Many people are not here.
Здесь много людей (many people)?;Are many people here?
Здесь было много людей (many people).;Many people were here.
Многих людей здесь не было.;Many people weren’t here.+Many people were not here.
Здесь было много людей (many people)?;Were many people here?
Здесь будет много людей (many people).;Many people will be here.
Многих людей здесь не будет.;Many people won’t be here.+Many people will not be here.
Здесь будет много людей (many people)?;Will many people be here?
У него есть две (two) книги.;He has two books.
У него нет двух (two) книг.;He doesn't have two books.+He does not have two books.
У него есть две (two) книги?;Does he have two books?
У него были две (two) книги.;He had two books.
У него не было двух (two) книг.;He didn't have two books.+He did not have two books.
У него были две (two) книги?;Did he have two books?
У него будут две (two) книги.;He will have two books.
У него не будет двух (two) книг.;He won't have two books.+He will not have two books.
У него будут две (two) книги?;Will he have two books?
Они находят путь (way).;They find a way.
Они не находят путь (way).;They don't find a way.+They do not find a way.
Они находят путь (way)?;Do they find a way?
Они нашли путь (way).;They found a way.
Они не нашли путь (way).;They didn't find a way.+They did not find a way.
Они нашли путь (way)?;Did they find a way?
Они найдут путь (way).;They will find a way.
Они не найдут путь (way).;They won't find a way.+They will not find a way.
Они найдут путь (way)?;Will they find a way?
Я ищу (look for) ключи.;I look for keys.
Я не ищу (look for) ключи.;I don't look for keys.+I do not look for keys.
Я ищу (look for) ключи?;Do I look for keys?
Я искал (look for) ключи.;I looked for keys.
Я не искал (look for) ключи.;I didn't look for keys.+I did not look for keys.
Я искал (look for) ключи?;Did I look for keys?
Я буду искать (look for) ключи.;I will look for keys.
Я не буду искать (look for) ключи.;I won't look for keys.+I will not look for keys.
Я буду искать (look for) ключи?;Will I look for keys?
Он использует телефон (use).;He uses a phone.
Он не использует телефон.;He doesn’t use a phone.+He does not use a phone.
Он использует телефон (use)?;Does he use a phone?
Он использовал телефон (use).;He used a phone.
Он не использовал телефон.;He didn’t use a phone.+He did not use a phone.
Он использовал телефон (use)?;Did he use a phone?
Он будет использовать телефон (use).;He will use a phone.
Он не будет использовать телефон.;He won’t use a phone.+He will not use a phone.
Он будет использовать телефон (use)?;Will he use a phone?
Я нахожу время (find time).;I find time.
Я не нахожу время (find time).;I don't find time.+I do not find time.
Я нахожу время (find time)?;Do I find time?
Ты нашел время (find time).;You found time.
Ты не нашел время (find time).;You didn't find time.+You did not find time.
Ты нашел время (find time)?;Did you find time?
Он найдет время (find time).;He will find time.
Он не найдет время (find time).;He won't find time.+He will not find time.
Он найдет время (find time)?;Will he find time?
Он — честный человек (honest man).;He is an honest man.
Он не честный человек (honest man).;He isn't an honest man.+He is not an honest man.
Он честный человек (honest man)?;Is he an honest man?
Он был честным человеком (honest man).;He was an honest man.
Он не был честным человеком (honest man).;He wasn't an honest man.+He was not an honest man.
Он был честным человеком (honest man)?;Was he an honest man?
Он будет честным человеком (honest man).;He will be an honest man.
Он не будет честным человеком (honest man).;He won't be an honest man.+He will not be an honest man.
Он будет честным человеком (honest man)?;Will he be an honest man?
Я хочу помощь (help).;I want help.
Я не хочу помощь (help).;I don't want help.+I do not want help.
