A11 - Numerali | ora | data
У меня есть одна книга;Ho un libro
У меня два брата;Ho due fratelli
У меня три сестры;Ho tre sorelle
У нас четыре комнаты;Abbiamo quattro stanze
У меня пять друзей;Ho cinque amici
Сейчас шесть часов;Sono le sei
Сейчас семь часов;Sono le sette
Урок в восемь часов;La lezione è alle otto
Начинаем в девять часов;Iniziamo alle nove
Заканчиваем в десять часов;Finiamo alle dieci
Понедельник - первый день недели;Il lunedì è il primo giorno della settimana
Вторник - второй день;Il martedì è il secondo giorno
Среда - третий день;Il mercoledì è il terzo giorno
Четверг - четвертый день;Il giovedì è il quarto giorno
Пятница - пятый день;Il venerdì è il quinto giorno
Суббота - шестой день;Il sabato è il sesto giorno
Воскресенье - седьмой день;La domenica è il settimo giorno
Январь - первый месяц;Gennaio è il primo mese
Февраль - второй месяц;Febbraio è il secondo mese
Март - третий месяц;Marzo è il terzo mese
Апрель - четвертый месяц;Aprile è il quarto mese
Май - пятый месяц;Maggio è il quinto mese
Июнь - шестой месяц;Giugno è il sesto mese
Июль - седьмой месяц;Luglio è il settimo mese
Август - восьмой месяц;Agosto è l'ottavo mese
Сентябрь - девятый месяц;Settembre è il nono mese
Октябрь - десятый месяц;Ottobre è il decimo mese
Ноябрь - одиннадцатый месяц;Novembre è l'undicesimo mese
Декабрь - двенадцатый месяц;Dicembre è il dodicesimo mese
Сегодня понедельник;Oggi è lunedì
Завтра вторник;Domani è martedì
Послезавтра среда;Dopodomani è mercoledì
После субботы идет воскресенье;Dopo sabato viene domenica
Перед воскресеньем идет суббота;Prima di domenica viene sabato
Какое сегодня число?;Quanti ne abbiamo oggi?
Сегодня двадцать пятое мая;Oggi è venticinque maggio
Мой день рождения десятого июня;Il mio compleanno è il dieci giugno
Праздник пятнадцатого июля;La festa è il quindici luglio
Который час?;Che ore sono?
Сейчас ровно двенадцать;Sono le dodici in punto
У меня большая книга;Ho un libro grande
У меня маленькая комната;Ho una stanza piccola
Это красивый дом;Questa è una bella casa
Это плохой день;Questo è un brutto giorno
Две большие сестры;Due sorelle grandi
Три маленьких брата;Tre fratelli piccoli
