Who / What / That
Мне нравится дом, в котором я живу;
Политика это не та тема которой я интересуюсь;
Ты единственный человек, на которого я могу положиться;
Я не знаю, с кем она ходила в театр;
Я учусь в вузе, в который ходил Трамп;
Мне нужен кто-то кому я могу пожаловаться о своей жизни;
Это та компания, в которой я хочу работать;
Грамматика не та вещь, в которой я хорош;
У нас есть тема, о которой я бы хотел поговорить;
Мне не нравятся люди, с которыми я работаю;
Можешь показать мне машину, которую ты починил вчера;
Я нашёл мой старый проект, над которым я работал в Майкрософт;
Я не помню, у кого я купил эту машину;
Интересно на какую позицию он подал заявку;
Собаки это единственная вещь которой она боится;
Этот отель имеет намного лучший сервис, чем к чему я привык;
Это тот банк, в котором я работал в 20 лет;
Религия это та тема, о которой люди часто спорят;
Это та машина, которую мы купили вчера;
Могли бы вы назвать 3 вещи, в которых вы хороши?;
Я съел торт который моя мама приготовила вчера;
Грамматика это та вещь, на которой надо сфокусироваться сейчас;
У меня не много друзей, с которыми я могу пойти в театр;
Это такого вида ресторан, в который можно пойти с детьми;
Это то место, к которому мы должны добраться к следующему утру;
Это не то, к чему большинство людей привыкли;
Джаз не единственная музыка, которую она любит слушать;
Мне нравится, что ты придумал;
Ты знаешь насчёт чего она такая злая?;
Я встретил парня, над которым мы подшучивали в старшей школе;
На работе у меня много вещей, на которые мне надо обращать внимание;
Это единственная идея, которую ты придумал?;
Грамматика это единственная вещь, с которой я всё ещё имею проблемы;
Британские компании это не та вещь, в которую вам стоит инвестировать;
Он такого вида человека, от которого каждому стоит держаться подальше;
Это не та вещь, о которой я мечтал всю жизнь;
Это такая вещь, к которой я никогда не привыкну;
Мне нравятся люди, с которыми я живу;
Это тот вуз, в котором я учился;
Это та вещь, с которой я никогда не смирюсь;
Позиция, на которую он подал заявление, была уже занята;
Новый телефон это не то, на что ты должен тратить свои деньги;
Это такого рода вещь, на которую ты не должен реагировать;
Она продала дом, в котором жила, когда была маленькой;
У меня не было лопаты при помощи которой, я мог выкопать яму;
У нас есть предложение в котором вы можете быть заинтересованы;
Я сумел сдать экзамен, к которому я не готовился;
Я не помню, от кого я это слышал;
Это тот ресторан, в который я люблю ходить по выходным;
Её счета были единтсвенной вещью, с которой её бывший муж помогал ей;
У тебя есть какие-нибудь правила по которым ты живёшь?;
Я дам тебе совет которого ты должен придерживаться всю жизнь;
Это такой вид работы, для которого вам нужны специальные инструменты;
Я не получил должность, на которую я подавал заявление;
