G275 - Степень действия: molto / poco / troppo
Я много работаю (lavorare);Lavoro molto
Они мало спят (dormire);Dormono poco
Я мало ем (mangiare);Mangio poco
Я слишком много ем (mangiare);Mangio troppo
Мы много читаем (leggere);Leggiamo molto
Ты много говоришь (parlare);Parli molto
Мы слишком много говорим (parlare);Parliamo troppo
Мария мало пьёт (bere);Maria beve poco
Ты мало работаешь (lavorare);Lavori poco
Анна много учится (studiare);Anna studia molto
Папа мало читает (leggere);Papà legge poco
Лука слишком много ест (mangiare);Luca mangia troppo
Мама слишком много работает (lavorare);Mamma lavora troppo
