A08 - Essere vs Avere (состояния)
Я голоден (fame);Ho fame
Ты голоден (fame);Hai fame
Он голоден (fame);Ha fame
Мы голодны (fame);Abbiamo fame
Вы голодны (fame);Avete fame
Они голодны (fame);Hanno fame
Я хочу пить (sete);Ho sete
Ты хочешь пить (sete);Hai sete
Ему холодно (freddo);Ha freddo
Мне тепло (caldo);Ho caldo
Мы хотим спать (sonno);Abbiamo sonno
Вам страшно (paura);Avete paura
Они спешат (fretta);Hanno fretta
Я прав (ragione);Ho ragione
Ты неправ (torto);Hai torto
Мне 20 лет (anni);Ho 20 anni
Ему 30 лет (anni);Ha 30 anni
У меня болит голова (mal, testa);Ho mal di testa
У тебя болят зубы (mal, denti);Hai mal di denti
Я устал (stanco);Sono stanco
Я устала (stanca);Sono stanca
Ты устал (stanco);Sei stanco
Он устал (stanco);È stanco
Мы устали (stanchi);Siamo stanchi
Они устали (stanchi);Sono stanchi
Я готов (pronto);Sono pronto
Я готова (pronta);Sono pronta
Мы готовы (pronti);Siamo pronti
Я доволен (contento);Sono contento
Я довольна (contenta);Sono contenta
Мы довольны (contenti);Siamo contenti
Он счастливый (felice);È felice
Она грустная (triste);È triste
Они молодые (giovani);Sono giovani
Он красивый (bel);È bel
Она красивая (bella);È bella
Я не голоден (fame);Non ho fame
Ты не хочешь пить (sete);Non hai sete
Ему не холодно (freddo);Non ha freddo
Нам не страшно (paura);Non abbiamo paura
Я не спешу (fretta);Non ho fretta
Он не прав (ragione);Non ha ragione
Я не устал (stanco);Non sono stanco
Мы не готовы (pronti);Non siamo pronti
Она не грустная (triste);Non è triste
У меня не болит голова (mal, testa);Non ho mal di testa
