B18 - Gerundio Functions
Работая, мы учимся (lavorare).;Lavorando, impariamo.
Изучая итальянский, ты поймешь культуру (italiano).;Studiando italiano, capirai la cultura.
Готовя, она поет (cucinare).;Cucinando, canta.
Бегая, он слушает музыку (musica).;Correndo, ascolta la musica.
Играя, дети учатся (bambini).;Giocando, i bambini imparano.
Читая, она училась (leggere).;Leggendo, studiava.
Живя в Италии, мы говорим по-итальянски (Italia).;Vivendo in Italia, parliamo italiano.
Работая здесь, ты заработаешь деньги (qui, soldi).;Lavorando qui, guadagnerai soldi.
Учась усердно, ты сдашь экзамен (esame).;Studiando con impegno, passerai l'esame.
Говоря медленно, ты будешь понят (piano).;Parlando piano, sarai capito.
Идя пешком, ты увидишь город (città).;Andando a piedi, vedrai la città.
Путешествуя, мы узнаем мир (mondo).;Viaggiando, scopriamo il mondo.
Помогая другим, ты помогаешь себе (altri).;Aiutando gli altri, aiuti te stesso.
Веря в себя, ты победишь (vincere).;Credendo in te stesso, vincerai.
Смеясь, ты чувствуешь себя лучше (meglio).;Ridendo, ti senti meglio.
Делая упражнения, ты становишься сильнее (esercizi).;Facendo esercizi, diventi più forte.
Слушая внимательно, ты поймешь лучше (attentamente).;Ascoltando attentamente, capirai meglio.
Практикуясь каждый день, ты улучшаешься (ogni giorno).;Praticando ogni giorno, migliori.
Оставаясь спокойным, ты примешь правильное решение (calmo).;Rimanendo calmo, prenderai la decisione giusta.
Зная это, ты поймешь остальное (resto).;Sapendo questo, capirai il resto.
Имея время, я бы помог (tempo).;Avendo tempo, aiuterei.
Будучи больным, он остался дома (malato).;Essendo malato, è rimasto a casa.
Пишу тебе, думая о вчерашнем разговоре (conversazione).;Ti scrivo pensando alla conversazione di ieri.
Она отвечает, улыбаясь (sorridere).;Risponde sorridendo.
Мы вошли, говоря тихо (piano).;Siamo entrati parlando piano.
Закончив работу, я вышел (lavoro).;Avendo finito il lavoro, sono uscito.
Приехав поздно, он извинился (tardi).;Essendo arrivato tardi, si è scusato.
Поговорив с Марко, мы решили проблему (Marco).;Avendo parlato con Marco, abbiamo risolto il problema.
Вернувшись домой, она позвонила мне (casa).;Essendo tornata a casa, mi ha chiamato.
Потеряв ключи, я не вошел (chiavi).;Avendo perso le chiavi, non sono entrato.
Прочитав письмо, она ответила сразу (lettera).;Avendo letto la lettera, ha risposto subito.
Увидев ошибку, мы исправили текст (errore).;Avendo visto l'errore, abbiamo corretto il testo.
Получив сообщение, он вышел (messaggio).;Avendo ricevuto il messaggio, è uscito.
Оставшись один, он начал работать (solo).;Essendo rimasto solo, ha iniziato a lavorare.
Встретив директора, я объяснил ситуацию (direttore).;Avendo incontrato il direttore, ho spiegato la situazione.
Услышав новость, они изменили план (notizia).;Avendo sentito la notizia, hanno cambiato il piano.
Приняв решение, мы больше не спорили (decisione).;Avendo preso una decisione, non abbiamo più discusso.
Открыв окно, она села читать (finestra).;Avendo aperto la finestra, si è seduta a leggere.
Поняв правило, ты сделал упражнение (regola).;Avendo capito la regola, hai fatto l'esercizio.
Став спокойнее, он смог ответить (calmo).;Essendo diventato più calmo, ha potuto rispondere.
