Italian - Condizionale Passato (Drill)
я бы был готов (essere pronto);Io sarei stato pronto
ты бы был готов (essere pronto);Tu saresti stato pronto
он бы был готов (essere pronto);Lui sarebbe stato pronto
она бы была готова (essere pronto);Lei sarebbe stata pronta
мы бы были готовы (essere pronto);Noi saremmo stati pronti
вы бы были готовы (essere pronto);Voi sareste stati pronti
они бы были готовы (essere pronto);Loro sarebbero stati pronti
я бы проголодался (avere fame);Io avrei avuto fame
ты бы проголодался (avere fame);Tu avresti avuto fame
он бы проголодался (avere fame);Lui avrebbe avuto fame
она бы проголодалась (avere fame);Lei avrebbe avuto fame
мы бы проголодались (avere fame);Noi avremmo avuto fame
вы бы проголодались (avere fame);Voi avreste avuto fame
они бы проголодались (avere fame);Loro avrebbero avuto fame
я бы сделал прогулку (fare una passeggiata);Io avrei fatto una passeggiata
ты бы сделал прогулку (fare una passeggiata);Tu avresti fatto una passeggiata
он бы сделал прогулку (fare una passeggiata);Lui avrebbe fatto una passeggiata
она бы сделала прогулку (fare una passeggiata);Lei avrebbe fatto una passeggiata
мы бы сделали прогулку (fare una passeggiata);Noi avremmo fatto una passeggiata
вы бы сделали прогулку (fare una passeggiata);Voi avreste fatto una passeggiata
они бы сделали прогулку (fare una passeggiata);Loro avrebbero fatto una passeggiata
я бы узнал правду (sapere la verità);Io avrei saputo la verità
ты бы узнал правду (sapere la verità);Tu avresti saputo la verità
он бы узнал правду (sapere la verità);Lui avrebbe saputo la verità
она бы узнала правду (sapere la verità);Lei avrebbe saputo la verità
мы бы узнали правду (sapere la verità);Noi avremmo saputo la verità
вы бы узнали правду (sapere la verità);Voi avreste saputo la verità
они бы узнали правду (sapere la verità);Loro avrebbero saputo la verità
я бы сказал правду (dire la verità);Io avrei detto la verità
ты бы сказал правду (dire la verità);Tu avresti detto la verità
он бы сказал правду (dire la verità);Lui avrebbe detto la verità
она бы сказала правду (dire la verità);Lei avrebbe detto la verità
мы бы сказали правду (dire la verità);Noi avremmo detto la verità
вы бы сказали правду (dire la verità);Voi avreste detto la verità
они бы сказали правду (dire la verità);Loro avrebbero detto la verità
я бы пошел на работу (andare al lavoro);Io sarei andato al lavoro
ты бы пошел на работу (andare al lavoro);Tu saresti andato al lavoro
он бы пошел на работу (andare al lavoro);Lui sarebbe andato al lavoro
она бы пошла на работу (andare al lavoro);Lei sarebbe andata al lavoro
мы бы пошли на работу (andare al lavoro);Noi saremmo andati al lavoro
вы бы пошли на работу (andare al lavoro);Voi sareste andati al lavoro
они бы пошли на работу (andare al lavoro);Loro sarebbero andati al lavoro
я бы чувствовал себя хорошо (stare bene);Io sarei stato bene
ты бы чувствовал себя хорошо (stare bene);Tu saresti stato bene
он бы чувствовал себя хорошо (stare bene);Lui sarebbe stato bene
она бы чувствовала себя хорошо (stare bene);Lei sarebbe stata bene
мы бы чувствовали себя хорошо (stare bene);Noi saremmo stati bene
вы бы чувствовали себя хорошо (stare bene);Voi sareste stati bene
они бы чувствовали себя хорошо (stare bene);Loro sarebbero stati bene
я бы захотел кофе (volere un caffè);Io avrei voluto un caffè
ты бы захотел кофе (volere un caffè);Tu avresti voluto un caffè
он бы захотел кофе (volere un caffè);Lui avrebbe voluto un caffè
она бы захотела кофе (volere un caffè);Lei avrebbe voluto un caffè
мы бы захотели кофе (volere un caffè);Noi avremmo voluto un caffè
вы бы захотели кофе (volere un caffè);Voi avreste voluto un caffè
они бы захотели кофе (volere un caffè);Loro avrebbero voluto un caffè
я бы смог сделать (fare);Io avrei potuto fare
ты бы смог сделать (fare);Tu avresti potuto fare
он бы смог сделать (fare);Lui avrebbe potuto fare
она бы смогла сделать (fare);Lei avrebbe potuto fare
мы бы смогли сделать (fare);Noi avremmo potuto fare
вы бы смогли сделать (fare);Voi avreste potuto fare
они бы смогли сделать (fare);Loro avrebbero potuto fare
я должен был заплатить (pagare);Io avrei dovuto pagare
ты должен был заплатить (pagare);Tu avresti dovuto pagare
он должен был заплатить (pagare);Lui avrebbe dovuto pagare
она должна была заплатить (pagare);Lei avrebbe dovuto pagare
мы должны были заплатить (pagare);Noi avremmo dovuto pagare
вы должны были заплатить (pagare);Voi avreste dovuto pagare
они должны были заплатить (pagare);Loro avrebbero dovuto pagare
я бы верил в мечту (credere al sogno);Io avrei creduto al sogno
ты бы верил в мечту (credere al sogno);Tu avresti creduto al sogno
он бы верил в мечту (credere al sogno);Lui avrebbe creduto al sogno
она бы верила в мечту (credere al sogno);Lei avrebbe creduto al sogno
мы бы верили в мечту (credere al sogno);Noi avremmo creduto al sogno
вы бы верили в мечту (credere al sogno);Voi avreste creduto al sogno
они бы верили в мечту (credere al sogno);Loro avrebbero creduto al sogno
я бы увидел мир (vedere il mondo);Io avrei visto il mondo
ты бы увидел мир (vedere il mondo);Tu avresti visto il mondo
он бы увидел мир (vedere il mondo);Lui avrebbe visto il mondo
она бы увидела мир (vedere il mondo);Lei avrebbe visto il mondo
мы бы увидели мир (vedere il mondo);Noi avremmo visto il mondo
вы бы увидели мир (vedere il mondo);Voi avreste visto il mondo
они бы увидели мир (vedere il mondo);Loro avrebbero visto il mondo
я бы установил предел (porre un limite);Io avrei posto un limite
ты бы установил предел (porre un limite);Tu avresti posto un limite
он бы установил предел (porre un limite);Lui avrebbe posto un limite
она бы установила предел (porre un limite);Lei avrebbe posto un limite
мы бы установили предел (porre un limite);Noi avremmo posto un limite
вы бы установили предел (porre un limite);Voi avreste posto un limite
они бы установили предел (porre un limite);Loro avrebbero posto un limite
я бы дал совет (dare un consiglio);Io avrei dato un consiglio
ты бы дал совет (dare un consiglio);Tu avresti dato un consiglio
он бы дал совет (dare un consiglio);Lui avrebbe dato un consiglio
она бы дала совет (dare un consiglio);Lei avrebbe dato un consiglio
мы бы дали совет (dare un consiglio);Noi avremmo dato un consiglio
вы бы дали совет (dare un consiglio);Voi avreste dato un consiglio
они бы дали совет (dare un consiglio);Loro avrebbero dato un consiglio
я бы показался странным (sembrare strano);Io sarei sembrato strano
ты бы показался странным (sembrare strano);Tu saresti sembrato strano
он бы показался странным (sembrare strano);Lui sarebbe sembrato strano
она бы показалась странной (sembrare strano);Lei sarebbe sembrata strana
мы бы показались странными (sembrare strano);Noi saremmo sembrati strani
вы бы показались странными (sembrare strano);Voi sareste sembrati strani
они бы показались странными (sembrare strano);Loro sarebbero sembrati strani
я бы думал о будущем (pensare a);Io avrei pensato al futuro
ты бы думал о будущем (pensare a);Tu avresti pensato al futuro
он бы думал о будущем (pensare a);Lui avrebbe pensato al futuro
она бы думала о будущем (pensare a);Lei avrebbe pensato al futuro
мы бы думали о будущем (pensare a);Noi avremmo pensato al futuro
вы бы думали о будущем (pensare a);Voi avreste pensato al futuro
они бы думали о будущем (pensare a);Loro avrebbero pensato al futuro
я бы говорил по-английски (parlare inglese);Io avrei parlato inglese
ты бы говорил по-английски (parlare inglese);Tu avresti parlato inglese
