G239 - Farcela: справляться
Я справляюсь (farcela);Ce la faccio
Мне удаётся работать (farcela, lavorare);Ce la faccio a lavorare
Ты справляешься? (farcela);Ce la fai?
Он справляется (farcela);Ce la fa
Мы справляемся (farcela);Ce la facciamo
Вы справляетесь? (farcela);Ce la fate?
Они справляются (farcela);Ce la fanno
Я не справляюсь (farcela);Non ce la faccio
Ей удаётся работать (farcela, lavorare);Ce la fa a lavorare
Анна успевает готовить (farcela, cucinare);Anna ce la fa a cucinare
Сегодня мы не справляемся (farcela, oggi);Oggi non ce la facciamo
Почему ты не справляешься? (farcela);Perché non ce la fai?
