G175 - Команда tu для -ere / -ire
Читай! (leggere);Leggi!
Спи! (dormire);Dormi!
Убери комнату! (pulire, la stanza);Pulisci la stanza!
Пиши письмо! (scrivere, la lettera);Scrivi la lettera!
Возьми книгу! (prendere, il libro);Prendi il libro!
Открой окно! (aprire, la finestra);Apri la finestra!
Закрой дверь! (chiudere, la porta);Chiudi la porta!
Заканчивай работу! (finire, il lavoro);Finisci il lavoro!
Продай машину! (vendere, la macchina);Vendi la macchina!
Повтори! (ripetere);Ripeti!
Отвечай! (rispondere);Rispondi!
Спи здесь! (dormire, qui);Dormi qui!
