B10 - Condizionale Composto
Я бы сделал это раньше (сделать);Lo avrei fatto prima
Она сказала, что купила бы билеты (купить билеты);Ha detto che avrebbe comprato i biglietti
Мы бы знали правду (узнать);Saremmo stati a conoscenza della verità
Я думал, что они приедут завтра (приехать);Pensavo che sarebbero arrivati domani
Ты бы был счастлив (быть);Saresti stato felice
Он обещал, что позвонит мне вечером (позвонить);Ha promesso che mi avrebbe chiamato la sera
Мы бы пообедали вместе (пообедать);Avremmo pranzato insieme
Она надеялась, что найдёт работу (найти);Sperava che avrebbe trovato lavoro
Я бы сказал тебе правду (сказать);Ti avrei detto la verità
Он думал, что всё будет хорошо (всё);Pensava che tutto sarebbe andato bene
Мы бы помогли тебе (помочь);Ti avremmo aiutato
Она сказала, что придёт к нам (прийти);Ha detto che sarebbe venuta a trovarci
Я бы сделал это (сделать);Lo avrei fatto
Они боялись, что опоздают на поезд (опоздать);Avevano paura di aver perso il treno
Ты бы понял (понять);Avresti capito
Он знал, что мы согласимся (согласиться);Sapeva che saremmo stati d'accordo
Я бы посмотрел этот фильм (посмотреть);Avrei visto quel film
Она уверяла, что всё подготовит (подготовить);Assicurava che avrebbe preparato tutto
Мы бы встретились у театра (встретиться);Ci saremmo incontrati al teatro
Ты не был бы усталым (быть);Non saresti stato stanco
Он признал, что ошибся (ошибаться);Ha ammesso che avrebbe sbagliato
Я бы рассказал эту историю (рассказать);Avrei raccontato questa storia
Они надеялись, что мы поможем им (помочь);Speravano che li avremmo aiutati
Она сказала, что отправит письмо (отправить);Ha detto che avrebbe spedito la lettera oggi
Я бы остался дома (остаться);Sarei rimasto a casa
Мы были бы рады (быть рады);Saremmo stati contenti
Он думал, что сдаст экзамен (сдать);Pensavo che avrebbe passato l'esame
Я бы купил эту книгу (купить);Avrei comprato quel libro
Она обещала, что вернётся скоро (вернуться);Ha promesso che sarebbe tornata presto
Мы бы увидели его (увидеть);L'avremmo visto
Ты бы нашёл работу (найти);Avresti trovato lavoro
Он знал, что мы будем ждать (ждать);Sapeva che l'avremmo atteso
Я бы ответил на письмо (ответить);Avrei risposto alla lettera
Они боялись, что не успеют (успеть);Avevano paura che non sarebbero stati in tempo
Она сказала, что приведёт друзей (привести);Ha detto che avrebbe portato degli amici
Я бы выпил кофе (выпить);Avrei bevuto un caffè
Мы закончили бы работу (закончить);Avremmo finito il lavoro
Он надеялся, что всё изменится (измениться);Sperava che tutto sarebbe cambiato
Ты был бы доволен (быть доволен);Saresti stato soddisfatto
Она была уверена, что мы выиграем (выиграть);Era sicura che avremmo vinto
