G234 - Обобщённый исполнитель: si impersonale
Здесь работают (lavorare);Qui si lavora
Здесь спят (dormire);Qui si dorme
Здесь не работают (lavorare);Qui non si lavora
Здесь хорошо спят (dormire, bene);Qui si dorme bene
Здесь хорошо живут (vivere, bene);Qui si vive bene
В Италии путешествуют (viaggiare, in Italia);In Italia si viaggia
Там ходят пешком (camminare);Lì si cammina
Здесь бегают (correre);Qui si corre
Завтра уезжают (partire, domani);Domani si parte
Сегодня возвращаются домой (tornare, a casa);Oggi si torna a casa
Здесь входят и выходят (entrare, uscire);Qui si entra e si esce
В Риме хорошо живут (vivere, a Roma);A Roma si vive bene
