C10 - Si passivante avanzato
В Италии живут хорошо (Si vive bene in Italia);In Italia si vive bene
Эти продукты продаются повсюду (Si vendono dovunque);Questi prodotti si vendono dovunque
Говорят, что он лучший врач (Si dice che sia il migliore);Si dice che sia il migliore medico
Сообщается, что поезд опоздает (Si annuncia che il treno sarà in ritardo);Si annuncia che il treno sarà in ritardo
Здесь говорят на итальянском (Si parla italiano);Qui si parla italiano
Эти дома строились быстро (Si costruivano velocemente);Queste case si costruivano velocemente
Этот фильм был показан вчера (È stato proiettato ieri);Questo film è stato proiettato ieri
Открывается новая выставка (Si apre una nuova mostra);Si apre una nuova mostra
В этом ресторане подают отличную пасту (Si serve un'ottima pasta);In questo ristorante si serve un'ottima pasta
Предполагается, что он придёт завтра (Si presume che arriverà domani);Si presume che arriverà domani
Этот документ был составлен внимательно (È stato redatto con cura);Questo documento è stato redatto con cura
В этой области работают много людей (Si lavora in questo settore);In questo settore si lavora molto
Проводятся исследования в этой области (Si conducono ricerche);Si conducono ricerche in questo campo
Известно, что этот город древний (Si sa che questa città è antica);Si sa che questa città è antica
На этом заводе производят автомобили (Si producono automobili);In questa fabbrica si producono automobili
Этот вопрос обсуждается сейчас (Si discute ora);Questa questione si discute ora
Было решено начать новый проект (È stato deciso di iniziare un nuovo progetto);È stato deciso di iniziare un nuovo progetto
В Италии хорошо едят (Si mangia bene in Italia);In Italia si mangia bene
Эти книги читаются с интересом (Si leggono con interesse);Questi libri si leggono con interesse
Считается, что это правда (Si ritiene che sia vero);Si ritiene che sia vero
Этот мост был построен в 1990 году (È stato costruito nel 1990);Questo ponte è stato costruito nel 1990
В этой школе преподают математику (Si insegna matematica);In questa scuola si insegna matematica
Организуются конференции ежегодно (Si organizzano conferenze);Si organizzano conferenze annuali
Говорят, что погода будет хорошей (Si spera che il tempo sia bello);Si spera che il tempo sia bello
Эти товары экспортируются по всему миру (Si esportano in tutto il mondo);Questi merci si esportano in tutto il mondo
Было замечено, что он ушёл рано (È stato notato che è partito presto);È stato notato che è partito presto
В этом театре ставят пьесы (Si rappresentano opere teatrali);In questo teatro si rappresentano opere teatrali
Этот закон был принят в 2020 году (È stato approvato nel 2020);Questa legge è stata approvata nel 2020
Поётся на этом концерте (Si canta in questo concerto);In questo concerto si canta
Эти проблемы решаются постепенно (Si risolvono gradualmente);Questi problemi si risolvono gradualmente
Предлагается новый курс (Si propone un nuovo corso);Si propone un nuovo corso
В этой лаборатории проводят эксперименты (Si fanno esperimenti);In questo laboratorio si fanno esperimenti
Этот отчет был опубликован вчера (È stato pubblicato ieri);Questo rapporto è stato pubblicato ieri
Говорят, что экзамен будет сложным (Si dice che l'esame sarà difficile);Si dice che l'esame sarà difficile
Эти билеты продаются онлайн (Si vendono biglietti online);Questi biglietti si vendono online
Было предложено изменить план (È stato proposto di cambiare il piano);È stato proposto di cambiare il piano
В этом магазине продают одежду (Si vendono vestiti);In questo negozio si vendono vestiti
Этот проект был завершён успешно (È stato completato con successo);Questo progetto è stato completato con successo
Ожидают, что результаты будут хорошими (Si aspetta che i risultati siano buoni);Si aspetta che i risultati siano buoni
В этой компании работают много сотрудников (Si lavora in questa azienda);In questa azienda si lavora con molti dipendenti
