C18 - Idiomatica e collocazioni
Профессор (professore) сделал (fatto) il punto на лекции (lezione);Il professore ha fatto il punto alla lezione
Подведём (facciamo) итоги (punto) встречи (incontro);Facciamo il punto dell'incontro
Давайте резюмируем (facciamo il punto) прогресс (progresso);Facciamo il punto dei progressi
Я должен (devo) подвести итоги (fare il punto) проекта (progetto);Devo fare il punto del progetto
Мы сделали (abbiamo fatto) il point работы (lavoro) команды (squadra);Abbiamo fatto il punto del lavoro di squadra
Давайте (facciamo) проясним ситуацию (situazione);Facciamo il punto della situazione
Прежде всего (prima di tutto) fare il punto — это важно (importante);Prima di tutto fare il punto è importante
Нужно (dovere) сделать (fare) il point наших дел (attività);Bisogna fare il punto delle nostre attività
Я должен (devo) prendere atto della realtà (realtà);Devo prendere atto della realtà
Мы признаём (prendiamo atto) твою победу (vittoria);Prendiamo atto della tua vittoria
Он признал (preso atto) ошибки (errore);Ha preso atto degli errori
Давайте признаем (prendiamo atto) факты (fatto);Prendiamo atto dei fatti
Я признаю (prendo atto) твою правоту (ragione);Prendo atto della tua ragione
Мы признали (abbiamo preso atto) изменения (cambiamento);Abbiamo preso atto dei cambiamenti
Ты признаёшь (prendi atto) трудность (difficoltà)?;Prendi atto della difficoltà?
Профессор (professore) признал (ha preso atto) прогресс (progresso) студента (studente);Il professore ha preso atto dei progressi dello studente
Компания (azienda) признала (ha preso atto) проблему (problema);L'azienda ha preso atto del problema
Давайте сфокусируем (mettiamo a fuoco) внимание (attenzione);Mettiamo a fuoco l'attenzione
Я должен (devo) mettere a fuoco вопрос (questione);Devo mettere a fuoco la questione
Она прояснила (messo a fuoco) ситуацию (situazione);Ha messo a fuoco la situazione
Фото (foto) не в фокусе (a fuoco);La foto non è a fuoco
Он чётко (bene) сформулировал идею (idea);Ha messo a fuoco l'idea
Нам нужно (dobbiamo) прояснить (mettere a fuoco) приоритеты (priorità);Dobbiamo mettere a fuoco le priorità
Она сфокусировала (messo a fuoco) проблему (problema);Ha messo a fuoco il problema
Давайте сосредоточимся (mettiamo a fuoco) на деталях (dettaglio);Mettiamo a fuoco i dettagli
Я хочу (voglio) прояснить (mettere a fuoco) этот аспект (aspetto);Voglio mettere a fuoco questo aspetto
Она хорошо (bene) объяснила (spiegare) концепцию (concetto);Ha messo a fuoco il concetto
Это имеет (ha) a che fare с тобой (te);Questo ha a che fare con te
У меня нет (non ho niente) a che fare с ним (lui);Non ho niente a che fare con lui
Это дело (cosa) имеет a che fare с деньгами (soldi);Questa cosa ha a che fare con i soldi
Она не хочет (non vuole) avere a che fare с проблемами (problema);Non vuole avere a che fare con i problemi
Что это имеет (ha) a che fare с нами (noi)?;Cosa questo ha a che fare con noi?
Я не хочу (non voglio) иметь дела (avere a che fare) с этим (questo);Non voglio avere a che fare con questo
Это не имеет (non ha niente) a che fare с работой (lavoro);Questo non ha niente a che fare con il lavoro
У меня много (molto) дел (a che fare) с этим проектом (progetto);Ho molto a che fare con questo progetto
Я даю (do) per scontato твой помощь (aiuto);Do per scontato il tuo aiuto
Он принимает (dà) всё (tutto) как должное (per scontato);Lui dà tutto per scontato
Не считай (non dare) это само собой разумеющимся (per scontato);Non dare questo per scontato
Она принимала (dava) любовь (amore) как должную (per scontato);Lei dava l'amore per scontato
Мы не должны (non dobbiamo) давать (dare) это как само собой (per scontato);Non dobbiamo dare questo per scontato
Ты принимаешь (dai) успех (successo) как должное (per scontato)?;Dai il successo per scontato?
Не принимай (non dare) мою помощь (aiuto) как должное (per scontato);Non dare il mio aiuto per scontato
Они давали (davano) всё (tutto) как должное (per scontato);Loro davano tutto per scontato
Я больше (più) не даю (do) это как должное (per scontato);Non do più questo per scontato
Она не должна (non deve) считать (dar per scontato) это очевидным (per scontato);Non deve dare questo per scontato
