A16 - Imperativo (tu / voi)
Читай (leggi);Leggi
Читайте (leggete);Leggete
Поговори (parla);Parla
Поговорите (parlate);Parlate
Спи (dormi);Dormi
Спите (dormite);Dormite
Учи (studia);Studia
Учите (studiate);Studiate
Работай (lavora);Lavora
Работайте (lavorate);Lavorate
Иди домой (vai, a casa);Vai a casa
Идите домой (andate, a casa);Andate a casa
Вернись домой (torna, a casa);Torna a casa
Вернитесь домой (tornate, a casa);Tornate a casa
Подожди (aspetta);Aspetta
Подождите (aspettate);Aspettate
Скажи (di');Di'
Скажите (dite);Dite
Сделай зарядку (fai, ginnastica);Fai ginnastica
Сделайте зарядку (fate, ginnastica);Fate ginnastica
Позавтракай (fai, colazione);Fai colazione
Позавтракайте (fate, colazione);Fate colazione
Помоги мне (aiutami);Aiutami
Помогите мне (aiutatemi);Aiutatemi
Не читай (leggi);Non leggere
Не читайте (leggete);Non leggete
Не говори (parla);Non parlare
Не говорите (parlate);Non parlate
Не иди домой (vai, a casa);Non andare a casa
Не идите домой (andate, a casa);Non andate a casa
Не спи (dormi);Non dormire
Не спите (dormite);Non dormite
Не жди (aspetta);Non aspettare
Не ждите (aspettate);Non aspettate
