Congiuntivo Imperfetto (Drill)
он хотел, чтобы я был готов (essere pronto);Lui voleva che io fossi pronto.;Congiuntivo Imperfetto
она хотела, чтобы ты был готов (essere pronto);Lei voleva che tu fossi pronto.;Congiuntivo Imperfetto
я думал, что он будет готов (essere pronto);Io pensavo che lui fosse pronto.;Congiuntivo Imperfetto
мы верили, что она будет готова (essere pronto);Noi credevamo che lei fosse pronta.;Congiuntivo Imperfetto
они надеялись, что мы будем готовы (essere pronto);Loro speravano che noi fossimo pronti.;Congiuntivo Imperfetto
я боялся, что вы будете готовы (essere pronto);Io temevo che voi foste pronti.;Congiuntivo Imperfetto
он верил, что они будут готовы (essere pronto);Lui credeva che loro fossero pronti.;Congiuntivo Imperfetto
она хотела, чтобы я хотел есть (avere fame);Lei voleva che io avessi fame.;Congiuntivo Imperfetto
он думал, что ты хочешь есть (avere fame);Lui pensava che tu avessi fame.;Congiuntivo Imperfetto
я верил, что он хочет есть (avere fame);Io credevo che lui avesse fame.;Congiuntivo Imperfetto
мы надеялись, что она хочет есть (avere fame);Noi speravamo che lei avesse fame.;Congiuntivo Imperfetto
они боялись, что мы хотим есть (avere fame);Loro temevano che noi avessimo fame.;Congiuntivo Imperfetto
я думал, что вы хотите есть (avere fame);Io pensavo che voi aveste fame.;Congiuntivo Imperfetto
она хотела, чтобы они хотели есть (avere fame);Lei voleva che loro avessero fame.;Congiuntivo Imperfetto
он хотел, чтобы я задал вопрос (fare una domanda);Lui voleva che io facessi una domanda.;Congiuntivo Imperfetto
она хотела, чтобы ты задал вопрос (fare una domanda);Lei voleva che tu facessi una domanda.;Congiuntivo Imperfetto
я думал, что он задаст вопрос (fare una domanda);Io pensavo che lui facesse una domanda.;Congiuntivo Imperfetto
мы надеялись, что она задаст вопрос (fare una domanda);Noi speravamo che lei facesse una domanda.;Congiuntivo Imperfetto
они боялись, что мы зададим вопрос (fare una domanda);Loro temevano che noi facessimo una domanda.;Congiuntivo Imperfetto
я верил, что вы зададите вопрос (fare una domanda);Io credevo che voi faceste una domanda.;Congiuntivo Imperfetto
он хотел, чтобы они задали вопрос (fare una domanda);Lui voleva che loro facessero una domanda.;Congiuntivo Imperfetto
она хотела, чтобы я знала правду (sapere la verità);Lei voleva che io sapessi la verità.;Congiuntivo Imperfetto
он хотел, чтобы ты знал правду (sapere la verità);Lui voleva che tu sapessi la verità.;Congiuntivo Imperfetto
я думал, что он узнает правду (sapere la verità);Io pensavo che lui sapesse la verità.;Congiuntivo Imperfetto
мы надеялись, что она узнает правду (sapere la verità);Noi speravamo che lei sapesse la verità.;Congiuntivo Imperfetto
они боялись, что мы узнаем правду (sapere la verità);Loro temevano che noi sapessimo la verità.;Congiuntivo Imperfetto
я верил, что вы узнаете правду (sapere la verità);Io credevo che voi sapeste la verità.;Congiuntivo Imperfetto
он хотел, чтобы они узнали правду (sapere la verità);Lui voleva che loro sapessero la verità.;Congiuntivo Imperfetto
он хотел, чтобы я сказал правду (dire la verità);Lui voleva che io dicessi la verità.;Congiuntivo Imperfetto
она хотела, чтобы ты сказала правду (dire la verità);Lei voleva che tu dicessi la verità.;Congiuntivo Imperfetto
я думал, что он скажет правду (dire la verità);Io pensavo che lui dicesse la verità.;Congiuntivo Imperfetto
мы надеялись, что она скажет правду (dire la verità);Noi speravamo che lei dicesse la verità.;Congiuntivo Imperfetto
они хотели, чтобы мы сказали правду (dire la verità);Loro volevano che noi dicessimo la verità.;Congiuntivo Imperfetto
я верил, что вы скажете правду (dire la verità);Io credevo che voi diceste la verità.;Congiuntivo Imperfetto
он боялся, что они скажут правду (dire la verità);Lui temeva che loro dicessero la verità.;Congiuntivo Imperfetto
она хотела, чтобы я шел на работу (andare al lavoro);Lei voleva che io andassi al lavoro.;Congiuntivo Imperfetto
он хотел, чтобы ты шел на работу (andare al lavoro);Lui voleva che tu andassi al lavoro.;Congiuntivo Imperfetto
я думал, что он пойдет на работу (andare al lavoro);Io pensavo che lui andasse al lavoro.;Congiuntivo Imperfetto
мы надеялись, что она пойдет на работу (andare al lavoro);Noi speravamo che lei andasse al lavoro.;Congiuntivo Imperfetto
они хотели, чтобы мы шли на работу (andare al lavoro);Loro volevano che noi andassimo al lavoro.;Congiuntivo Imperfetto
я думал, что вы пойдете на работу (andare al lavoro);Io pensavo che voi andaste al lavoro.;Congiuntivo Imperfetto
