B17 - Stare + Gerundio
Я сейчас ем.;Sto mangiando.
Ты сейчас читаешь.;Stai leggendo.
Она сейчас пишет письмо.;Sta scrivendo una lettera.
Мы сейчас работаем.;Stiamo lavorando.
Вы сейчас слушаете музыку.;State ascoltando la musica.
Они сейчас спят.;Stanno dormendo.
Я сейчас готовлю ужин.;Sto preparando la cena.
Он сейчас делает домашнее задание.;Sta facendo i compiti.
Мы сейчас смотрим фильм.;Stiamo guardando un film.
Они сейчас говорят по-итальянски.;Stanno parlando italiano.
Я сейчас не работаю.;Non sto lavorando.
Она сейчас не спит.;Non sta dormendo.
Мы сейчас не едим.;Non stiamo mangiando.
Ты сейчас что делаешь?;Che cosa stai facendo?
Куда ты сейчас идёшь?;Dove stai andando?
Почему она плачет?;Perché sta piangendo?
Кого вы ждёте?;Chi state aspettando?
Я сейчас жду автобус.;Sto aspettando l'autobus.
Он сейчас открывает дверь.;Sta aprendo la porta.
Мы сейчас закрываем магазин.;Stiamo chiudendo il negozio.
Они сейчас учат новые слова.;Stanno imparando parole nuove.
Она сейчас пьёт воду.;Sta bevendo acqua.
Я сейчас пишу сообщение.;Sto scrivendo un messaggio.
Мы сейчас повторяем урок.;Stiamo ripetendo la lezione.
Ты сейчас говоришь слишком быстро.;Stai parlando troppo velocemente.
Он сейчас ищет ключи.;Sta cercando le chiavi.
Я сейчас думаю о проблеме.;Sto pensando al problema.
Они сейчас ждут учителя.;Stanno aspettando l'insegnante.
Мы сейчас идём домой.;Stiamo andando a casa.
Она сейчас возвращается в офис.;Sta tornando in ufficio.
Я сейчас делаю кофе.;Sto facendo il caffè.
Вы сейчас изучаете грамматику.;State studiando la grammatica.
Он сейчас читает газету.;Sta leggendo il giornale.
Они сейчас играют в футбол.;Stanno giocando a calcio.
Я сейчас не понимаю.;Non sto capendo.
Мы сейчас начинаем урок.;Stiamo iniziando la lezione.
Она сейчас заканчивает работу.;Sta finendo il lavoro.
Ты сейчас слушаешь меня?;Mi stai ascoltando?
