A03 - Sostantivi: genere e numero
Это мальчик;Questo è un ragazzo.
Это девочка;Questa è una ragazza.
Это мальчики;Questi sono ragazzi.
Это девочки;Queste sono ragazze.
Это книга;Questo è un libro.
Это книги;Questi sono libri.
Это ручка;Questa è una penna.
Это ручки;Queste sono penne.
Это стол;Questo è un tavolo.
Это столы;Questi sono tavoli.
Это стул;Questa è una sedia.
Это стулья;Queste sono sedie.
Это день;Questo è un giorno.
Это дни;Questi sono giorni.
Это ночь;Questa è una notte.
Это ночи;Queste sono notti.
Это друг;Questo è un amico.
Это друзья;Questi sono amici.
Это подруга;Questa è una amica.
Это подруги;Queste sono amiche.
Это кот;Questo è un gatto.
Это кошка;Questa è una gatta.
Это коты;Questi sono gatti.
Это кошки;Queste sono gatte.
Это проблема;Questo è un problema.
Это проблемы;Questi sono problemi.
Это урок;Questa è una lezione.
Это уроки;Queste sono lezioni.
Это мужчина;Questo è un uomo.
Это мужчины;Questi sono uomini.
Это женщина;Questa è una donna.
Это женщины;Queste sono donne.
Это подарок;Questo è un regalo.
Это подарки;Questi sono regali.
Это дом;Questa è una casa.
Это дома;Queste sono case.
Это время;Questo è un tempo.
Это вещь;Questa è una cosa.
Это вещи;Queste sono cose.
Это рука;Questa è una mano.
Это руки;Queste sono mani.
Это турист;Questo è un turista.
Это туристка;Questa è una turista.
Это туристы;Questi sono turisti.
Это город;Questa è una città.
Это города;Queste sono città.
Это автор;Questo è un autore.
Это авторы;Questi sono autori.
Это не мальчик;Questo non è un ragazzo.
Это не девочка;Questa non è una ragazza.
Это не книга;Questo non è un libro.
Это не ручка;Questa non è una penna.
Это не стол;Questo non è un tavolo.
Это не стул;Questa non è una sedia.
Это не день;Questo non è un giorno.
Это не ночь;Questa non è una notte.
Это не друг;Questo non è un amico.
Это не подруга;Questa non è una amica.
Это не кот;Questo non è un gatto.
Это не кошка;Questa non è una gatta.
Это не проблема;Questo non è un problema.
Это не урок;Questa non è una lezione.
Это не мужчина;Questo non è un uomo.
Это не женщина;Questa non è una donna.
Это не подарок;Questo non è un regalo.
Это не дом;Questa non è una casa.
Это не время;Questo non è un tempo.
Это не вещь;Questa non è una cosa.
Это не рука;Questa non è una mano.
Это не турист;Questo non è un turista.
Это не туристка;Questa non è una turista.
Это не город;Questa non è una città.
Это не автор;Questo non è un autore.
Это мальчик?;È un ragazzo?
Это девочка?;È una ragazza?
Это книга?;È un libro?
Это ручка?;È una penna?
Это стол?;È un tavolo?
Это стул?;È una sedia?
Это день?;È un giorno?
Это ночь?;È una notte?
Это друг?;È un amico?
Это подруга?;È una amica?
Это кот?;È un gatto?
Это кошка?;È una gatta?
Это проблема?;È un problema?
Это урок?;È una lezione?
Это мужчина?;È un uomo?
Это женщина?;È una donna?
Это подарок?;È un regalo?
Это дом?;È una casa?
Это время?;È un tempo?
Это вещь?;È una cosa?
Это рука?;È una mano?
Это турист?;È un turista?
Это туристка?;È una turista?
Это город?;È una città?
Это автор?;È un autore?
