A03 - Plural nouns (casa)
Это те дома (case);Sono le case
Это дома (case);Sono delle case
Это не те дома (case);Non sono le case
Это не дома (case);Non sono case
Те дома большие (case, grandi);Le case sono grandi
Те дома маленькие (case, piccole);Le case sono piccole
Те дома новые (case, nuove);Le case sono nuove
Те дома старые (case, vecchie);Le case sono vecchie
Я вижу те дома (vedo, case);Vedo le case
Я вижу дома (vedo, case);Vedo delle case
Мы идём к тем домам (a, case);Andiamo alle case
Они живут в тех домах (in, case);Abitano nelle case
Те дома здесь (case);Le case sono qui
Те дома там (case);Le case sono là
Я не вижу те дома (vedo, case);Non vedo le case
Мы не видим дома (vediamo, case);Non vediamo delle case
