A10 - Possessivi
Это мой отец (padre).;Questo è mio padre.
Это моя мать (madre).;Questa è mia madre.
Это мои родители (genitori).;Questi sono i miei genitori.
Это мой брат (fratello).;Questo è mio fratello.
Это моя сестра (sorella).;Questa è mia sorella.
Это мои братья (fratelli).;Questi sono i miei fratelli.
Это мои сестры (sorelle).;Queste sono le mie sorelle.
Это твой друг (amico).;Questo è il tuo amico.
Это твоя подруга (amica).;Questa è la tua amica.
Это твои друзья (amici).;Questi sono i tuoi amici.
Это твои книги (libri).;Questi sono i tuoi libri.
Это его дом (casa).;Questa è la sua casa.
Это его машина (macchina).;Questa è la sua macchina.
Это ее телефон (telefono).;Questo è il suo telefono.
Это ее сумка (borsa).;Questa è la sua borsa.
Это наши идеи (idee).;Queste sono le nostre idee.
Это наш проект (progetto).;Questo è il nostro progetto.
Это наша школа (scuola).;Questa è la nostra scuola.
Это наши учителя (insegnanti).;Questi sono i nostri insegnanti.
Это ваша школа (scuola).;Questa è la vostra scuola.
Это ваш дом (casa).;Questa è la vostra casa.
Это ваши вещи (cose).;Queste sono le vostre cose.
Это их книга (libro).;Questo è il loro libro.
Это их дом (casa).;Quella è la loro casa.
Это их дети (figli).;Questi sono i loro figli.
Чья это книга (libro)?;Di chi è questo libro?
Чей это дом (casa)?;Di chi è questa casa?
Чья это машина (macchina)?;Di chi è quella macchina?
Чьи это дети (figli)?;Di chi sono questi figli?
Кто твой друг (amico)?;Chi è il tuo amico?
Кто твоя учительница (insegnante)?;Chi è la tua insegnante?
Это не мой телефон (telefono).;Non è il mio telefono.
Это не моя сумка (borsa).;Non è la mia borsa.
Это не наш проект (progetto).;Non è il nostro progetto.
Это не ваша школа (scuola).;Non è la vostra scuola.
Это не их дом (casa).;Non è la loro casa.
Мой отец дома (casa).;Mio padre è a casa.
Моя мать работает (lavorare).;Mia madre lavora.
Мой брат учится (studiare).;Mio fratello studia.
Моя сестра говорит по-итальянски (italiano).;Mia sorella parla italiano.
