Italian - Futuro Semplice (Drill)
я буду готов (essere pronto);Io sarò pronto
ты будешь готов (essere pronto);Tu sarai pronto
он будет готов (essere pronto);Lui sarà pronto
она будет готова (essere pronto);Lei sarà pronta
мы будем готовы (essere pronti);Noi saremo pronti
вы будете готовы (essere pronti);Voi sarete pronti
они будут готовы (essere pronti);Loro saranno pronti
я буду хотеть есть (avere fame);Io avrò fame
ты будешь хотеть есть (avere fame);Tu avrai fame
он будет хотеть есть (avere fame);Lui avrà fame
она будет хотеть есть (avere fame);Lei avrà fame
мы будем хотеть есть (avere fame);Noi avremo fame
вы будете хотеть есть (avere fame);Voi avrete fame
они будут хотеть есть (avere fame);Loro avranno fame
я сделаю прогулку (fare una passeggiata);Io farò una passeggiata
ты сделаешь прогулку (fare una passeggiata);Tu farai una passeggiata
он сделает прогулку (fare una passeggiata);Lui farà una passeggiata
она сделает прогулку (fare una passeggiata);Lei farà una passeggiata
мы сделаем прогулку (fare una passeggiata);Noi faremo una passeggiata
вы сделаете прогулку (fare una passeggiata);Voi farete una passeggiata
они сделают прогулку (fare una passeggiata);Loro faranno una passeggiata
я узнаю правду (sapere la verità);Io saprò la verità
ты узнаешь правду (sapere la verità);Tu saprai la verità
он узнает правду (sapere la verità);Lui saprà la verità
она узнает правду (sapere la verità);Lei saprà la verità
мы узнаем правду (sapere la verità);Noi sapremo la verità
вы узнаете правду (sapere la verità);Voi saprete la verità
они узнают правду (sapere la verità);Loro sapranno la verità
я скажу правду (dire la verità);Io dirò la verità
ты скажешь правду (dire la verità);Tu dirai la verità
он скажет правду (dire la verità);Lui dirà la verità
она скажет правду (dire la verità);Lei dirà la verità
мы скажем правду (dire la verità);Noi diremo la verità
вы скажете правду (dire la verità);Voi direte la verità
они скажут правду (dire la verità);Loro diranno la verità
я пойду в кино (andare al cinema);Io andrò al cinema
ты пойдёшь в кино (andare al cinema);Tu andrai al cinema
он пойдёт в кино (andare al cinema);Lui andrà al cinema
она пойдёт в кино (andare al cinema);Lei andrà al cinema
мы пойдём в кино (andare al cinema);Noi andremo al cinema
вы пойдёте в кино (andare al cinema);Voi andrete al cinema
они пойдут в кино (andare al cinema);Loro andranno al cinema
я буду в порядке (stare bene);Io starò bene
ты будешь в порядке (stare bene);Tu starai bene
он будет в порядке (stare bene);Lui starà bene
она будет в порядке (stare bene);Lei starà bene
мы будем в порядке (stare bene);Noi staremo bene
вы будете в порядке (stare bene);Voi starete bene
они будут в порядке (stare bene);Loro staranno bene
я захочу кофе (volere un caffè);Io vorrò un caffè
ты захочешь кофе (volere un caffè);Tu vorrai un caffè
он захочет кофе (volere un caffè);Lui vorrà un caffè
она захочет кофе (volere un caffè);Lei vorrà un caffè
мы захотим кофе (volere un caffè);Noi vorremo un caffè
вы захотите кофе (volere un caffè);Voi vorrete un caffè
они захотят кофе (volere un caffè);Loro vorranno un caffè
я смогу прийти (venire);Io potrò venire
ты сможешь прийти (venire);Tu potrai venire
он сможет прийти (venire);Lui potrà venire
она сможет прийти (venire);Lei potrà venire
мы сможем прийти (venire);Noi potremo venire
вы сможете прийти (venire);Voi potrete venire
они смогут прийти (venire);Loro potranno venire
я должен буду заплатить (pagare);Io dovrò pagare
ты должен будешь заплатить (pagare);Tu dovrai pagare
он должен будет заплатить (pagare);Lui dovrà pagare
она должна будет заплатить (pagare);Lei dovrà pagare
мы должны будем заплатить (pagare);Noi dovremo pagare
вы должны будете заплатить (pagare);Voi dovrete pagare
они должны будут заплатить (pagare);Loro dovranno pagare
я буду верить в будущее (credere nel futuro);Io crederò nel futuro
ты будешь верить в будущее (credere nel futuro);Tu crederai nel futuro
он будет верить в будущее (credere nel futuro);Lui crederà nel futuro
она будет верить в будущее (credere nel futuro);Lei crederà nel futuro
мы будем верить в будущее (credere nel futuro);Noi crederemo nel futuro
вы будете верить в будущее (credere nel futuro);Voi crederete nel futuro
они будут верить в будущее (credere nel futuro);Loro crederanno nel futuro
я увижу мир (vedere il mondo);Io vedrò il mondo
ты увидишь мир (vedere il mondo);Tu vedrai il mondo
он увидит мир (vedere il mondo);Lui vedrà il mondo
она увидит мир (vedere il mondo);Lei vedrà il mondo
мы увидим мир (vedere il mondo);Noi vedremo il mondo
вы увидите мир (vedere il mondo);Voi vedrete il mondo
они увидят мир (vedere il mondo);Loro vedranno il mondo
я положу конец (porre fine);Io porrò fine
ты положишь конец (porre fine);Tu porrai fine
он положит конец (porre fine);Lui porrà fine
она положит конец (porre fine);Lei porrà fine
мы положим конец (porre fine);Noi porremo fine
вы положите конец (porre fine);Voi porrete fine
они положат конец (porre fine);Loro porranno fine
я дам совет (dare un consiglio);Io darò un consiglio
ты дашь совет (dare un consiglio);Tu darai un consiglio
он даст совет (dare un consiglio);Lui darà un consiglio
она даст совет (dare un consiglio);Lei darà un consiglio
мы дадим совет (dare un consiglio);Noi daremo un consiglio
вы дадите совет (dare un consiglio);Voi darete un consiglio
они дадут совет (dare un consiglio);Loro daranno un consiglio
я буду казаться усталым (stanco);Io sembrerò stanco
ты будешь казаться усталым (stanco);Tu sembrerai stanco
он будет казаться усталым (stanco);Lui sembrerà stanco
она будет казаться усталой (stanco);Lei sembrerà stanca
мы будем казаться усталыми (stanco);Noi sembreremo stanchi
вы будете казаться усталыми (stanco);Voi sembrerete stanchi
они будут казаться усталыми (stanco);Loro sembreranno stanchi
я буду думать о тебе (pensare a);Io penserò a te
ты будешь думать о тебе (pensare a);Tu penserai a te
он будет думать о тебе (pensare a);Lui penserà a te
она будет думать о тебе (pensare a);Lei penserà a te
мы будем думать о тебе (pensare a);Noi penseremo a te
вы будете думать о тебе (pensare a);Voi penserete a te
они будут думать о тебе (pensare a);Loro penseranno a te
я буду говорить по-английски (parlare inglese);Io parlerò inglese
ты будешь говорить по-английски (parlare inglese);Tu parlerai inglese
он будет говорить по-английски (parlare inglese);Lui parlerà inglese
она будет говорить по-английски (parlare inglese);Lei parlerà inglese
мы будем говорить по-английски (parlare inglese);Noi parleremo inglese
вы будете говорить по-английски (parlare inglese);Voi parlerete inglese
они будут говорить по-английски (parlare inglese);Loro parleranno inglese
я буду ждать автобус (aspettare l'autobus);Io aspetterò l'autobus
ты будешь ждать автобус (aspettare l'autobus);Tu aspetterai l'autobus
он будет ждать автобус (aspettare l'autobus);Lui aspetterà l'autobus
она будет ждать автобус (aspettare l'autobus);Lei aspetterà l'autobus
мы будем ждать автобус (aspettare l'autobus);Noi aspetteremo l'autobus
вы будете ждать автобус (aspettare l'autobus);Voi aspetterete l'autobus
они будут ждать автобус (aspettare l'autobus);Loro aspetteranno l'autobus
я буду молиться богу (pregare Dio);Io pregherò Dio
ты будешь молиться богу (pregare Dio);Tu pregherai Dio
он будет молиться богу (pregare Dio);Lui pregherà Dio
она будет молиться богу (pregare Dio);Lei pregherà Dio
мы будем молиться богу (pregare Dio);Noi pregheremo Dio
вы будете молиться богу (pregare Dio);Voi pregherete Dio
они будут молиться богу (pregare Dio);Loro pregheranno Dio
я услышу шум (sentire un rumore);Io sentirò un rumore
ты услышишь шум (sentire un rumore);Tu sentirai un rumore
он услышит шум (sentire un rumore);Lui sentirà un rumore
она услышит шум (sentire un rumore);Lei sentirà un rumore
мы услышим шум (sentire un rumore);Noi sentiremo un rumore
вы услышите шум (sentire un rumore);Voi sentirete un rumore
они услышат шум (sentire un rumore);Loro sentiranno un rumore
я пойду с тобой (venire con te);Io verrò con te
ты пойдешь со мной (venire con me);Tu verrai con me
он пойдет с тобой (venire con te);Lui verrà con te
она пойдет с тобой (venire con te);Lei verrà con te
